element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Cd,I,228.80225,228.80227,,530000000.0,0.0,43692.384
Cd,I,249.0998,249.09935,3.0,,30656.087,70788.605
Cd,I,250.89077,250.89095,10.0,,30656.087,70502.04
Cd,I,251.8588,251.858914,,,30113.99,69806.814
Cd,I,252.51964,252.51964,,,30656.087,70245.06
Cd,I,254.4613,254.4613,50.0,,30113.99,69400.9
Cd,I,255.34647,255.346488,25.0,,30656.087,69806.814
Cd,I,256.57894,256.57894,3.0,,31826.952,70789.634
Cd,I,258.01062,258.01062,50.0,,30656.087,69402.583
Cd,I,258.487,258.48702,3.0,,31826.952,70502.04
Cd,I,259.20258,259.202534,30.0,,30113.99,68682.325
Cd,I,260.20477,260.20477,,,31826.952,70246.742
Cd,I,262.89786,262.897918,50.0,,30656.087,68682.325
Cd,I,263.21901,263.218953,40.0,,31826.952,69806.814
Cd,I,263.94196,263.942011,75.0,,30113.99,67989.814
Cd,I,266.03253,266.03253,,,31826.952,69405.16
Cd,I,267.75397,267.753996,100.0,,30656.087,67992.708
Cd,I,267.77484,267.774753,25.0,,30656.087,67989.814
Cd,I,271.25049,271.250456,75.0,,31826.952,68682.325
Cd,I,273.38199,273.381928,50.0,,30113.99,66682.029
Cd,I,276.38935,276.38943,,,31826.952,67997.101
Cd,I,276.42305,276.423002,,,31826.952,67992.708
Cd,I,277.49585,277.495835,50.0,,30656.087,66682.029
Cd,I,283.68999,283.689991,200.0,28000000.0,30113.99,65353.372
Cd,I,286.81799,286.818051,100.0,,31826.952,66682.029
Cd,I,288.0767,288.076727,,42000000.0,30656.087,65358.881
Cd,I,288.12245,288.122468,,24000000.0,30656.087,65353.372
Cd,I,298.06204,298.06204,,59000000.0,31826.952,65367.227
Cd,I,298.13625,298.13623,,15000000.0,31826.952,65358.881
Cd,I,298.18538,298.18522,50.0,,31826.952,65353.372
Cd,I,308.08224,308.0822,150.0,,30113.99,62563.435
Cd,I,308.25934,308.25924,30.0,,30656.087,63086.896
Cd,I,313.31666,313.31663,200.0,,30656.087,62563.435
Cd,I,325.2524,325.25245,300.0,,31826.952,62563.435
Cd,I,326.10548,326.10546,300.0,406000.0,0.0,30656.087
Cd,I,340.36521,340.36521,800.0,77000000.0,30113.99,59485.768
Cd,I,346.61996,346.61996,1000.0,120000000.0,30656.087,59497.868
Cd,I,346.76547,346.76544,800.0,67000000.0,30656.087,59485.768
Cd,I,349.99518,349.99522,25.0,,30656.087,59219.734
Cd,I,361.05077,361.0508,1000.0,130000000.0,31826.952,59515.99
Cd,I,361.28729,361.28724,800.0,35000000.0,31826.952,59497.868
Cd,I,361.44529,361.44529,60.0,,31826.952,59485.768
Cd,I,364.95584,364.95568,20.0,,31826.952,59219.734
Cd,I,398.19257,398.19257,10.0,,43692.384,68798.76
Cd,I,414.02988,414.03021,,4700000.0,43692.384,67838.401
Cd,I,430.66718,430.66718,8.0,,43692.384,66905.641
Cd,I,441.29894,441.29894,3.0,,30656.087,53310.101
Cd,I,466.2352,466.2352,8.0,5500000.0,43692.384,65134.783
Cd,I,467.81493,467.815,200.0,13000000.0,30113.99,51483.98
Cd,I,479.99123,479.99121,300.0,41000000.0,30656.087,51483.98
Cd,I,508.58217,508.58214,,56000000.0,31826.952,51483.98
Cd,I,515.46605,515.46618,6.0,,43692.384,63086.896
Cd,I,609.91421,609.9142,300.0,,51483.98,67875.191
Cd,I,611.1495,611.1495,100.0,,51483.98,67842.06
Cd,I,632.51661,632.51689,100.0,,43692.384,59497.868
Cd,I,633.00133,633.00149,30.0,,43692.384,59485.768
Cd,I,643.84695,643.84695,2000.0,59000000.0,43692.384,59219.734
Cd,I,677.81157,677.8116,30.0,,53310.101,68059.393
Cd,I,734.56704,734.5665,1000.0,,51483.98,65093.702
Cd,I,820.03089,820.0309,5.0,,53310.101,65501.412
Cd,I,929.2,928.3,,,58635.7,69405.16
Cd,I,929.2,928.52,,,58635.7,69402.583
Cd,I,929.2,928.66,,,58635.7,69400.9
