element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Cd,II,182.77,,100.0,,69258.91,123972.1
Cd,II,192.223,,300.0,1970000000.0,69258.91,121281.64
Cd,II,194.354,,100.0,7000000.0,69258.91,120711.18
Cd,II,196.554,,40.0,78000000.0,69258.91,120135.22
Cd,II,198.689,,30.0,,74893.66,125223.06
Cd,II,199.543,,200.0,1130000000.0,69258.91,119373.19
Cd,II,200.749,,100.0,1910000000.0,69258.91,119056.11
Cd,II,203.245,,50.0,8000000.0,69258.91,118444.36
Cd,II,203.623,,75.0,,74893.66,123988.39
Cd,II,209.6,,150.0,385000000.0,69258.91,116953.7
Cd,II,214.43943,,,377800000.0,0.0,46618.55
Cd,II,215.5062,,50.0,225000000.0,74893.66,121281.64
Cd,II,218.188,,5.0,,74893.66,120711.18
Cd,II,218.63,,15.0,1350000.0,74893.66,120618.46
Cd,II,218.7794,,100.0,1430000.0,69258.91,114952.3
Cd,II,219.4557,,1000.0,567000000.0,44136.08,89689.25
Cd,II,220.9653,,20.0,1950000000.0,74893.66,120135.22
Cd,II,225.154,,5.0,1910000000.0,74893.66,119293.99
Cd,II,226.3649,,5.0,21000000.0,74893.66,119056.11
Cd,II,226.50145,,1000.0,317700000.0,0.0,44136.08
Cd,II,231.242,,,,69258.91,112490.39
Cd,II,231.2766,,1000.0,583000000.0,46618.55,89843.78
Cd,II,232.1074,,200.0,105200000.0,46618.55,89689.25
Cd,II,236.5361,,5.0,,82990.66,125254.49
Cd,II,236.713,,5.0,,82990.66,125223.06
Cd,II,237.682,,40.0,1260000000.0,74893.66,116953.7
Cd,II,241.8694,,50.0,,74893.66,116225.71
Cd,II,246.9733,,50.0,4200000.0,69258.91,109736.82
Cd,II,248.7928,,40.0,,69258.91,109440.86
Cd,II,249.5584,,40.0,230000.0,74893.66,114952.3
Cd,II,250.9107,,50.0,,89843.78,129686.6
Cd,II,251.6224,,30.0,,89689.25,129419.38
Cd,II,255.1976,,50.0,550000.0,69258.91,108432.43
Cd,II,255.2827,,15.0,,69258.91,108419.47
Cd,II,257.29434,,500.0,161000000.0,44136.08,82990.66
Cd,II,265.0293,,8.0,230000.0,82990.66,120711.18
Cd,II,265.9226,,40.0,,89689.25,127283.04
Cd,II,266.8195,,25.0,,74893.66,112361.06
Cd,II,267.2624,,50.0,,89843.78,127249.09
Cd,II,269.1386,,1.0,,82990.66,120135.22
Cd,II,270.7003,,50.0,230000.0,69258.91,106189.2
Cd,II,274.85558,,1000.0,309000000.0,46618.55,82990.66
Cd,II,275.3759,,20.0,3400000.0,82990.66,119293.99
Cd,II,277.1923,,20.0,5900000.0,82990.66,119056.11
Cd,II,282.3189,,30.0,,89843.78,125254.49
Cd,II,283.4081,,20.0,780000.0,74893.66,110168.11
Cd,II,285.6458,,,,94710.41,129708.5
Cd,II,285.6458,,,,82990.66,117988.79
Cd,II,291.4672,,200.0,,89689.25,123988.39
Cd,II,292.7867,,50.0,,89843.78,123988.39
Cd,II,292.9271,,200.0,,89843.78,123972.1
Cd,II,303.0605,,50.0,,94710.41,127697.43
Cd,II,308.1484,,25.0,,94710.41,127152.89
Cd,II,309.2337,,100.0,,95383.63,127712.28
Cd,II,314.679,,50.0,,95383.63,127152.89
Cd,II,316.4343,,1.0,730000.0,89689.25,121281.64
Cd,II,317.9961,,10.0,850000.0,89843.78,121281.64
Cd,II,323.226,,5.0,600000.0,89689.25,120618.46
Cd,II,323.8742,,10.0,730000.0,89843.78,120711.18
Cd,II,325.0324,,150.0,2780000.0,44136.08,74893.66
Cd,II,328.3565,,3.0,1400000.0,89689.25,120135.22
Cd,II,334.3209,,50.0,,94710.41,124613.3
Cd,II,338.5486,,50.0,3330000.0,89843.78,119373.19
Cd,II,338.8884,,30.0,1700000.0,82990.66,112490.39
Cd,II,341.7491,,50.0,,95383.63,124636.5
Cd,II,342.2228,,5.0,600000.0,89843.78,119056.11
Cd,II,344.2416,,50.0,,94710.41,123751.48
Cd,II,346.4426,,100.0,,89689.25,118545.77
Cd,II,348.3079,,25.0,,89843.78,118545.77
Cd,II,349.5436,,150.0,48500000.0,89843.78,118444.36
Cd,II,352.4112,,100.0,,95383.63,123751.48
Cd,II,353.56907,,100.0,790000.0,46618.55,74893.66
Cd,II,366.6756,,20.0,270000.0,89689.25,116953.7
Cd,II,382.671,,15.0,50000.0,69258.91,95383.63
Cd,II,395.7244,,15.0,300000.0,89689.25,114952.3
Cd,II,400.6867,,20.0,,89843.78,
Cd,II,402.9124,,100.0,,94710.41,119522.72
Cd,II,413.4768,,200.0,,95383.63,119561.99
Cd,II,414.1493,,50.0,,95383.63,119522.72
Cd,II,428.5078,,100.0,,94710.41,118040.65
Cd,II,438.452,,5.0,130000.0,89689.25,112490.39
Cd,II,441.241,,100.0,,95383.63,118040.65
Cd,II,441.56859,,1000.0,1277000.0,46618.55,69258.91
Cd,II,444.045,,,,108432.43,130946.09
Cd,II,444.045,,,,108432.43,130946.09
Cd,II,474.4693,,,,108432.43,129502.43
Cd,II,474.4693,,,,108432.43,129502.43
Cd,II,488.1725,,50.0,11300000.0,89689.25,110168.11
Cd,II,491.885,,20.0,900000.0,89843.78,110168.11
Cd,II,502.55,,50.0,23900000.0,89843.78,109736.82
Cd,II,526.8007,,100.0,,108419.47,127396.62
Cd,II,527.16,,,,108432.43,127396.62
Cd,II,527.16,,,,108432.43,127396.62
Cd,II,533.74855,,1000.0,172000000.0,89689.25,108419.47
Cd,II,537.81351,,1000.0,182000000.0,89843.78,108432.43
Cd,II,538.1887,,200.0,12100000.0,89843.78,108419.47
Cd,II,584.3305,,40.0,,110174.1,127283.04
Cd,II,588.022,,50.0,,110247.6,127249.09
Cd,II,635.4724,,400.0,,108419.47,124151.26
Cd,II,635.9982,,,,108432.43,124151.26
Cd,II,635.9982,,,,108432.43,124151.26
Cd,II,646.4936,,400.0,,94710.41,110174.1
Cd,II,656.7648,,25.0,,112490.39,127712.28
Cd,II,672.57875,,500.0,,95383.63,110247.6
Cd,II,675.9189,,100.0,,95383.63,110174.1
Cd,II,723.701,,50.0,,110174.1,123988.39
Cd,II,728.438,,100.0,,110247.6,123972.1
Cd,II,806.69037,,50.0,50000000.0,82990.66,95383.63
