element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Cu,I,180.5341,180.5338,,,0.0,55391.297
Cu,I,180.5454,180.54561,,,0.0,55387.667
Cu,I,181.7265,181.72645,,,0.0,55027.762
Cu,I,182.5349,182.53483,,,0.0,54784.065
Cu,I,197.813,197.8118,,,11202.618,61755.71
Cu,I,198.165,198.164,,,11202.618,61665.86
Cu,I,198.6112,198.6104,,,11202.618,61552.44
Cu,I,199.1876,199.1868,,,11202.618,61406.75
Cu,I,199.95,199.95,,,11202.618,61215.13
Cu,I,200.1672,200.16723,,,0.0,49942.051
Cu,I,200.1947,200.19472,,,0.0,49935.195
Cu,I,200.9252,200.9251,,,11202.618,60956.32
Cu,I,202.3947,202.39473,,,11202.618,60595.1
Cu,I,202.4002,202.40019,,,11202.618,60593.77
Cu,I,202.4327,202.43252,,9800000.0,0.0,49383.264
Cu,I,202.4338,202.43383,,9800000.0,0.0,49382.945
Cu,I,204.5692,204.56914,,,11202.618,60070.17
Cu,I,205.768,205.7683,,,13245.443,61828.24
Cu,I,206.076,206.0758,,,13245.443,61755.76
Cu,I,206.076,206.076,,,13245.443,61755.71
Cu,I,206.458,206.4583,,,13245.443,61665.9
Cu,I,206.458,206.4585,,,13245.443,61665.86
Cu,I,206.8321,206.8315,5.0,,30783.697,79116.79
Cu,I,206.941,206.9422,,,13245.443,61552.7
Cu,I,206.941,206.9433,,,13245.443,61552.44
Cu,I,207.566,207.5662,,,13245.443,61407.49
Cu,I,207.9534,207.95343,,,11202.618,59274.99
Cu,I,208.3911,208.3911,,,13245.443,61216.86
Cu,I,209.5161,209.5159,,,13245.443,60959.37
Cu,I,209.529,209.52925,,,13245.443,60956.32
Cu,I,210.5112,210.5115,,,11202.618,58690.91
Cu,I,211.1006,211.1007,,,13245.443,60601.19
Cu,I,211.128,211.12789,,,13245.443,60595.1
Cu,I,211.326,211.3238,,,30535.324,77841.1
Cu,I,212.435,212.439,,,30783.697,77841.1
Cu,I,213.0762,213.0762,,,11202.618,58119.37
Cu,I,213.4283,213.4282,,,13245.443,60084.83
Cu,I,213.4952,213.495,,,13245.443,60070.17
Cu,I,213.8546,213.8549,,,11202.618,57948.568
Cu,I,214.037,214.021,1.0,,11202.618,57912.353
Cu,I,214.0533,214.0538,,,11202.618,57905.117
Cu,I,216.5093,216.50934,,55000000.0,0.0,46172.89
Cu,I,216.9586,216.9587,,,13245.443,59322.72
Cu,I,217.1835,217.1837,,,13245.443,59274.99
Cu,I,217.8944,217.8949,,91000000.0,0.0,45879.32
Cu,I,218.172,218.1725,,99000000.0,0.0,45820.94
Cu,I,219.9583,219.9592,,,11202.618,56651.41
Cu,I,219.9752,219.9753,,,13245.443,58690.91
Cu,I,221.4581,221.4591,,,11202.618,56343.62
Cu,I,221.5654,221.566,,,13245.443,58364.66
Cu,I,222.5697,222.5702,,44000000.0,0.0,44915.68
Cu,I,222.7775,222.7773,,,13245.443,58119.37
Cu,I,223.0084,223.0092,,,11202.618,56029.89
Cu,I,223.6278,223.6286,,,13245.443,57948.568
Cu,I,223.8454,223.8462,,,13245.443,57905.117
Cu,I,224.4265,224.4267,,1850000.0,0.0,44544.16
Cu,I,224.7503,224.7514,2.0,,30783.697,75263.5
Cu,I,225.5286,225.533,0.0,,30783.697,75109.47
Cu,I,226.0528,226.0529,,,11202.618,55426.3543
Cu,I,226.3084,226.3085,,,13245.443,57419.24
Cu,I,229.3845,229.3847,,,11202.618,54784.065
Cu,I,230.3117,230.3122,,,13245.443,56651.41
Cu,I,231.9563,231.9571,,,13245.443,56343.62
Cu,I,234.8352,234.8376,2.0,,30535.324,73104.9
Cu,I,236.3199,236.31997,,70000.0,0.0,42302.58
Cu,I,239.263,239.26279,,,13245.443,55027.762
Cu,I,240.4864,240.4869,,,30535.324,72104.99
Cu,I,240.6665,240.6666,1500.0,,13245.443,54784.065
Cu,I,241.5197,241.5194,5.0,,30535.324,71927.28
Cu,I,241.6605,241.6605,5.0,,30783.697,72151.49
Cu,I,242.0606,242.0601,,,39018.69,80318.2
Cu,I,244.1637,244.1633,,2010000.0,0.0,40943.78
Cu,I,245.774,245.773,,,39018.69,79694.4
Cu,I,245.888,245.887,,,39018.69,79675.4
Cu,I,246.093,246.096,,,39018.69,79640.9
Cu,I,247.083,247.082,,,40114.01,80574.1
Cu,I,247.4818,247.4838,5.0,,30783.697,71178.18
Cu,I,247.9564,247.953,1.0,,30535.324,70853.37
Cu,I,247.9754,247.9748,10.0,,30783.697,71098.2
Cu,I,249.2146,249.21428,,2790000.0,0.0,40114.01
Cu,I,249.489,249.4901,10.0,,30783.697,70853.37
Cu,I,253.667,253.673,,,40909.16,80318.2
Cu,I,253.686,253.691,,,41153.47,80559.7
Cu,I,254.038,254.04,,,41153.47,80505.6
Cu,I,254.748,254.7494,,,39018.69,78261.18
Cu,I,255.256,255.2552,,,41153.47,80318.2
Cu,I,255.329,255.326,,,40114.01,79267.93
Cu,I,256.3167,256.3151,,,40114.01,79116.79
Cu,I,256.3553,256.3546,,,41562.93,80559.7
Cu,I,256.3955,256.3948,,,41562.93,80553.6
Cu,I,256.733,256.7326,,,40114.01,79053.38
Cu,I,256.9888,256.9881,,,39018.69,77919.35
