element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Cu,II,180.09806,180.09789,11000.0,,69704.7015,125230.061
Cu,II,180.78535,180.78535,160000.0,,73595.8143,128910.03
Cu,II,185.6937,185.69289,14000.0,,85388.772,139241.13
Cu,II,186.157,186.16226,10000.0,,71531.542,125248.121
Cu,II,187.4166,187.416676,14000.0,,85388.772,138745.817
Cu,II,187.574638,187.574622,20000.0,,69704.7015,123016.8175
Cu,II,188.2253,188.22566,17000.0,,85388.772,138516.49
Cu,II,190.3858,190.386698,410.0,,85388.772,137913.45
Cu,II,192.06709,192.067133,43000.0,15000000.0,66418.6849,118483.8135
Cu,II,192.214229,192.214231,94000.0,,71531.542,123556.8261
Cu,II,192.4548,192.45458,5200.0,,95565.619,147525.93
Cu,II,192.846,192.84863,46000.0,,85388.772,137242.914
Cu,II,,192.960764,,,85388.772,137212.779
Cu,II,192.975131,192.975129,340000.0,21000000.0,69704.7015,121524.8509
Cu,II,194.2303,194.23029,31000.0,,71531.542,123016.8175
Cu,II,194.459596,194.459601,6000000.0,19900000.0,21928.7326,73353.2957
Cu,II,194.64928,194.649291,130000.0,,69704.7015,121079.1501
Cu,II,195.25792,195.257557,97000.0,,71531.542,122745.9491
Cu,II,195.75176,195.751767,190000.0,,69704.7015,120789.80865
Cu,II,196.8008,196.801129,9700.0,18000000.0,66418.6849,117231.4014
Cu,II,197.04936,197.049395,760000.0,5300000.0,22847.1176,73595.8143
Cu,II,197.4467,197.446773,2800.0,,85388.772,136035.3328
Cu,II,197.70266,197.702671,80000.0,,72723.817,123304.823
Cu,II,197.995578,197.995579,18000000.0,96000000.0,22847.1176,73353.2957
Cu,II,198.21503,198.214827,16000.0,,71531.542,121981.8546
Cu,II,198.4763,198.476431,14000.0,,88362.001,138745.817
Cu,II,198.6307,198.630794,8100.0,,85388.772,135733.433
Cu,II,198.985478,198.98548,7400000.0,98000000.0,22847.1176,73102.0408
Cu,II,199.018,199.018009,670000.0,130000000.0,67916.5572,118163.2663
Cu,II,199.38395,199.38395,34000.0,,88362.001,138516.49
Cu,II,199.4257,199.425958,17000.0,,72723.817,122867.7407
Cu,II,199.85575,199.85579,34000.0,,68447.7349,118483.8135
Cu,II,199.95327,199.953361,140000.0,58000000.0,67916.5572,117928.2197
Cu,II,199.969752,199.969754,20000000.0,213000000.0,21928.7326,71920.0961
Cu,II,200.29033,200.2902,73000.0,,88605.096,138516.49
Cu,II,200.932,200.928239,6800.0,,68730.8876,118483.8135
Cu,II,201.298037,201.298041,1800000.0,250000000.0,66418.6849,116080.2237
Cu,II,201.55822,201.558222,1400000.0,21000000.0,23998.3718,73595.8143
Cu,II,201.5866,201.58649,39000.0,,88926.002,138516.49
Cu,II,201.68964,201.689673,1700000.0,8100000.0,21928.7326,71493.8548
Cu,II,201.76096,201.760977,160000.0,,71531.542,121079.1501
Cu,II,202.21913,202.219147,170000.0,11400000.0,68447.7349,117883.0985
Cu,II,202.548773,202.548775,8100000.0,68000000.0,23998.3718,73353.2957
Cu,II,202.5919,202.591683,25000.0,,71531.542,120876.0141
Cu,II,202.71336,202.713416,610000.0,130000000.0,67916.5572,117231.4014
Cu,II,202.9471,202.947227,37000.0,,72723.817,121981.8546
Cu,II,202.99491,202.994908,560000.0,80000000.0,66418.6849,115665.1539
Cu,II,203.103579,203.103598,2700000.0,450000000.0,66418.6849,115638.8036
Cu,II,203.3844,203.384242,62000.0,8900000.0,68730.8876,117883.0985
Cu,II,203.585321,203.585327,19000000.0,370000000.0,23998.3718,73102.0408
Cu,II,203.69201,203.692001,730000.0,190000000.0,68850.2628,117928.2197
Cu,II,203.712672,203.712668,13000000.0,136000000.0,22847.1176,71920.0961
