element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mn,I,199.606,,9700.0,,,
Mn,I,199.951,,14000.0,,,
Mn,I,200.385,,18000.0,,,
Mn,I,209.216,,1500.0,,,
Mn,I,210.958,,1700.0,,,
Mn,I,220.881,,290.0,,,
Mn,I,221.385,,540.0,,,
Mn,I,222.184,,770.0,,,
Mn,I,253.306,,75.0,,,
Mn,I,257.276,,580.0,,,
Mn,I,257.551,,480.0,,,
Mn,I,258.431,,550.0,,,
Mn,I,259.294,,250.0,,,
Mn,I,259.576,,250.0,,,
Mn,I,260.214,,40.0,,,
Mn,I,262.29,,140.0,,,
Mn,I,262.404,,150.0,,,
Mn,I,262.664,,95.0,,,
Mn,I,263.026,,30.0,,,
Mn,I,263.057,,60.0,,,
Mn,I,266.7,,45.0,,,
Mn,I,267.633,,30.0,,,
Mn,I,268.172,,40.0,,,
Mn,I,268.302,,45.0,,,
Mn,I,268.375,,23.0,,,
Mn,I,269.266,,85.0,,,
Mn,I,273.886,,30.0,,,
Mn,I,276.093,,,,,
Mn,I,277.144,,30.0,,,
Mn,I,277.623,,,,,
Mn,I,278.0,,30.0,,,
Mn,I,278.92,,55.0,,,
Mn,I,279.036,,60.0,,,
Mn,I,279.108,,60.0,,,
Mn,I,279.482,279.4817,6200.0,370000000.0,0.0,35769.97
Mn,I,279.827,279.8269,5100.0,360000000.0,0.0,35725.85
Mn,I,279.984,,220.0,,,
Mn,I,280.106,280.1081,3700.0,370000000.0,0.0,35689.98
Mn,I,280.41,,70.0,,,
Mn,I,280.614,,60.0,,,
Mn,I,280.802,,55.0,,,
Mn,I,280.911,,110.0,,,
Mn,I,281.284,,60.0,,,
Mn,I,281.347,,70.0,,,
Mn,I,281.797,,85.0,,,
Mn,I,281.877,,40.0,,,
Mn,I,282.145,,55.0,,,
Mn,I,282.255,,55.0,,,
Mn,I,283.079,,80.0,,,
Mn,I,283.631,,27.0,,,
Mn,I,288.29,,40.0,,,
Mn,I,290.722,,40.0,,,
Mn,I,291.46,,,,,
Mn,I,292.557,,,,,
Mn,I,292.868,,27.0,,,
Mn,I,293.402,,27.0,,,
Mn,I,294.039,,,,,
Mn,I,294.048,,,,,
Mn,I,294.104,,60.0,,,
Mn,I,300.766,300.765,40.0,18000000.0,25281.04,58519.9
Mn,I,301.116,301.1163,40.0,11000000.0,25285.43,58485.52
Mn,I,301.138,301.1372,40.0,31000000.0,25287.74,58485.52
Mn,I,301.467,,40.0,,,
Mn,I,301.645,301.6453,60.0,29000000.0,25285.43,58427.3
Mn,I,302.275,,70.0,,,
Mn,I,304.06,,95.0,,,
Mn,I,,304.1219,,11000000.0,25287.74,58159.73
Mn,I,304.273,,27.0,,,
Mn,I,,304.3138,,14000000.0,25285.43,58136.69
Mn,I,304.336,304.3352,85.0,59000000.0,25287.74,58136.69
Mn,I,304.457,304.4578,330.0,57000000.0,17052.29,49888.01
Mn,I,304.559,304.559,120.0,67000000.0,25285.43,58110.24
Mn,I,,304.5804,,17000000.0,25287.74,58110.24
Mn,I,,304.658,,13000000.0,34938.7,67752.84
Mn,I,304.704,304.7028,200.0,61000000.0,25265.74,58075.06
Mn,I,304.886,304.8858,40.0,9100000.0,25285.43,58075.06
Mn,I,305.436,305.4366,250.0,46000000.0,17282.0,50012.5
Mn,I,306.212,306.2131,140.0,13000000.0,17451.52,50099.03
Mn,I,306.602,306.6028,170.0,16000000.0,17282.0,49888.01
Mn,I,307.027,307.0268,170.0,19000000.0,17451.52,50012.5
Mn,I,307.313,307.3141,160.0,37000000.0,17568.48,50099.03
Mn,I,307.963,307.9642,90.0,16000000.0,17637.15,50099.03
Mn,I,308.133,308.1337,50.0,3000000.0,17568.48,50012.5
Mn,I,308.205,,23.0,,,
Mn,I,,308.2698,,29000000.0,34138.88,66568.58
Mn,I,,309.1141,,790000.0,30419.61,62760.73
Mn,I,,309.3347,,2800000.0,34250.52,66568.58
Mn,I,309.706,,40.0,,,
Mn,I,,309.7753,,5600000.0,34250.52,66522.62
Mn,I,,309.8089,,2000000.0,27201.54,59470.14
Mn,I,,310.3281,,6300000.0,27201.54,59416.15
Mn,I,,310.6742,,9300000.0,34343.9,66522.62
Mn,I,,310.8635,,5500000.0,27201.54,59360.67
Mn,I,311.068,311.0684,40.0,27000000.0,27201.54,59339.49
Mn,I,,311.3133,,5100000.0,27248.0,59360.67
Mn,I,,311.3356,,8800000.0,34343.9,66454.27
Mn,I,,311.3791,,26000000.0,34250.52,66356.4
Mn,I,,311.413,,4100000.0,27281.85,59384.24
Mn,I,,311.5471,,14000000.0,27201.54,59290.11
Mn,I,,311.5766,,12000000.0,30419.61,62505.14
Mn,I,,311.6823,,3100000.0,34343.9,66418.55
Mn,I,,311.753,,10000000.0,30419.61,62486.99
Mn,I,,311.8123,,17000000.0,30425.71,62486.99
Mn,I,,312.1071,,11000000.0,34423.27,66454.27
Mn,I,,312.2874,,19000000.0,34343.9,66356.4
Mn,I,,312.6838,,23000000.0,34423.27,66395.19
Mn,I,,313.2287,,21000000.0,34938.7,66855.0
Mn,I,,313.2788,,27000000.0,34423.27,66334.47
Mn,I,,313.5191,,2800000.0,24779.32,56666.06
Mn,I,,313.6972,,4000000.0,27248.0,59116.64
Mn,I,,313.814,,1100000.0,23549.2,55406.0
Mn,I,,314.1821,,670000.0,23549.2,55368.66
Mn,I,,314.2671,,4100000.0,23296.67,55107.52
Mn,I,,314.6326,,500000.0,24788.05,56561.95
Mn,I,314.818,314.8182,,8800000.0,18402.46,50157.63
Mn,I,,314.885,,8900000.0,34138.88,65887.31
Mn,I,,314.9917,,1900000.0,23719.52,55457.2
Mn,I,,315.1456,,10000000.0,35114.98,66837.16
Mn,I,,315.2243,,8100000.0,38008.7,69722.96
Mn,I,,315.6075,,16000000.0,35165.05,66840.8
Mn,I,,315.995,,3100000.0,23549.2,55186.1
Mn,I,,316.0151,,14000000.0,34938.7,66573.6
Mn,I,316.104,316.1041,,4800000.0,18531.64,50157.63
Mn,I,,316.782,,720000.0,23549.2,55107.52
Mn,I,,316.9356,,7500000.0,38120.18,
Mn,I,,317.042,,3700000.0,34343.9,65876.34
Mn,I,,317.5377,,6500000.0,34463.37,65946.59
Mn,I,,317.5575,,18000000.0,35041.37,66522.62
Mn,I,,317.5717,,12000000.0,34938.7,66418.55
Mn,I,,317.706,,1100000.0,23719.52,55186.1
Mn,I,,317.7615,,1200000.0,23818.87,55279.91
Mn,I,317.85,317.8502,,3700000.0,18705.37,50157.63
Mn,I,,318.996,,16000000.0,35114.98,66454.27
Mn,I,,319.2432,,7000000.0,35041.37,66356.4
Mn,I,,320.111,,22000000.0,35165.05,66395.19
Mn,I,,320.2202,,4500000.0,35114.98,66334.47
Mn,I,,320.3135,,3700000.0,34938.7,66149.1
Mn,I,,320.6906,,1000000.0,17052.29,48225.99
Mn,I,321.288,321.2882,220.0,16000000.0,17052.29,48168.01
Mn,I,321.695,321.6945,65.0,245000.0,0.0,31076.42
Mn,I,,322.4756,,378000.0,0.0,31001.15
Mn,I,,322.6029,,4900000.0,17282.0,48270.91
Mn,I,,322.7034,,10000000.0,35041.37,66020.63
Mn,I,322.809,322.8089,1000.0,64000000.0,17052.29,48021.43
Mn,I,,323.023,,19000000.0,34938.7,65887.31
Mn,I,323.072,323.0713,300.0,35000000.0,17282.0,48225.99
Mn,I,323.678,,850.0,,,
Mn,I,,323.8713,,12000000.0,35041.37,65908.92
Mn,I,,324.0397,,6400000.0,17052.29,47903.8
Mn,I,,324.0613,,9800000.0,17451.52,48300.98
Mn,I,,324.088,,22000000.0,35114.98,65961.9
Mn,I,324.378,324.3775,330.0,53000000.0,17451.52,48270.91
Mn,I,324.852,,650.0,,,
Mn,I,,324.9894,,8100000.0,35114.98,65876.34
Mn,I,325.114,325.1133,100.0,23000000.0,17568.48,48318.12
Mn,I,325.295,325.2946,310.0,18000000.0,17568.48,48300.98
Mn,I,325.404,325.4034,65.0,1700000.0,17052.29,47774.52
Mn,I,,325.5504,,10000000.0,35165.05,65873.4
Mn,I,325.614,325.6132,310.0,50000000.0,17568.48,48270.91
Mn,I,325.841,325.841,220.0,97000000.0,17637.15,48318.12
Mn,I,326.023,326.0231,180.0,38000000.0,17637.15,48300.98
Mn,I,,326.3035,,1400000.0,34250.52,64888.0
Mn,I,326.471,326.4706,180.0,14000000.0,17282.0,47903.8
Mn,I,,326.778,,35000000.0,34138.88,64731.88
Mn,I,,326.872,,33000000.0,33825.49,64409.69
Mn,I,,327.0344,,26000000.0,34250.52,64819.53
Mn,I,,327.3011,,27000000.0,34343.9,64888.0
Mn,I,,327.806,,11000000.0,34423.27,64920.33
