element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Zn,II,181.1008,,,,106852.4,162070.3
Zn,II,181.6479,,80.0,,,
Zn,II,183.1376,,80.0,,110672.3,165277.1
Zn,II,183.3573,,,,106779.9,161318.4
Zn,II,183.6007,,70.0,,106852.4,161318.4
Zn,II,183.6654,,75.0,,65441.64,119888.51
Zn,II,184.7562,,75.0,,113499.2,167624.4
Zn,II,186.4117,,100.0,,,
Zn,II,186.6077,,100.0,,,
Zn,II,187.2128,,100.0,,,
Zn,II,189.4259,,75.0,,114833.95,167624.4
Zn,II,190.1523,,60.0,,112409.7,164998.9
Zn,II,191.4806,,60.0,,110672.3,162897.0
Zn,II,191.8962,,,,62722.45,114833.95
Zn,II,192.0271,,70.0,,111994.3,164070.1
Zn,II,192.967,,,2710000.0,65441.64,117264.0
Zn,II,194.5583,,60.0,,110672.3,162070.3
Zn,II,195.1911,,60.0,,114045.03,165277.1
Zn,II,195.2999,,80.0,,110867.2,162070.3
Zn,II,195.4872,,75.0,,111743.0,162897.0
Zn,II,196.4538,,80.0,,111994.3,162897.0
Zn,II,196.9404,,100.0,,62722.45,113499.2
Zn,II,198.2111,,100.0,,110867.2,161318.4
Zn,II,198.5608,,70.0,,112534.9,162897.0
Zn,II,198.6988,,100.0,,111743.0,162070.3
Zn,II,199.3367,,50.0,,114833.95,164998.9
Zn,II,199.6922,,50.0,,111994.3,162070.3
Zn,II,201.194,,100.0,,62722.45,112409.7
Zn,II,202.54845,,500.0,407000000.0,0.0,49355.04
Zn,II,203.9307,,60.0,,62722.45,111743.0
Zn,II,206.20011,,500.0,386000000.0,0.0,48481.0
Zn,II,206.42266,,200.0,460000000.0,48481.0,96909.74
Zn,II,207.9933,,50.0,,114833.95,162897.0
Zn,II,209.99273,,300.0,560000000.0,49355.04,96960.4
Zn,II,210.21661,,200.0,93000000.0,49355.04,96909.74
Zn,II,212.2741,,75.0,,65441.64,112534.9
Zn,II,214.7419,,75.0,,65441.64,111994.3
Zn,II,221.0176,,60.0,,65441.64,110672.3
Zn,II,227.315,,50.0,,88437.15,132414.9
Zn,II,250.19945,,1000.0,197000000.0,48481.0,88437.15
Zn,II,252.796,,50.0,,96960.4,
Zn,II,255.7946,,1000.0,391000000.0,49355.04,88437.15
Zn,II,256.7795,,50.0,,96960.4,135892.6
Zn,II,256.7975,,50.0,,96960.4,135889.9
Zn,II,257.0652,,30.0,17600000.0,62722.45,101611.4
Zn,II,276.3955,,30.0,1910000.0,65441.64,101611.4
Zn,II,278.281,,30.0,4370000.0,65441.64,101365.9
Zn,II,280.1965,,100.0,,96960.4,132639.4
Zn,II,290.23,,100.0,,101611.4,136056.8
Zn,II,317.145,,100.0,,88437.15,119959.34
Zn,II,317.223,,100.0,,101365.9,132880.6
Zn,II,319.6311,,300.0,,101611.4,132888.4
Zn,II,319.71,,100.0,,101611.4,132880.6
Zn,II,329.9417,,50.0,,96909.74,127209.4
Zn,II,330.601,,75.0,,96960.4,127199.6
Zn,II,380.6344,,50.0,,101365.9,127630.6
Zn,II,384.029,,100.0,,101611.4,127643.7
Zn,II,407.814,,40.0,8900000.0,101365.9,125880.0
Zn,II,411.939,,40.0,15600000.0,101611.4,125880.0
Zn,II,491.16269,,800.0,182000000.0,96909.74,117264.0
Zn,II,492.38892,,7.0,,96960.4,117264.0
Zn,II,492.40132,,500.0,272000000.0,96960.4,117263.4
Zn,II,589.43607,,500.0,,48481.0,65441.64
Zn,II,602.118,,500.0,75000000.0,101365.9,117969.32
Zn,II,610.249,,500.0,62100000.0,101611.4,117993.61
Zn,II,611.153,,100.0,4280000.0,101611.4,117969.32
Zn,II,621.45778,,500.0,,49355.04,65441.64
Zn,II,747.87691,,200.0,,49355.04,62722.45
Zn,II,758.84648,,300.0,54000000.0,88437.15,101611.4
Zn,II,761.29,,100.0,32200000.0,101365.9,114498.02
Zn,II,773.24886,,300.0,51000000.0,88437.15,101365.9
Zn,II,775.79,,200.0,64000000.0,101611.4,114498.02
