spectrum_path,spectrum_filename,target_id,sample_id,material_id,group_id,possible_family_id,Zn_raw,Zn_mask,Mn_raw,Mn_mask,Cd_raw,Cd_mask,MgO_raw,Mg_mask,Cu_raw,Cu_mask,Pb_raw,Pb_mask,Mg_elemental_equivalent
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0201h.csv,plibs_z903_0201h.csv,0201h,0201H,,0201h,,83.0,1,1084.0,1,,0,2.32,1,3.0,1,7.5,1,1.3990571655418815
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0211h.csv,plibs_z903_0211h.csv,0211h,0211H,,0211h,,136.0,1,1549.0,1,,0,4.09,1,7.0,1,10.4,1,2.466441296149265
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0212h.csv,plibs_z903_0212h.csv,0212h,0212H,,0212h,,106.0,1,1348.0,1,,0,4.53,1,13.0,1,,0,2.731779724096864
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0214h.csv,plibs_z903_0214h.csv,0214h,0214H,,0214h,,116.0,1,1162.0,1,,0,0.88,1,3.0,1,12.3,1,0.5306768558951965
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0230h.csv,plibs_z903_0230h.csv,0230h,0230H,,0230h,,129.0,1,1239.0,1,,0,0.54,1,,0,18.6,1,0.3256426161175069
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0232h.csv,plibs_z903_0232h.csv,0232h,0232H,,0232h,,93.0,1,1239.0,1,,0,6.5,1,14.0,1,13.8,1,3.919772231044065
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0242h.csv,plibs_z903_0242h.csv,0242h,0242H,,0242h,,115.0,1,1317.0,1,,0,0.8,1,3.0,1,11.6,1,0.4824335053592695
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0245h.csv,plibs_z903_0245h.csv,0245h,0245H,,0245h,,93.0,1,1084.0,1,,0,4.86,1,9.0,1,14.5,1,2.9307835450575626
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0248h.csv,plibs_z903_0248h.csv,0248h,0248H,,0248h,,121.0,1,1859.0,1,,0,2.47,1,2.0,1,7.4,1,1.4895134477967449
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0250h.csv,plibs_z903_0250h.csv,0250h,0250H,,0250h,,40.0,1,232.0,1,,0,0.16,1,,0,35.8,1,0.0964867010718539
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0254h.csv,plibs_z903_0254h.csv,0254h,0254H,,0254h,,40.0,1,155.0,1,,0,0.04,1,,0,30.2,1,0.0241216752679634
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0255h.csv,plibs_z903_0255h.csv,0255h,0255H,,0255h,,26.0,1,155.0,1,,0,0.0,1,,0,42.9,1,0.0
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0257h.csv,plibs_z903_0257h.csv,0257h,0257H,,0257h,,82.0,1,1162.0,1,,0,1.58,1,6.0,1,12.4,1,0.9528061730845574
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0401h.csv,plibs_z903_0401h.csv,0401h,0401H,,0401h,,68.0,1,411.0,1,,0,0.59,1,15.0,1,,0,0.3557947102024612
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_04g067.csv,plibs_z903_04g067.csv,04g067,04G067,,04g067,,58.0,1,620.0,1,,0,0.72,1,,0,25.0,1,0.4341901548233425
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0502h.csv,plibs_z903_0502h.csv,0502h,0502H,,0502h,,54.0,1,528.0,1,,0,0.94,1,13.0,1,,0,0.5668593687971416
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0507h.csv,plibs_z903_0507h.csv,0507h,0507H,,0507h,,35.0,1,358.0,1,,0,0.33,1,,0,20.4,1,0.1990038209606986
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0509h.csv,plibs_z903_0509h.csv,0509h,0509H,,0509h,,61.0,1,388.0,1,,0,0.18,1,2.0,1,20.0,1,0.1085475387058356
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_050a.csv,plibs_z903_050a.csv,050a,050A,,050a,,24.0,1,310.0,1,,0,0.02,1,,0,21.0,1,0.0120608376339817
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0514h.csv,plibs_z903_0514h.csv,0514h,0514H,,0514h,,33.0,1,379.0,1,,0,0.32,1,3.0,1,18.0,1,0.1929734021437078
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0519h.csv,plibs_z903_0519h.csv,0519h,0519H,,0519h,,81.0,1,1258.0,1,,0,4.66,1,15.0,1,6.4,1,2.810175168717745
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0529h.csv,plibs_z903_0529h.csv,0529h,0529H,,0529h,,40.0,1,825.0,1,,0,10.67,1,14.0,1,2.6,1,6.434456877729257
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0532h.csv,plibs_z903_0532h.csv,0532h,0532H,,0532h,,69.0,1,1211.0,1,,0,8.04,1,17.0,1,3.3,1,4.848456728860659
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0547h.csv,plibs_z903_0547h.csv,0547h,0547H,,0547h,,95.0,1,465.0,1,,0,,0,,0,123.9,1,
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0548h.csv,plibs_z903_0548h.csv,0548h,0548H,,0548h,,80.0,1,417.0,1,,0,0.09,1,2.0,1,,0,0.0542737693529178
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0605h.csv,plibs_z903_0605h.csv,0605h,0605H,,0605h,,117.0,1,1007.0,1,,0,0.53,1,5.0,1,18.4,1,0.3196121973005161
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0616h.csv,plibs_z903_0616h.csv,0616h,0616H,,0616h,,144.0,1,1549.0,1,,0,1.98,1,18.0,1,14.7,1,1.194022925764192
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_0621h.csv,plibs_z903_0621h.csv,0621h,0621H,,0621h,,36.0,1,232.0,1,,0,0.08,1,,0,28.7,1,0.0482433505359269
D:\PROJECT\atomic-spectrum-cnn-copilot\atomic-spectrum-cnn-copilot\data\raw\pds_z903\plibs_z903_10d7.csv,plibs_z903_10d7.csv,10d7,10D7,,10d7,,113.0,1,1472.0,1,,0,6.54,1,,0,,0,3.943893906312028
