element,source_file,output_file,split,source_index,Te_eV,Ne_cm3,resolution,augmentation_seed
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0000.png,train,1,0.7,1e+17,500,3935218955
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0001.png,train,1,0.7,1e+17,500,425157410
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0002.png,train,1,0.7,1e+17,500,2286805152
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0003.png,train,1,0.7,1e+17,500,3064971158
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0004.png,train,1,0.7,1e+17,500,2823108221
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0005.png,train,1,0.7,1e+17,500,743975362
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0006.png,train,1,0.7,1e+17,500,3479103886
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0007.png,train,1,0.7,1e+17,500,3940099425
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0008.png,train,1,0.7,1e+17,500,711149733
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0009.png,train,1,0.7,1e+17,500,1348400225
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0010.png,train,1,0.7,1e+17,500,1856251065
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0011.png,train,1,0.7,1e+17,500,2932197433
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0012.png,train,1,0.7,1e+17,500,2389438749
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0013.png,train,1,0.7,1e+17,500,4189321642
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0014.png,train,1,0.7,1e+17,500,4228887953
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0015.png,train,1,0.7,1e+17,500,640645558
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0016.png,train,1,0.7,1e+17,500,2401215217
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0017.png,train,1,0.7,1e+17,500,107306253
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0018.png,train,1,0.7,1e+17,500,3986489250
Fe,Fe/Fe_001.csv,train/Fe/Fe_001_0019.png,train,1,0.7,1e+17,500,2864112965
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0000.png,validation,2,1.0,1e+17,500,626021123
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0001.png,validation,2,1.0,1e+17,500,3600873041
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0002.png,validation,2,1.0,1e+17,500,2787556408
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0003.png,validation,2,1.0,1e+17,500,3892875534
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0004.png,validation,2,1.0,1e+17,500,742001261
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0005.png,validation,2,1.0,1e+17,500,1559180370
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0006.png,validation,2,1.0,1e+17,500,2439303346
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0007.png,validation,2,1.0,1e+17,500,3750862290
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0008.png,validation,2,1.0,1e+17,500,3624343871
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0009.png,validation,2,1.0,1e+17,500,38325257
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0010.png,validation,2,1.0,1e+17,500,1459696165
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0011.png,validation,2,1.0,1e+17,500,1619254569
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0012.png,validation,2,1.0,1e+17,500,3423480904
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0013.png,validation,2,1.0,1e+17,500,1814863843
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0014.png,validation,2,1.0,1e+17,500,3503245326
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0015.png,validation,2,1.0,1e+17,500,3259146057
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0016.png,validation,2,1.0,1e+17,500,2988946680
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0017.png,validation,2,1.0,1e+17,500,3903044000
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0018.png,validation,2,1.0,1e+17,500,1986728739
Fe,Fe/Fe_002.csv,validation/Fe/Fe_002_0019.png,validation,2,1.0,1e+17,500,1483710257
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0000.png,test,3,1.3,1e+17,500,2128412425
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0001.png,test,3,1.3,1e+17,500,1304600181
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0002.png,test,3,1.3,1e+17,500,2053344976
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0003.png,test,3,1.3,1e+17,500,1059410195
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0004.png,test,3,1.3,1e+17,500,1718964191
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0005.png,test,3,1.3,1e+17,500,1877977077
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0006.png,test,3,1.3,1e+17,500,208527754
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0007.png,test,3,1.3,1e+17,500,2793002107
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0008.png,test,3,1.3,1e+17,500,1488497177
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0009.png,test,3,1.3,1e+17,500,504549599
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0010.png,test,3,1.3,1e+17,500,295757580
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0011.png,test,3,1.3,1e+17,500,2932357552
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0012.png,test,3,1.3,1e+17,500,3222611216
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0013.png,test,3,1.3,1e+17,500,161920412
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0014.png,test,3,1.3,1e+17,500,1805578867
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0015.png,test,3,1.3,1e+17,500,2169913806
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0016.png,test,3,1.3,1e+17,500,1723173899
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0017.png,test,3,1.3,1e+17,500,2949947675
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0018.png,test,3,1.3,1e+17,500,1487506385
Fe,Fe/Fe_003.csv,test/Fe/Fe_003_0019.png,test,3,1.3,1e+17,500,742570737
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0000.png,train,1,0.7,1e+17,500,2817113723
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0001.png,train,1,0.7,1e+17,500,266936159
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0002.png,train,1,0.7,1e+17,500,772887870
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0003.png,train,1,0.7,1e+17,500,4051584258
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0004.png,train,1,0.7,1e+17,500,4085819393
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0005.png,train,1,0.7,1e+17,500,2518108850
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0006.png,train,1,0.7,1e+17,500,638356601
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0007.png,train,1,0.7,1e+17,500,2904034741
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0008.png,train,1,0.7,1e+17,500,2603948565
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0009.png,train,1,0.7,1e+17,500,89876470
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0010.png,train,1,0.7,1e+17,500,3176228536
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0011.png,train,1,0.7,1e+17,500,1091788358
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0012.png,train,1,0.7,1e+17,500,1317516898
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0013.png,train,1,0.7,1e+17,500,1972466102
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0014.png,train,1,0.7,1e+17,500,3300939823
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0015.png,train,1,0.7,1e+17,500,27749649
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0016.png,train,1,0.7,1e+17,500,1679870100
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0017.png,train,1,0.7,1e+17,500,846264692
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0018.png,train,1,0.7,1e+17,500,4140580518
Cu,Cu/Cu_001.csv,train/Cu/Cu_001_0019.png,train,1,0.7,1e+17,500,475632974
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0000.png,validation,2,1.0,1e+17,500,3198701343
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0001.png,validation,2,1.0,1e+17,500,1844295475
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0002.png,validation,2,1.0,1e+17,500,1909470160
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0003.png,validation,2,1.0,1e+17,500,1516544914
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0004.png,validation,2,1.0,1e+17,500,2425947407
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0005.png,validation,2,1.0,1e+17,500,1813286703
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0006.png,validation,2,1.0,1e+17,500,33776413
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0007.png,validation,2,1.0,1e+17,500,1490986382
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0008.png,validation,2,1.0,1e+17,500,3449551904
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0009.png,validation,2,1.0,1e+17,500,816255211
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0010.png,validation,2,1.0,1e+17,500,2019558870
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0011.png,validation,2,1.0,1e+17,500,183694383
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0012.png,validation,2,1.0,1e+17,500,1679408997
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0013.png,validation,2,1.0,1e+17,500,2133656526
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0014.png,validation,2,1.0,1e+17,500,1544034043
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0015.png,validation,2,1.0,1e+17,500,1653246962
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0016.png,validation,2,1.0,1e+17,500,1653159201
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0017.png,validation,2,1.0,1e+17,500,299279420
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0018.png,validation,2,1.0,1e+17,500,3821232716
Cu,Cu/Cu_002.csv,validation/Cu/Cu_002_0019.png,validation,2,1.0,1e+17,500,2404112699
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0000.png,test,3,1.3,1e+17,500,3289031332
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0001.png,test,3,1.3,1e+17,500,3474414723
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0002.png,test,3,1.3,1e+17,500,2078462944
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0003.png,test,3,1.3,1e+17,500,2605094123
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0004.png,test,3,1.3,1e+17,500,1442255354
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0005.png,test,3,1.3,1e+17,500,3660889551
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0006.png,test,3,1.3,1e+17,500,2634647244
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0007.png,test,3,1.3,1e+17,500,3729444089
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0008.png,test,3,1.3,1e+17,500,3965765614
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0009.png,test,3,1.3,1e+17,500,3914951332
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0010.png,test,3,1.3,1e+17,500,2231774455
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0011.png,test,3,1.3,1e+17,500,1563027731
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0012.png,test,3,1.3,1e+17,500,3766258806
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0013.png,test,3,1.3,1e+17,500,1388980456
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0014.png,test,3,1.3,1e+17,500,86041296
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0015.png,test,3,1.3,1e+17,500,2120697187
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0016.png,test,3,1.3,1e+17,500,1190693833
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0017.png,test,3,1.3,1e+17,500,1896930243
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0018.png,test,3,1.3,1e+17,500,3456691529
Cu,Cu/Cu_003.csv,test/Cu/Cu_003_0019.png,test,3,1.3,1e+17,500,2285101729
Na,Na/Na_001.csv,train/Na/Na_001_0000.png,train,1,0.7,1e+17,500,3611993860
Na,Na/Na_001.csv,train/Na/Na_001_0001.png,train,1,0.7,1e+17,500,546251764
Na,Na/Na_001.csv,train/Na/Na_001_0002.png,train,1,0.7,1e+17,500,1090801089
Na,Na/Na_001.csv,train/Na/Na_001_0003.png,train,1,0.7,1e+17,500,2577562704
Na,Na/Na_001.csv,train/Na/Na_001_0004.png,train,1,0.7,1e+17,500,784141384
Na,Na/Na_001.csv,train/Na/Na_001_0005.png,train,1,0.7,1e+17,500,4153907262
Na,Na/Na_001.csv,train/Na/Na_001_0006.png,train,1,0.7,1e+17,500,1974656084
Na,Na/Na_001.csv,train/Na/Na_001_0007.png,train,1,0.7,1e+17,500,2513401841
Na,Na/Na_001.csv,train/Na/Na_001_0008.png,train,1,0.7,1e+17,500,4152093055
Na,Na/Na_001.csv,train/Na/Na_001_0009.png,train,1,0.7,1e+17,500,3895957052
Na,Na/Na_001.csv,train/Na/Na_001_0010.png,train,1,0.7,1e+17,500,2373787963
Na,Na/Na_001.csv,train/Na/Na_001_0011.png,train,1,0.7,1e+17,500,1135587815
Na,Na/Na_001.csv,train/Na/Na_001_0012.png,train,1,0.7,1e+17,500,2072954921
Na,Na/Na_001.csv,train/Na/Na_001_0013.png,train,1,0.7,1e+17,500,4156499770
Na,Na/Na_001.csv,train/Na/Na_001_0014.png,train,1,0.7,1e+17,500,3531763031
Na,Na/Na_001.csv,train/Na/Na_001_0015.png,train,1,0.7,1e+17,500,916905684
Na,Na/Na_001.csv,train/Na/Na_001_0016.png,train,1,0.7,1e+17,500,3301967030
Na,Na/Na_001.csv,train/Na/Na_001_0017.png,train,1,0.7,1e+17,500,1406538241
Na,Na/Na_001.csv,train/Na/Na_001_0018.png,train,1,0.7,1e+17,500,1864312041
Na,Na/Na_001.csv,train/Na/Na_001_0019.png,train,1,0.7,1e+17,500,688505637
Na,Na/Na_002.csv,validation/Na/Na_002_0000.png,validation,2,1.0,1e+17,500,2748284710
Na,Na/Na_002.csv,validation/Na/Na_002_0001.png,validation,2,1.0,1e+17,500,158590487
Na,Na/Na_002.csv,validation/Na/Na_002_0002.png,validation,2,1.0,1e+17,500,259145712
Na,Na/Na_002.csv,validation/Na/Na_002_0003.png,validation,2,1.0,1e+17,500,60466462
Na,Na/Na_002.csv,validation/Na/Na_002_0004.png,validation,2,1.0,1e+17,500,112350220
