element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Al,I,193.2268,193.2266,,,0.0,51752.7
Al,I,193.6457,193.6459,,,112.061,51752.7
Al,I,207.962,207.964,,,112.061,48182.0
Al,I,207.962,207.964,,,0.0,48070.0
Al,I,207.987,207.986,,,112.061,48177.0
Al,I,208.015,208.016,,,112.061,48170.0
Al,I,208.046,208.046,,,112.061,48163.0
Al,I,208.046,208.046,,,0.0,48051.0
Al,I,208.079,208.081,,,112.061,48155.0
Al,I,208.115,208.116,,,112.061,48147.0
Al,I,208.14,208.132,,,0.0,48031.1
Al,I,208.157,208.159,,,112.061,48137.0
Al,I,208.201,208.202,,,112.061,48127.0
Al,I,208.25,208.247,,,0.0,48004.7
Al,I,208.253,208.254,,,112.061,48115.0
Al,I,208.31,208.311,,,112.061,48102.0
Al,I,208.375,208.375,,,0.0,47975.1
Al,I,208.375,208.376,,,112.061,48087.0
Al,I,208.448,208.45,,,112.061,48070.0
Al,I,208.524,208.525,,,0.0,47940.7
Al,I,208.532,208.532,,,112.061,48051.0
Al,I,208.623,208.619,,,112.061,48031.1
Al,I,208.736,208.734,,,112.061,48004.7
Al,I,208.866,208.863,,,112.061,47975.1
Al,I,208.915,208.916,,,0.0,47850.9
Al,I,209.016,209.013,,,112.061,47940.7
Al,I,209.17,209.169,,,0.0,47793.0
Al,I,209.192,209.191,,,112.061,47900.1
Al,I,209.33,209.3352,1.0,,32436.796,80191.9
Al,I,209.408,209.407,,,112.061,47850.9
Al,I,209.484,209.483,,,0.0,47721.3
Al,I,209.662,209.661,,,112.061,47793.0
Al,I,209.875,209.874,,,0.0,47632.6
Al,I,209.91,209.90558,,,112.061,
Al,I,209.979,209.977,,,112.061,47721.3
Al,I,210.258,210.2554,,,0.0,
Al,I,210.285,210.28017,,,112.061,
Al,I,210.366,210.366,,,0.0,47521.1
Al,I,210.371,210.369,,,112.061,47632.6
Al,I,210.755,210.75218,,,112.061,
Al,I,210.862,210.85927,,,0.0,
Al,I,210.862,210.863,,,112.061,47521.1
Al,I,211.361,211.35891,,,112.061,
Al,I,211.656,211.65388,,,0.0,
Al,I,211.8312,211.8316,,10300000.0,0.0,47192.38
Al,I,212.159,212.1573,,,112.061,
Al,I,,212.33586,,2000000.0,112.061,47192.38
Al,I,212.3362,212.33586,,12200000.0,112.061,47192.38
Al,I,212.73,212.72996,,,0.0,
Al,I,212.9663,212.96627,,15200000.0,0.0,46940.97
Al,I,213.239,213.23851,,,112.061,
Al,I,213.4733,213.47331,,18100000.0,112.061,46941.55
Al,I,,213.47596,,3000000.0,112.061,46940.97
Al,I,214.239,214.23997,,,0.0,
Al,I,214.5555,214.55548,,20600000.0,0.0,46593.32
Al,I,214.754,214.75577,,,112.061,
Al,I,215.0699,215.06989,,24600000.0,112.061,46593.95
Al,I,,215.0728,,4090000.0,112.061,46593.32
Al,I,216.0383,216.03871,3.0,,32436.796,78710.26
Al,I,216.455,216.45774,,,0.0,46183.895
Al,I,216.4915,216.49111,2.0,,32435.453,78612.23
Al,I,216.8805,216.88265,,29600000.0,0.0,46093.424
Al,I,216.981,216.98429,,,112.061,46183.895
Al,I,217.4028,217.40707,,35300000.0,112.061,46094.312
Al,I,,217.41127,,5880000.0,112.061,46093.424
Al,I,217.7396,217.7395,4.0,,29066.96,74979.02
Al,I,218.0996,218.0997,5.0,,29142.78,74979.02
Al,I,219.915,219.91827,,1750000.0,0.0,45457.244
Al,I,220.459,220.46181,,3490000.0,112.061,45457.244
Al,I,220.466,220.46676,,43700000.0,0.0,45344.165
Al,I,221.0046,221.00603,,52000000.0,112.061,45345.594
Al,I,,221.01301,,8670000.0,112.061,45344.165
Al,I,225.7999,225.8007,,3770000.0,0.0,44273.133
Al,I,226.3462,226.34644,,68300000.0,0.0,44166.398
Al,I,226.3731,226.37374,,7500000.0,112.061,44273.133
Al,I,226.6014,226.60157,3.0,,32436.796,76553.47
Al,I,226.753,226.758,4.0,,32435.453,76521.7
Al,I,226.9096,226.90963,,75800000.0,112.061,44168.847
Al,I,226.922,226.92225,,12600000.0,112.061,44166.398
Al,I,231.1035,231.1036,4.0,,29020.41,72277.75
Al,I,231.2491,231.2491,5.0,,29020.41,72250.53
Al,I,231.3526,231.3526,6.0,,29066.96,72277.75
Al,I,231.4983,231.4984,4.0,,29066.96,72250.53
Al,I,231.7482,231.7481,7.0,,29066.96,72204.0
Al,I,231.9057,231.9056,5.0,,29142.78,72250.53
Al,I,232.1562,232.1562,9.0,,29142.78,72204.0
Al,I,236.7052,236.70518,,76100000.0,0.0,42233.742
Al,I,236.7611,236.7611,8.0,,29020.41,71244.17
Al,I,236.8112,236.8112,8.0,,29020.41,71235.25
Al,I,236.9304,236.9305,10.0,,29066.96,71260.55
Al,I,237.0225,237.0225,9.0,,29066.96,71244.17
Al,I,237.0726,237.0726,6.0,,29066.96,71235.25
Al,I,237.207,237.20695,,5760000.0,0.0,42144.411
Al,I,237.3124,237.3122,,90700000.0,112.061,42237.783
Al,I,237.3349,237.33497,,15100000.0,112.061,42233.742
Al,I,237.3571,237.357,8.0,,29142.78,71260.55
Al,I,237.4496,237.4494,4.0,,29142.78,71244.17
Al,I,237.8368,237.83941,,11400000.0,112.061,42144.411
Al,I,242.305,242.304,5.0,,38933.968,80191.9
Al,I,242.477,242.4765,5.0,,38929.413,80158.0
Al,I,242.505,242.5033,1.0,,38933.968,80158.0
Al,I,245.983,245.9825,5.0,,32436.796,73077.8
Al,I,246.574,246.5744,4.0,,32435.453,72978.9
Al,I,251.3305,251.3304,5.0,,38933.968,78710.26
Al,I,251.9222,251.9224,4.0,,38929.413,78612.23
Al,I,251.9514,251.9514,1.0,,38933.968,78612.23
Al,I,256.7984,256.79823,,19200000.0,0.0,38929.413
Al,I,257.5094,257.5094,,36000000.0,112.061,38933.968
Al,I,257.5393,257.53962,,5990000.0,112.061,38929.413
Al,I,263.395,263.3975,2.0,,42237.783,80191.9
Al,I,263.603,263.6049,2.0,,42233.742,80158.0
Al,I,263.632,263.633,1.0,,42237.783,80158.0
Al,I,264.749,264.7545,6.0,,32949.807,70709.4
Al,I,264.861,264.8656,4.0,,32965.639,70709.4
Al,I,265.2484,265.24758,,14200000.0,0.0,37689.407
Al,I,265.7406,265.7405,3.0,,38933.968,76553.47
Al,I,265.933,265.9329,3.0,,38929.413,76521.7
Al,I,266.0393,266.03863,,28400000.0,112.061,37689.407
Al,I,274.098,274.0983,4.0,,42237.783,78710.26
Al,I,274.8065,274.8065,3.0,,42233.742,78612.23
Al,I,277.519,277.5181,1.0,,44168.847,80191.9
Al,I,277.763,277.7606,2.0,,44166.398,80158.0
Al,I,283.7856,283.78563,2.0,,32435.453,67662.959
Al,I,283.7963,283.79645,7.0,,32436.796,67662.959
Al,I,284.0099,284.01002,7.0,,32435.453,67635.128
Al,I,284.0205,284.02086,2.0,,32436.796,67635.128
Al,I,286.892,286.8902,1.0,,45345.594,80191.9
Al,I,287.157,287.1578,2.0,,45344.165,80158.0
Al,I,289.4228,289.4227,3.0,,44168.847,78710.26
Al,I,290.2258,290.2258,2.0,,44166.398,78612.23
Al,I,291.3267,291.3266,3.0,,42237.783,76553.47
Al,I,291.566,291.5622,2.0,,42233.742,76521.7
Al,I,292.793,292.793,5.0,,38933.968,73077.8
Al,I,293.604,293.6043,3.0,,38929.413,72978.9
Al,I,299.629,299.6309,3.0,,45345.594,78710.26
Al,I,300.502,300.501,1.0,,45344.165,78612.23
Al,I,305.0073,305.0072,13.0,,29066.96,61843.54
Al,I,305.4679,305.4679,5.0,,29020.41,61747.56
Al,I,305.7144,305.7144,14.0,,29142.78,61843.54
Al,I,305.9029,305.903,4.0,,29066.96,61747.56
Al,I,305.9924,305.9924,4.0,,29020.41,61691.46
Al,I,306.429,306.429,7.0,,29066.96,61691.46
Al,I,306.512,306.5094,1.0,,46094.312,78710.26
Al,I,306.6145,306.6144,5.0,,29142.78,61747.56
Al,I,308.21529,308.2151,,58700000.0,0.0,32435.453
Al,I,308.702,308.6989,5.0,,44168.847,76553.47
Al,I,308.982,308.9786,1.0,,44166.398,76521.7
Al,I,309.27099,309.27084,,72900000.0,112.061,32436.796
Al,I,309.28386,309.28369,,11600000.0,112.061,32435.453
Al,I,320.339,320.3394,4.0,,45345.594,76553.47
Al,I,324.159,324.1605,3.0,,42237.783,73077.8
Al,I,325.16,325.1607,2.0,,42233.742,72978.9
Al,I,328.22,328.2139,3.0,,46094.312,76553.47
Al,I,343.9347,343.9346,,,0.0,29066.96
Al,I,344.364,344.364,,,112.061,29142.78
Al,I,344.4865,344.4863,,,0.0,29020.41
Al,I,345.2657,345.2658,,,112.061,29066.96
Al,I,345.8216,345.8145,,,44168.847,73077.8
Al,I,345.8216,345.8218,,,112.061,29020.41
Al,I,346.98,346.9722,1.0,,44166.398,72978.9
Al,I,347.9806,347.98083,5.0,,38933.968,67662.959
Al,I,348.2628,348.263,5.0,,38929.413,67635.128
Al,I,393.1996,393.19962,5.0,,42237.783,67662.959
Al,I,393.5677,393.56789,4.0,,42233.742,67635.128
Al,I,394.40058,394.4006,,49900000.0,0.0,25347.756
Al,I,396.152,396.15201,,98500000.0,112.061,25347.756
Al,I,425.512,425.5188,2.0,,44168.847,67662.959
Al,I,510.752,510.7517,6.0,,25347.756,44921.287
Al,I,510.7943,510.794,4.0,,25347.756,44919.666
Al,I,555.7063,555.7059,10.0,230000.0,25347.756,43337.889
Al,I,555.7948,555.7944,8.0,229000.0,25347.756,43335.024
Al,I,669.6015,669.6018,13.0,1000000.0,25347.756,40277.883
Al,I,669.8673,669.8667,11.0,1000000.0,25347.756,40271.978
Al,I,678.52,678.4242,1.0,,32436.796,
Al,I,,690.5638,,1080000.0,32435.453,
Al,I,,690.6279,,76900.0,32436.796,
Al,I,690.64,690.6279,3.0,1150000.0,32436.796,
Al,I,708.3968,708.3969,5.0,1540000.0,32435.453,46547.942
