element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Al,II,180.74168,180.7416,70.0,,91274.5,146602.1
Al,II,180.75851,180.7584,20.0,,91274.5,146596.95
Al,II,180.7651,180.7653,1.0,,91274.5,146594.85
Al,II,181.8352,181.8355,50.0,545000000.0,95549.42,150544.17
Al,II,181.8392,181.8391,3.0,68200000.0,95550.51,150544.17
Al,II,,181.9249,,95400000.0,95549.42,150517.17
Al,II,181.9285,181.9285,1.0,425000000.0,95550.51,150517.17
Al,II,,181.9315,,91700000.0,95551.44,150517.17
Al,II,,182.0092,,153000000.0,95550.51,150492.8
Al,II,182.0124,182.0122,2.0,457000000.0,95551.44,150492.8
Al,II,182.85876,182.8587,290.0,472000000.0,91274.5,145961.54
Al,II,183.28374,183.2838,225.0,469000000.0,91274.5,145834.7
Al,II,183.48077,183.4807,170.0,467000000.0,91274.5,145776.15
Al,II,183.69635,183.6965,60.0,40300000.0,85481.35,139918.98
Al,II,184.8888,184.8888,1.0,,95350.6,149437.17
Al,II,184.915,184.9164,2.0,,95550.51,149629.0
Al,II,185.58054,185.5804,90.0,,91274.5,145159.49
Al,II,185.59286,185.5926,190.0,83800000.0,37393.03,91274.5
Al,II,185.60957,185.6095,90.0,,91274.5,145151.06
Al,II,185.62741,185.6275,30.0,,91274.5,145145.84
Al,II,185.80262,185.8025,315.0,249000000.0,37453.91,91274.5
Al,II,185.99796,185.99809,110.0,86800000.0,85481.35,139245.343
Al,II,186.2081,186.208,5.0,,95350.6,149053.98
Al,II,186.23111,186.2311,400.0,408000000.0,37577.79,91274.5
Al,II,187.704,187.7046,5.0,,95550.51,148825.7
Al,II,187.8504,187.8504,8.0,,95350.6,148584.44
Al,II,189.7401,189.7401,10.0,,95549.42,148253.08
Al,II,189.746,189.7461,3.0,,95550.51,148252.52
Al,II,189.75,189.75,1.0,,95551.44,148252.37
Al,II,189.91943,189.9195,25.0,,95350.6,148004.49
Al,II,190.4326,190.4327,8.0,270000000.0,94084.96,146596.95
Al,II,190.64082,190.6409,25.0,200000000.0,94147.46,146602.1
Al,II,190.6596,190.6596,4.0,200000000.0,94147.46,146596.95
Al,II,190.6674,190.6673,8.0,820000000.0,94147.46,146594.85
Al,II,191.08252,191.0825,80.0,580000000.0,94268.68,146602.1
Al,II,191.1013,191.1013,15.0,340000000.0,94268.68,146596.95
Al,II,192.216,192.2154,1.0,,95549.42,147574.4
Al,II,192.47537,192.4754,50.0,,95549.42,147504.12
Al,II,192.4825,192.4826,30.0,,95550.51,147503.27
Al,II,192.4879,192.4879,10.0,,95551.44,147502.76
Al,II,192.60291,192.6032,60.0,,95350.6,147270.82
Al,II,192.6948,192.6948,20.0,,91274.5,143170.04
Al,II,192.707,192.707,10.0,,91274.5,143166.76
Al,II,192.713,192.712,1.0,,91274.5,143165.4
Al,II,192.99775,192.9977,150.0,115000000.0,94147.46,145961.54
Al,II,193.10481,193.105,125.0,1040000000.0,59852.02,111637.33
Al,II,193.23768,193.2377,150.0,153000000.0,94084.96,145834.7
Al,II,193.45032,193.4503,225.0,344000000.0,94268.68,145961.54
Al,II,193.47129,193.4713,125.0,114000000.0,94147.46,145834.7
Al,II,193.69066,193.6908,125.0,456000000.0,94147.46,145776.15
Al,II,193.92606,193.9262,150.0,189000000.0,94268.68,145834.7
Al,II,195.8247,195.8246,8.0,,94084.96,145151.06
Al,II,195.877,195.8761,1.0,570000000.0,95549.42,146602.1
Al,II,,195.8839,,6800000.0,95551.44,146602.1
Al,II,195.9,195.9,0.0,,95550.51,146596.95
Al,II,,195.9036,,170000000.0,95551.44,146596.95
Al,II,,195.9117,,680000000.0,95551.44,146594.85
Al,II,196.0322,196.0322,3.0,,94147.46,145159.49
Al,II,196.0646,196.0646,3.0,,94147.46,145151.06
Al,II,196.0846,196.0847,10.0,,94147.46,145145.84
Al,II,196.25904,196.2591,70.0,,95549.42,146502.47
Al,II,196.2645,196.2648,8.0,,95549.42,146500.99
Al,II,196.2691,196.269,60.0,,95550.51,146500.99
Al,II,196.27349,196.2735,70.0,,95350.6,146299.92
Al,II,196.2763,196.2768,50.0,,95551.44,146499.9
Al,II,196.499,196.4991,40.0,,94268.68,145159.49
Al,II,196.5316,196.5317,10.0,,94268.68,145151.06
Al,II,198.365,198.365,10.0,4060000.0,95549.42,145961.54
Al,II,,198.3693,,724000.0,95550.51,145961.54
Al,II,,198.3729,,48200.0,95551.44,145961.54
Al,II,198.8699,198.8697,3.0,3600000.0,95550.51,145834.7
Al,II,,198.8733,,1200000.0,95551.44,145834.7
Al,II,199.0531,199.0533,315.0,1380000000.0,59852.02,110089.83
Al,II,199.105,199.1052,1.0,4770000.0,95551.44,145776.15
Al,II,201.5864,201.5864,70.0,,95350.6,144941.1
Al,II,201.6053,201.6052,150.0,98200000.0,95549.42,145135.31
Al,II,201.6193,201.6189,80.0,11000000.0,95549.42,145131.93
Al,II,201.6234,201.6234,150.0,87300000.0,95550.51,145131.93
Al,II,,201.6288,,432000.0,95549.42,145129.51
Al,II,201.6334,201.6332,50.0,15300000.0,95550.51,145129.51
Al,II,201.6369,201.637,100.0,82500000.0,95551.44,145129.51
Al,II,202.2081,202.2082,40.0,40500000.0,85481.35,134919.4
Al,II,203.675,203.676,1.0,,94084.96,143166.76
Al,II,203.922,203.9221,1.0,,94147.46,143170.04
Al,II,203.94,203.9414,5.0,,94147.46,143165.4
Al,II,204.427,204.4277,2.0,,94268.68,143170.04
Al,II,204.441,204.4414,1.0,,94268.68,143166.76
Al,II,204.763,204.7634,5.0,,91274.5,140095.7
Al,II,204.779,204.7793,5.0,,91274.5,140091.9
Al,II,204.787,204.7873,1.0,,91274.5,140090.0
Al,II,207.4009,207.4009,200.0,141000000.0,85481.35,133681.78
