element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Ca,I,215.08,215.07949,2.0,6100000.0,0.0,46479.813
Ca,I,220.073,220.07266,5.0,15300000.0,0.0,45425.358
Ca,I,227.546,227.54656,6.0,30100000.0,0.0,43933.477
Ca,I,239.856,239.8559,8.0,16700000.0,0.0,41679.008
Ca,I,,254.14811,,17000.0,0.0,39335.322
Ca,I,,261.75413,,16000.0,0.0,38192.392
Ca,I,272.165,272.16442,7.0,270000.0,0.0,36731.615
Ca,I,299.496,299.49574,9.0,36700000.0,15157.901,48537.623
Ca,I,299.731,299.73158,8.0,24100000.0,15210.063,48563.522
Ca,I,299.964,299.96451,8.0,27900000.0,15210.063,48537.623
Ca,I,300.086,300.08635,9.0,158000000.0,15210.063,48524.093
Ca,I,300.686,300.68615,10.0,75000000.0,15315.943,48563.522
Ca,I,300.921,300.92056,9.0,43000000.0,15315.943,48537.623
Ca,I,302.494,,2.0,,,
Ca,I,303.454,,2.0,,,
Ca,I,304.574,,2.0,,,
Ca,I,305.532,,3.0,,,
Ca,I,307.157,,2.0,,,
Ca,I,307.695,,2.0,,,
Ca,I,308.079,,2.0,,,
Ca,I,309.93,,2.0,,,
Ca,I,,310.23627,,620000.0,15157.901,47382.048
Ca,I,,310.73929,,1000000.0,15210.063,47382.048
Ca,I,,311.76537,,1700000.0,15315.943,47382.048
Ca,I,313.602,313.60191,5.0,4100000.0,15157.901,47036.225
Ca,I,314.079,314.07859,6.0,4900000.0,15210.063,47040.007
Ca,I,,314.11591,,3000000.0,15210.063,47036.225
Ca,I,315.075,315.07489,7.0,8600000.0,15315.943,47045.241
Ca,I,,315.12687,,1800000.0,15315.943,47040.007
Ca,I,,315.16445,,220000.0,15315.943,47036.225
Ca,I,,316.46045,,530000.0,15157.901,46748.283
Ca,I,,316.98388,,2000000.0,15210.063,46748.283
Ca,I,318.052,318.05168,5.0,2900000.0,15315.943,46748.283
Ca,I,320.996,320.99566,7.0,7300000.0,15157.901,46301.973
Ca,I,321.517,321.51687,8.0,11000000.0,15210.063,46303.649
Ca,I,321.534,321.5342,6.0,5100000.0,15210.063,46301.973
Ca,I,322.59,322.59039,9.0,16000000.0,15315.943,46306.059
Ca,I,322.615,322.61548,6.0,4000000.0,15315.943,46303.649
Ca,I,,322.63293,,420000.0,15315.943,46301.973
Ca,I,,326.90851,,940000.0,15157.901,45738.684
Ca,I,327.467,327.46709,5.0,3000000.0,15210.063,45738.684
Ca,I,328.607,328.60681,6.0,5300000.0,15315.943,45738.684
Ca,I,334.451,334.45078,10.0,15100000.0,15157.901,45049.073
Ca,I,335.021,335.02035,11.0,17800000.0,15210.063,45050.419
Ca,I,335.036,335.03546,9.0,11100000.0,15210.063,45049.073
Ca,I,336.192,336.19124,12.0,22300000.0,15315.943,45052.374
Ca,I,336.214,336.21334,9.0,6500000.0,15315.943,45050.419
Ca,I,,336.22856,,590000.0,15315.943,45049.073
Ca,I,346.848,346.84744,9.0,1300000.0,15157.901,43980.767
Ca,I,347.476,347.4763,11.0,4600000.0,15210.063,43980.767
Ca,I,348.76,348.75982,13.0,7800000.0,15315.943,43980.767
Ca,I,362.411,362.4112,15.0,21200000.0,15157.901,42743.002
Ca,I,363.075,363.07522,17.0,29700000.0,15210.063,42744.716
Ca,I,363.097,363.09782,14.0,15300000.0,15210.063,42743.002
Ca,I,364.441,364.4413,20.0,35500000.0,15315.943,42747.387
Ca,I,364.477,364.47679,14.0,9400000.0,15315.943,42744.716
Ca,I,364.499,364.49957,8.0,950000.0,15315.943,42743.002
Ca,I,,367.34179,,2200000.0,20335.36,47550.214
Ca,I,367.529,367.52874,5.0,2200000.0,20349.26,47550.271
Ca,I,,367.52951,,380000.0,20349.26,47550.214
Ca,I,367.821,367.82137,6.0,2300000.0,20371.0,47550.371
Ca,I,,367.82272,,260000.0,20371.0,47550.271
Ca,I,,367.8235,,10000.0,20371.0,47550.214
Ca,I,374.835,374.83486,6.0,3400000.0,20335.36,47006.194
Ca,I,375.029,375.02911,8.0,3400000.0,20349.26,47006.28
Ca,I,,375.03032,,620000.0,20349.26,47006.194
Ca,I,375.334,375.33353,9.0,4100000.0,20371.0,47006.4
Ca,I,,375.33522,,440000.0,20371.0,47006.28
Ca,I,,375.33643,,17000.0,20371.0,47006.194
Ca,I,387.048,387.04774,9.0,7200000.0,20335.36,46164.644
Ca,I,387.254,387.25403,11.0,5400000.0,20349.26,46164.785
Ca,I,387.256,387.25615,11.0,980000.0,20349.26,46164.644
Ca,I,387.578,387.57764,12.0,7900000.0,20371.0,46164.971
Ca,I,387.58,387.58043,12.0,890000.0,20371.0,46164.785
Ca,I,,387.58255,,35000.0,20371.0,46164.644
Ca,I,388.91,,6.0,,,
Ca,I,392.348,,6.0,,,
Ca,I,393.529,,9.0,,,
Ca,I,394.604,,6.0,,,
Ca,I,394.89,394.89004,15.0,3340000.0,15157.901,40474.241
Ca,I,395.705,395.70537,17.0,9800000.0,15210.063,40474.241
Ca,I,397.257,,8.0,,,
Ca,I,397.371,397.37076,18.0,17500000.0,15315.943,40474.241
Ca,I,,409.26318,,11000000.0,20335.36,44762.62
Ca,I,,409.49253,,12000000.0,20349.26,44762.839
Ca,I,,409.49621,,2100000.0,20349.26,44762.62
Ca,I,409.853,409.85282,15.0,13000000.0,20371.0,44763.118
Ca,I,409.857,409.85751,15.0,1500000.0,20371.0,44762.839
Ca,I,,409.86119,,58000.0,20371.0,44762.62
Ca,I,,410.85257,,90000000.0,21849.634,46182.399
Ca,I,422.673,422.67276,50.0,218000000.0,0.0,23652.304
