element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Ca,II,180.734,180.7337,20.0,41200000.0,25191.51,80521.53
Ca,II,181.45,181.4495,40.0,48600000.0,25414.4,80526.16
Ca,II,181.465,181.4647,4.0,7000000.0,25414.4,80521.53
Ca,II,183.801,183.8008,40.0,244000000.0,13650.19,68056.91
Ca,II,184.006,184.0061,,17300000.0,13710.88,68056.91
Ca,II,184.006,184.0061,,260000000.0,13710.88,68056.91
Ca,II,184.309,184.3088,20.0,15500000.0,25191.51,79448.28
Ca,II,185.069,185.0691,40.0,30800000.0,25414.4,79448.28
Ca,II,210.324,210.3235,,82000000.0,25191.51,72722.23
Ca,II,211.276,211.2757,,97000000.0,25414.4,72730.93
Ca,II,211.315,211.3146,,16000000.0,25414.4,72722.23
Ca,II,212.875,212.875,,200000.0,13650.19,60611.28
Ca,II,213.151,213.1505,,1800000.0,13710.88,60611.28
Ca,II,213.23,213.2304,,2000000.0,13650.19,60533.02
Ca,II,219.779,219.7787,,31000000.0,25191.51,70677.62
Ca,II,220.861,220.8611,,62000000.0,25414.4,70677.62
Ca,II,312.518,,10.0,,,
Ca,II,315.887,315.8869,170.0,310000000.0,25191.51,56839.25
Ca,II,317.933,317.9331,180.0,360000000.0,25414.4,56858.46
Ca,II,318.128,318.1275,150.0,58000000.0,25414.4,56839.25
Ca,II,330.802,,10.0,,,
Ca,II,331.651,,20.0,,,
Ca,II,334.704,,10.0,,,
Ca,II,345.266,,10.0,,,
Ca,II,346.187,,20.0,,,
Ca,II,348.561,,10.0,,,
Ca,II,349.516,,10.0,,,
Ca,II,368.37,,30.0,,,
Ca,II,369.411,,40.0,,,
Ca,II,369.436,,10.0,,,
Ca,II,370.603,370.6024,170.0,88000000.0,25191.51,52166.93
Ca,II,373.69,373.6902,180.0,170000000.0,25414.4,52166.93
Ca,II,373.938,,10.0,,,
Ca,II,375.567,,20.0,,,
Ca,II,375.839,,30.0,,,
Ca,II,393.366,393.3663,230.0,147000000.0,0.0,25414.4
Ca,II,396.847,396.8469,220.0,140000000.0,0.0,25191.51
Ca,II,409.71,409.7098,50.0,9900000.0,60533.02,84933.65
Ca,II,410.982,410.9815,60.0,12000000.0,60611.28,84936.41
Ca,II,411.028,411.0282,30.0,1900000.0,60611.28,84933.65
Ca,II,420.618,420.6176,40.0,4300000.0,60533.02,84300.89
Ca,II,422.007,422.0071,50.0,8500000.0,60611.28,84300.89
Ca,II,447.204,,20.0,,,
Ca,II,447.923,,10.0,,,
Ca,II,448.918,,20.0,,,
Ca,II,471.674,,30.0,,,
Ca,II,472.103,,40.0,,,
Ca,II,479.997,,40.0,,,
Ca,II,500.148,500.1479,70.0,20000000.0,60533.02,80521.53
Ca,II,501.997,501.9971,80.0,23000000.0,60611.28,80526.16
Ca,II,502.114,502.1138,40.0,3900000.0,60611.28,80521.53
Ca,II,528.527,528.5266,60.0,7800000.0,60533.02,79448.28
Ca,II,530.722,530.7224,70.0,15000000.0,60611.28,79448.28
Ca,II,533.919,,50.0,,,
Ca,II,592.272,,10.0,,,
Ca,II,592.369,,10.0,,,
Ca,II,645.687,,80.0,,,
Ca,II,729.147,729.147,,1.3,0.0,13710.88
Ca,II,732.389,732.389,,1.3,0.0,13650.19
Ca,II,757.581,,30.0,,,
Ca,II,758.111,,60.0,,,
Ca,II,760.13,,80.0,,,
Ca,II,760.232,,20.0,,,
Ca,II,782.078,,40.0,,,
Ca,II,784.338,,60.0,,,
Ca,II,801.75,,20.0,,,
Ca,II,802.05,,20.0,,,
Ca,II,813.305,,70.0,,,
Ca,II,820.172,820.172,100.0,51000000.0,60533.02,72722.23
Ca,II,824.88,824.88,110.0,61000000.0,60611.28,72730.93
Ca,II,825.473,825.472,70.0,10000000.0,60611.28,72722.23
Ca,II,849.802,849.802,130.0,1110000.0,13650.19,25414.4
Ca,II,854.209,854.209,170.0,9900000.0,13710.88,25414.4
Ca,II,866.214,866.214,160.0,10600000.0,13650.19,25191.51
Ca,II,891.207,,100.0,,,
Ca,II,892.736,,110.0,,,
Ca,II,921.39,,110.0,,,
Ca,II,931.2,,90.0,,,
Ca,II,931.956,,100.0,,,
Ca,II,932.065,,110.0,,,
Ca,II,956.797,,100.0,,,
Ca,II,959.924,,110.0,,,
