element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Fe,I,184.1582,184.157518,,,0.0,54301.34
Fe,I,184.19939,184.199262,24.0,,0.0,54289.034
Fe,I,184.79265,184.792604,52.0,,415.933,54530.653
Fe,I,184.8318,184.831804,0.0,,704.007,54807.25
Fe,I,185.1248,185.124913,2.0,,0.0,54017.581
Fe,I,185.13802,185.138037,174.0,,0.0,54013.752
Fe,I,185.1688,185.169007,1.0,,0.0,54004.718
Fe,I,185.177,185.177024,,,704.007,54706.387
Fe,I,185.2424,185.242497,,,0.0,53983.293
Fe,I,185.38609,185.386116,19.0,,415.933,54357.405
Fe,I,185.43643,185.436397,42.0,,415.933,54342.779
Fe,I,185.53173,185.531741,,,704.007,54603.14
Fe,I,185.5579,185.55793,324.0,,0.0,53891.526
Fe,I,185.5914,185.591404,25.0,,0.0,53881.806
Fe,I,185.62149,185.621392,50.0,,415.933,54289.034
Fe,I,185.693,185.693732,,,0.0,53852.114
Fe,I,185.7296,185.72949,,,415.933,54257.679
Fe,I,185.74307,185.742926,36.0,,0.0,53837.851
Fe,I,185.7724,185.772336,,,6928.268,60757.596
Fe,I,185.78163,185.781592,40.0,,704.007,54530.653
Fe,I,185.8106,185.810558,0.0,,888.132,54706.387
Fe,I,185.92634,185.926308,50.0,,0.0,53784.75
Fe,I,186.10328,186.103316,41.0,,0.0,53733.594
Fe,I,186.1542,186.154838,,,415.933,54134.655
Fe,I,186.1675,186.167709,1.0,,888.132,54603.14
Fe,I,186.23256,186.232581,135.0,,415.933,54112.23
Fe,I,186.3543,186.354807,2.0,,0.0,53661.079
Fe,I,186.41917,186.419277,35.0,,888.132,54530.653
Fe,I,186.43213,186.432307,26.0,,704.007,54342.779
Fe,I,186.47464,186.474644,,,415.933,54042.527
Fe,I,186.53091,186.53093,309.0,,0.0,53610.412
Fe,I,186.5612,186.561428,1.0,,415.933,54017.581
Fe,I,186.60619,186.606209,186.0,,415.933,54004.718
Fe,I,186.61413,186.614131,26.0,,0.0,53586.51
Fe,I,186.6191,186.619296,1.0,,704.007,54289.034
Fe,I,186.68189,186.681907,50.0,,704.007,54271.062
Fe,I,186.92604,186.926066,141.0,,415.933,53913.02
Fe,I,187.0011,187.001199,1.0,,415.933,53891.526
Fe,I,187.03519,187.035195,41.0,,415.933,53881.806
Fe,I,187.18912,187.189086,34.0,,415.933,53837.851
Fe,I,187.23708,187.237085,191.0,,704.007,54112.23
Fe,I,187.30575,187.305774,148.0,,0.0,53388.637
Fe,I,187.3258,187.325799,112.0,,888.132,54271.062
Fe,I,187.4897,187.489613,1.0,,888.132,54224.42
Fe,I,187.51587,187.515816,20.0,,0.0,53328.835
Fe,I,187.5697,187.569971,,,0.0,53313.438
Fe,I,187.61475,187.614758,21.0,,704.007,54004.718
Fe,I,187.64196,187.641946,78.0,,978.074,54271.062
Fe,I,187.71684,187.7168,50.0,,704.007,53975.744
Fe,I,187.81044,187.810547,16.0,,415.933,53661.079
Fe,I,187.88478,187.884819,45.0,,888.132,54112.23
Fe,I,187.93806,187.938085,39.0,,704.007,53913.02
Fe,I,188.01405,188.014034,52.0,,704.007,53891.526
Fe,I,188.13114,188.131198,112.0,,888.132,54042.527
Fe,I,188.2036,188.203963,0.0,,704.007,53837.851
Fe,I,188.36797,188.36786,16.0,,888.132,53975.744
Fe,I,188.37788,188.37788,49.0,,0.0,53084.789
Fe,I,188.39225,188.392239,66.0,,704.007,53784.75
Fe,I,188.4684,188.46847,0.0,,704.007,53763.28
Fe,I,188.51766,188.517767,11.0,,704.007,53749.405
Fe,I,188.5741,188.574156,,,7728.06,60757.596
Fe,I,188.59073,188.590686,41.0,,888.132,53913.02
Fe,I,188.7047,188.704667,,,704.007,53696.867
Fe,I,188.77646,188.776469,251.0,,415.933,53388.637
Fe,I,188.83219,188.832192,100.0,,704.007,53661.079
Fe,I,188.964,188.963675,,,888.132,53808.356
Fe,I,188.98978,188.989823,55.0,,415.933,53328.835
Fe,I,189.17438,189.174408,24.0,,888.132,53749.405
