element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Fe,II,180.08273,180.082715,3600.0,1300000.0,54232.201,109762.239
Fe,II,180.11284,180.112841,6000.0,8000000.0,54273.656,109794.406
Fe,II,180.205,180.205146,700.0,3900000.0,47626.11,103118.421
Fe,II,180.217,180.217253,,29000000.0,54273.656,109762.239
Fe,II,180.2766,180.276753,500.0,,58631.623,114101.892
Fe,II,180.354,180.354145,2800.0,6800000.0,31483.1979,86929.664
Fe,II,180.41653,180.416546,5000.0,8000000.0,46967.4751,102394.764
Fe,II,180.46459,180.464553,3300.0,6000000.0,47389.809,102802.353
Fe,II,180.54617,180.546142,6000.0,26000000.0,54232.201,109619.704
Fe,II,180.5716,180.571793,1200.0,4700000.0,31387.9788,86767.614
Fe,II,180.7741,180.774089,3200.0,,7955.3186,63272.981
Fe,II,180.8352,180.835386,1200.0,,20830.5534,76129.465
Fe,II,180.8384,180.838422,600.0,4100000.0,54273.656,109571.639
Fe,II,180.84493,180.84494,6000.0,28000000.0,54275.649,109571.639
Fe,II,180.8698,180.869757,500.0,,54283.236,109571.639
Fe,II,180.9157,180.915473,,,54275.649,109550.081
Fe,II,180.9157,180.915905,,,54870.541,110144.841
Fe,II,180.9291,180.928813,1100.0,,42237.0575,97507.414
Fe,II,180.93168,180.931823,29000.0,170000000.0,21307.999,76577.436
Fe,II,180.9945,180.99448,,2200000.0,50157.475,105407.78
Fe,II,181.0117,181.01106,250.0,,61093.406,116338.649
Fe,II,181.0261,181.026274,,,54904.241,110144.841
Fe,II,181.54116,181.541095,16000.0,17000000.0,20516.9534,75600.9
Fe,II,181.5766,181.576591,3300.0,3300000.0,8391.9554,63465.134
Fe,II,181.6086,181.60854,500.0,1700000.0,46967.4751,102030.965
Fe,II,181.85202,181.85215,18000.0,5700000.0,7955.3186,62945.045
Fe,II,181.9643,181.964415,2900.0,4100000.0,31811.814,86767.614
Fe,II,182.048,182.047843,2600.0,3500000.0,31999.049,86929.664
Fe,II,182.09161,182.091617,1400.0,1600000.0,54232.201,109149.611
Fe,II,182.2135,182.212338,3300.0,4300000.0,8391.9554,63272.981
Fe,II,182.2196,182.218973,,6000000.0,8680.4706,63559.498
Fe,II,182.2196,182.219007,,,44929.532,99808.549
Fe,II,182.38711,182.386983,12000.0,18000000.0,18360.6399,73189.114
Fe,II,182.3929,182.392958,2500.0,24000000.0,18360.6399,73187.318
Fe,II,182.486,182.486051,170.0,,67516.328,122315.037
Fe,II,182.498,182.497948,2600.0,1700000.0,20805.7632,75600.9
Fe,II,182.5329,182.532836,3300.0,3700000.0,8680.4706,63465.134
Fe,II,182.6884,182.68778,,1500000.0,44915.057,99653.257
Fe,II,182.6977,182.698169,7000.0,,38164.22,92899.306
Fe,II,182.7008,182.69994,,,7955.3186,62689.874
Fe,II,182.72188,182.721918,2200.0,16000000.0,54275.649,109003.621
Fe,II,182.8345,182.834499,3200.0,2300000.0,18360.6399,73054.913
Fe,II,182.8667,182.866161,,,38214.503,92899.306
Fe,II,182.8855,182.885416,7000.0,3000000.0,15844.6485,70523.694
Fe,II,182.95942,182.959292,1200.0,,54275.649,108932.616
Fe,II,182.98472,182.984693,3300.0,8000000.0,54283.236,108932.616
Fe,II,182.9881,182.988647,,,36252.931,90901.13
Fe,II,183.026393,183.026396,32000.0,520000000.0,52582.85,107219.778
Fe,II,183.0401,183.039639,,2700000.0,54273.656,108906.631
Fe,II,183.046314,183.046316,12000.0,500000000.0,54275.649,108906.631
Fe,II,183.07182,183.071741,2700.0,70000000.0,54283.236,108906.631
Fe,II,183.0885,183.08865,3400.0,3400000.0,8846.7837,63465.134
Fe,II,183.12652,183.126434,12000.0,26000000.0,21307.999,75915.08
Fe,II,183.16594,183.16595,2600.0,70000000.0,54273.656,108868.956
Fe,II,183.17545,183.17531,5000.0,3100000.0,8680.4706,63272.981
Fe,II,183.19809,183.198096,9000.0,460000000.0,54283.236,108868.956
Fe,II,183.22534,183.225322,2900.0,50000000.0,54232.201,108809.81
Fe,II,183.2422,183.242308,,,68000.785,122573.335
