element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
K,I,,292.75309,,815.0,0.0,34148.4861
K,I,,292.75701,,469.0,0.0,34148.0284
K,I,,294.26696,,1130.0,0.0,33972.8148
K,I,,294.27223,,682.0,0.0,33972.2064
K,I,,296.32104,,1730.0,0.0,33737.3284
K,I,,296.32833,,1100.0,0.0,33736.4979
K,I,299.2108,299.21179,,3160.0,0.0,33411.3986
K,I,299.2215,299.22225,,2120.0,0.0,33410.2306
K,I,303.4751,303.47619,,6740.0,0.0,32941.9262
K,I,303.4911,303.49207,,4780.0,0.0,32940.203
K,I,310.1791,310.1789,,16200.0,0.0,32230.11
K,I,310.2051,310.2046,,12200.0,0.0,32227.44
K,I,321.7151,321.7154,,50100.0,0.0,31074.4
K,I,321.7615,321.762,,40000.0,0.0,31069.9
K,I,344.6376,344.6372,,165000.0,0.0,29007.71
K,I,344.7376,344.7375,,145000.0,0.0,28999.27
K,I,364.8841,364.88422,3.0,,0.0,27398.147
K,I,364.8981,364.89847,4.0,,0.0,27397.077
K,I,404.4136,404.41422,18.0,1150000.0,0.0,24720.139
K,I,404.7208,404.72132,17.0,1070000.0,0.0,24701.382
K,I,464.1876,464.1875,10.0,154.0,0.0,21536.988
K,I,464.2373,464.23725,11.0,154.0,0.0,21534.68
K,I,474.0914,474.092019,4.0,80000.0,12985.185724,34072.2393
K,I,474.4345,474.434024,6.0,98000.0,12985.185724,34057.0385
K,I,475.3934,475.393077,5.0,160000.0,13042.896027,34072.2393
K,I,,475.736962,,19000.0,13042.896027,34057.0385
K,I,475.7389,475.737719,7.0,120000.0,13042.896027,34057.0051
K,I,478.6491,478.649091,5.0,103000.0,12985.185724,33871.4788
K,I,479.1049,479.104132,7.0,130000.0,12985.185724,33851.6418
K,I,479.9754,479.975316,6.0,207000.0,13042.896027,33871.4788
K,I,,480.432883,,26000.0,13042.896027,33851.6418
K,I,480.4348,480.43395,8.0,160000.0,13042.896027,33851.5956
K,I,484.9865,484.98645,7.0,187100.0,12985.185724,33598.5597
K,I,485.609,485.609209,8.0,210000.0,12985.185724,33572.1249
K,I,486.3483,486.348075,8.0,369800.0,13042.896027,33598.5597
K,I,,486.974338,,43800.0,13042.896027,33572.1249
K,I,486.9757,486.975897,9.0,261000.0,13042.896027,33572.0592
K,I,494.2002,494.200871,,269000.0,12985.185724,33214.2267
K,I,495.0815,495.081801,9.0,269000.0,12985.185724,33178.2324
K,I,495.61461,495.614802,9.0,532200.0,13042.896027,33214.2267
K,I,,496.500784,,55600.0,13042.896027,33178.2324
K,I,496.5031,496.503213,10.0,336000.0,13042.896027,33178.1339
K,I,508.4226,508.423399,10.0,407400.0,12985.185724,32648.3511
K,I,509.7171,509.717137,11.0,339000.0,12985.185724,32598.4437
K,I,509.92,509.920005,11.0,806400.0,13042.896027,32648.3511
K,I,,511.22138,,70100.0,13042.896027,32598.4437
K,I,511.2249,511.225448,12.0,422000.0,13042.896027,32598.2881
K,I,532.3276,532.32786,12.0,662000.0,12985.185724,31765.3767
K,I,533.9688,533.96873,13.0,1311000.0,13042.896027,31765.3767
K,I,534.297,534.29693,12.0,386000.0,12985.185724,31696.1661
K,I,,535.94998,,81000.0,13042.896027,31696.1661
K,I,535.9574,535.95761,14.0,486000.0,13042.896027,31695.9005
K,I,578.2384,578.23999,16.0,1186000.0,12985.185724,30274.2487
K,I,580.1752,580.17662,17.0,2348000.0,13042.896027,30274.2487
K,I,581.2148,581.21521,15.0,286000.0,12985.185724,30185.7476
K,I,,583.17185,,61300.0,13042.896027,30185.7476
K,I,583.1887,583.18899,17.0,371000.0,13042.896027,30185.2439
K,I,691.1084,691.10815,19.0,2500000.0,12985.185724,27450.7104
K,I,693.6284,693.62861,12.0,19000.0,12985.185724,27398.147
K,I,693.8767,693.8764,20.0,4956000.0,13042.896027,27450.7104
K,I,696.418,696.41712,7.0,2400.0,13042.896027,27398.147
K,I,696.4672,696.46903,12.0,13700.0,13042.896027,27397.077
K,I,,754.1412,,4900.0,21026.551,34283.0181
K,I,,754.1617,,4900.0,21026.551,34282.6573
K,I,,761.873,,6500.0,21026.551,34148.4861
K,I,,761.8996,,6500.0,21026.551,34148.0284
K,I,766.489913,766.48991,,37790000.0,0.0,13042.896027
K,I,769.896456,769.89646,,37340000.0,0.0,12985.185724
K,I,,772.2111,,8900.0,21026.551,33972.8148
K,I,,772.2474,,8900.0,21026.551,33972.2064
K,I,774.107,774.122,,,21534.68,34448.98
K,I,774.107,774.122,,,21534.68,34448.98
K,I,774.246,774.261,,,21536.988,34448.98
K,I,779.517,779.532,,,21534.68,34359.36
K,I,779.517,779.532,,,21534.68,34359.36
K,I,779.656,779.672,,,21536.988,34359.36
K,I,786.447,786.461,,,21534.68,34246.37
K,I,786.447,786.461,,,21534.68,34246.37
K,I,,786.5176,,13000.0,21026.551,33737.3284
K,I,,786.5689,,13000.0,21026.551,33736.4979
K,I,786.587,786.604,,,21536.988,34246.37
K,I,795.537,795.536,5.0,,21534.68,34101.36
K,I,795.683,795.682,4.0,,21536.988,34101.36
K,I,,803.758,,20000.0,21534.68,33972.8148
K,I,,803.9072,,2300.0,21536.988,33972.8148
K,I,,803.9465,,23000.0,21536.988,33972.2064
K,I,,807.2163,,16010.0,21026.551,33411.3986
