element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
K,II,199.3007,199.2997,7.0,12300000.0,179349.2,229524.9
K,II,199.3714,199.3708,15.0,4160000.0,179349.2,229507.0
K,II,199.4285,199.4284,25.0,714000000.0,179349.2,229492.5
K,II,199.5557,199.5562,2.0,4850000.0,179395.8,229507.0
K,II,203.4679,203.4671,5.0,88100000.0,180392.7,229524.9
K,II,203.5408,203.5413,50.0,1200000000.0,180392.7,229507.0
K,II,203.6014,203.6014,10.0,389000.0,180392.7,229492.5
K,II,203.7005,203.7001,45.0,674000000.0,180448.9,229524.9
K,II,204.4832,204.4823,10.0,74900000.0,180618.7,229507.0
K,II,204.5283,204.5288,40.0,1800000000.0,180618.7,229495.9
K,II,204.543,204.543,15.0,77800000.0,180618.7,229492.5
K,II,207.6798,207.6802,60.0,973000000.0,179349.2,227484.8
K,II,207.8694,207.8698,70.0,1850000000.0,179395.8,227487.5
K,II,208.1885,208.1889,25.0,239000000.0,179349.2,227367.2
K,II,208.2891,208.29,25.0,12600000.0,179349.2,227343.9
K,II,208.3942,208.3912,15.0,3790000.0,179395.8,227367.2
K,II,208.4933,208.4925,60.0,369000000.0,179395.8,227343.9
K,II,208.9855,208.9864,50.0,571000000.0,179395.8,227230.6
K,II,209.4558,209.4567,4.0,22700000.0,179395.8,227123.2
K,II,212.2827,212.2827,15.0,937000.0,180392.7,227484.8
K,II,212.8138,212.8142,15.0,16600000.0,180392.7,227367.2
K,II,212.919,212.9199,40.0,461000000.0,180392.7,227343.9
K,II,213.0687,213.0692,50.0,400000000.0,180448.9,227367.2
K,II,213.2947,213.2942,10.0,51200000.0,180618.7,227487.5
K,II,213.3061,213.3065,10.0,109000000.0,180618.7,227484.8
K,II,213.8427,213.8432,1.0,10600000.0,180618.7,227367.2
K,II,213.9246,213.9256,20.0,164000000.0,180392.7,227123.2
K,II,213.9494,213.9498,10.0,39800000.0,180618.7,227343.9
K,II,214.0277,214.0277,7.0,16200000.0,180392.7,227100.9
K,II,214.1823,214.1832,5.0,20300000.0,180448.9,227123.2
K,II,214.286,214.2856,15.0,86900000.0,180448.9,227100.9
K,II,214.4699,214.4699,50.0,690000000.0,180618.7,227230.6
K,II,214.9667,214.9653,0.0,2990000.0,180618.7,227123.2
K,II,218.932,,6.0,,,
K,II,220.984,,4.0,,,
K,II,226.434,,5.0,,,
K,II,229.679,,1.0,,,
K,II,234.23,,3.0,,,
K,II,235.87,,1.0,,,
K,II,250.46,,3.0,,,
K,II,274.355,,4.0,,,
K,II,277.789,277.7884,2.0,28200000.0,183204.1,219192.1
K,II,280.899,,3.0,,,
K,II,295.088,,2.0,,,
K,II,303.043,,2.0,,,
K,II,304.716,304.7123,2.0,19200000.0,186383.8,219192.1
K,II,306.218,306.2141,5.0,882000000.0,183204.1,215851.5
K,II,307.5,307.5017,3.0,43000000.0,186681.4,219192.1
K,II,310.5,310.4998,6.0,497000000.0,183204.1,215400.9
K,II,314.275,314.2706,2.0,198000000.0,183204.1,215014.6
K,II,315.715,315.7137,2.0,27300000.0,187527.0,219192.1
K,II,317.181,317.1812,2.0,109000000.0,183204.1,214722.7
K,II,319.007,319.0041,5.0,319000000.0,186383.8,217722.3
K,II,322.06,322.0533,,252000000.0,188150.3,219192.1
K,II,322.06,322.0626,,179000000.0,186681.4,217722.3
K,II,325.881,325.8715,3.0,25300000.0,186383.8,217061.9
K,II,329.065,329.0637,5.0,472000000.0,186681.4,217061.9
K,II,330.16,330.1537,3.0,9170000.0,164492.0,194772.2
K,II,333.767,333.7649,1.0,478000.0,189239.5,219192.1
K,II,335.651,335.6486,2.0,58800000.0,183204.1,212988.6
K,II,338.062,338.061,6.0,1590000000.0,188150.3,217722.3
K,II,338.486,338.485,,1100000000.0,187527.0,217061.9
K,II,338.486,338.488,,52500000.0,189657.4,219192.1
K,II,339.263,339.2572,3.0,37200000.0,186383.8,215851.5
K,II,340.424,340.4194,6.0,220000000.0,183204.1,212571.2
K,II,342.713,342.7185,2.0,17200000.0,186681.4,215851.5
K,II,344.005,344.0,7.0,1120000000.0,190130.7,219192.1
K,II,345.785,345.783,2.0,8910000.0,188150.3,217061.9
K,II,352.851,352.842,1.0,23900000.0,186681.4,215014.6
K,II,352.953,352.9504,3.0,31300000.0,187527.0,215851.5
K,II,353.075,353.07,7.0,226000000.0,166457.3,194772.2
K,II,356.215,356.215,4.0,64900000.0,189657.4,217722.3
K,II,358.66,358.6562,2.0,25200000.0,187527.0,215400.9
K,II,359.322,359.32,2.0,3460000.0,189239.5,217061.9
K,II,360.888,360.8923,5.0,364000000.0,188150.3,215851.5
K,II,361.849,361.8485,6.0,81400000.0,162502.7,190130.7
K,II,362.642,362.645,4.0,538000000.0,201957.6,229524.9
K,II,363.7,363.6967,3.0,7620000.0,187527.0,215014.6
K,II,364.795,364.8,2.0,537000.0,189657.4,217061.9
K,II,366.86,366.8599,3.0,36700000.0,188150.3,215400.9
K,II,367.605,367.601,3.0,83600000.0,187527.0,214722.7
K,II,368.154,368.1556,6.0,156000000.0,162502.7,189657.4
K,II,371.66,371.6622,5.0,14800000.0,163232.2,190130.7
K,II,372.134,372.1354,5.0,144000000.0,188150.3,215014.6
K,II,373.913,373.91,5.0,23600000.0,162502.7,189239.5
K,II,374.442,374.445,5.0,10700000.0,163432.1,190130.7
K,II,375.662,375.6636,3.0,44000000.0,189239.5,215851.5
