element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mg,I,182.7934,182.79351,,16000000.0,0.0,54706.536
Mg,I,202.5824,202.58242,,61200000.0,0.0,49346.729
Mg,I,,208.45352,,7.24e-12,0.0,47957.058
Mg,I,,208.45366,,0.00106,0.0,47957.027
Mg,I,,208.91489,,2.69,0.0,47851.162
Mg,I,,215.43526,,1640.0,0.0,46403.065
Mg,I,255.325,255.3256,4.0,,21850.405,61004.33
Mg,I,255.458,255.4565,,,21870.464,61004.33
Mg,I,255.7226,255.7226,0.0,,21911.178,61004.33
Mg,I,256.0941,256.0942,0.0,,21850.405,60886.83
Mg,I,256.2259,256.2259,1.0,,21870.464,60886.83
Mg,I,256.4937,256.4936,1.0,,21911.178,60886.83
Mg,I,257.0908,257.0917,0.0,,21850.405,60735.38
Mg,I,257.2248,257.2244,1.0,,21870.464,60735.38
Mg,I,257.4945,257.4942,2.0,,21911.178,60735.38
Mg,I,257.7888,257.7877,0.0,,21870.464,60650.46
Mg,I,258.0587,258.0587,1.0,,21911.178,60650.46
Mg,I,258.4216,258.4212,1.0,,21850.405,60535.34
Mg,I,258.5558,258.5553,2.0,,21870.464,60535.34
Mg,I,258.8285,258.8279,3.0,,21911.178,60535.34
Mg,I,259.1891,259.1882,0.0,,21850.405,60420.87
Mg,I,259.3231,259.3231,1.0,,21870.464,60420.87
Mg,I,259.5973,259.5973,2.0,,21911.178,60420.87
Mg,I,260.2495,260.24956,2.0,,21850.405,60263.583
Mg,I,260.3854,260.38554,4.0,,21870.464,60263.583
Mg,I,260.6621,260.66197,5.0,,21911.178,60263.583
Mg,I,261.3357,261.3353,1.0,,21850.405,60104.0
Mg,I,261.4726,261.4724,2.0,,21870.464,60104.0
Mg,I,261.7513,261.7512,3.0,,21911.178,60104.0
Mg,I,262.8664,262.86644,3.0,,21850.405,59881.196
Mg,I,263.0053,263.00527,6.0,,21870.464,59881.181
Mg,I,263.2873,263.28739,8.0,,21911.178,59881.168
Mg,I,264.4801,264.4803,2.0,,21850.405,59649.15
Mg,I,264.6206,264.6207,3.0,,21870.464,59649.15
Mg,I,264.9062,264.9062,4.0,,21911.178,59649.15
Mg,I,266.8124,266.81232,6.0,,21850.405,59318.793
Mg,I,266.9553,266.95537,8.0,,21870.464,59318.775
Mg,I,267.246,267.24602,10.0,,21911.178,59318.764
Mg,I,269.3723,269.37225,3.0,,21850.405,58962.739
Mg,I,269.5181,269.51793,5.0,,21870.464,58962.739
Mg,I,269.8145,269.81411,6.0,,21911.178,58962.739
Mg,I,273.1993,273.1994,8.0,6970000.0,21850.405,58442.874
Mg,I,,273.34925,,5210000.0,21870.464,58442.874
