element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mg,II,180.678,180.668,,,434090.0,489440.0
Mg,II,180.856,180.855,,,434090.0,489383.0
Mg,II,182.45,182.458,,,434633.0,489440.0
Mg,II,188.263,188.271,,,434090.0,487205.0
Mg,II,190.222,190.215,,,434633.0,487205.0
Mg,II,192.809,192.79,,,437570.0,489440.0
Mg,II,199.298,199.298,,,438167.0,488343.0
Mg,II,201.391,201.406,,,437570.0,487205.0
Mg,II,202.832,202.832,,,437570.0,486856.0
Mg,II,218.257,218.258,,,437570.0,483373.0
Mg,II,221.141,221.141,,,438167.0,483373.0
Mg,II,,221.6911,,89500.0,69804.95,114898.72
Mg,II,,221.7006,,96300.0,69804.95,114896.79
Mg,II,,222.2484,,0.000492,35669.31,80650.02
Mg,II,,222.2484,,405.0,35669.31,80650.02
Mg,II,,222.3993,,0.000168,35669.31,80619.5
Mg,II,,222.7018,,0.000831,35760.88,80650.02
Mg,II,,222.7018,,402.0,35760.88,80650.02
Mg,II,,222.8533,,0.00164,35760.88,80619.5
Mg,II,,222.8533,,804.0,35760.88,80619.5
Mg,II,,225.3869,,10700000.0,71490.19,115844.6
Mg,II,,225.3869,,715000.0,71490.19,115844.6
Mg,II,,225.3913,,10000000.0,71491.06,115844.6
Mg,II,,230.2986,,369000.0,71490.19,114898.72
Mg,II,,230.3032,,41100.0,71491.06,114898.72
Mg,II,,230.3134,,405000.0,71491.06,114896.79
Mg,II,,231.2597,,98100.0,69804.95,113033.09
Mg,II,,231.2749,,107000.0,69804.95,113030.25
Mg,II,,232.9562,,907000.0,71490.19,114403.55
Mg,II,232.9578,232.9562,,13600000.0,71490.19,114403.55
Mg,II,232.9578,232.9609,,12700000.0,71491.06,114403.55
Mg,II,,240.6418,,526000.0,71490.19,113033.09
Mg,II,,240.6469,,58700.0,71491.06,113033.09
Mg,II,,240.6633,,579000.0,71491.06,113030.25
Mg,II,,244.9561,,1440000.0,71490.19,112301.47
Mg,II,244.959,244.9561,,21600000.0,71490.19,112301.47
Mg,II,244.959,244.9613,,20200000.0,71491.06,112301.47
Mg,II,,247.4314,,91500.0,69804.95,110207.99
Mg,II,,247.4584,,102000.0,69804.95,110203.58
Mg,II,,258.2019,,828000.0,71490.19,110207.99
Mg,II,,258.2077,,92300.0,71491.06,110207.99
Mg,II,,258.2371,,909000.0,71491.06,110203.58
Mg,II,266.0755,266.0754,8.0,38100000.0,71490.19,109062.35
Mg,II,,266.0756,,2540000.0,71490.19,109062.32
Mg,II,266.0817,266.0817,8.0,35600000.0,71491.06,109062.32
Mg,II,,279.0542,,32000.0,69804.95,105629.72
Mg,II,279.0776,279.0777,9.0,401000000.0,35669.31,71491.06
Mg,II,,279.0777,,0.000229,35669.31,71491.06
Mg,II,,279.0845,,0.00163,35669.31,71490.19
Mg,II,,279.1117,,40200.0,69804.95,105622.34
Mg,II,279.5528,279.5528,,260000000.0,0.0,35760.88
Mg,II,,279.5528,,0.0038,0.0,35760.88
Mg,II,,279.793,,79800000.0,35760.88,71491.06
Mg,II,,279.793,,2.19e-10,35760.88,71491.06
Mg,II,279.7998,279.7998,10.0,479000000.0,35760.88,71490.19
