element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mn,II,180.0959,180.0958,2.0,,53597.139,109123.13
Mn,II,180.104,180.1033,,,33248.66,88772.35
Mn,II,180.104,180.10366,,,30684.96,86208.54
Mn,II,180.123,180.1231,10.0,,37848.225,93365.8
Mn,II,180.127,180.1276,50.0,,55697.014,111213.2
Mn,II,180.163,180.16298,8.0,,30684.96,86190.26
Mn,II,180.3,180.29841,10.0,,55697.014,111160.62
Mn,II,180.343,180.3418,20.0,,14781.205,70231.468
Mn,II,180.872,180.8717,40.0,,30523.71,85811.53
Mn,II,180.896,180.89607,40.0,,38901.88,94182.24
Mn,II,180.943,180.94393,30.0,,30796.06,86061.8
Mn,II,180.997,180.99693,30.0,,14901.203,70150.76
Mn,II,181.012,181.0134,2.0,,37811.88,93056.4
Mn,II,181.189,181.18934,10.0,,14959.876,70150.76
Mn,II,181.204,181.20426,2.0,,31022.2,86208.54
Mn,II,181.303,181.30187,10.0,,30796.06,85952.69
Mn,II,181.3283,181.3283,8.0,,54846.269,109994.87
Mn,II,181.3866,181.3871,30.0,260000000.0,54938.213,110068.93
Mn,II,181.447,181.4472,25.0,,30523.71,85636.17
Mn,II,181.524,181.5236,40.0,240000000.0,55116.333,110205.6
Mn,II,181.557,181.55443,,,30679.51,85759.41
Mn,II,181.6284,181.6282,,160000000.0,55371.693,110429.23
Mn,II,181.6284,181.6311,,,54938.213,109994.87
Mn,II,181.652,181.65156,25.0,,33147.71,88198.16
Mn,II,181.687,181.68613,10.0,,43370.537,98410.512
Mn,II,181.691,181.69182,10.0,,34762.098,89800.35
Mn,II,181.753,181.7508,,,54938.213,109958.6
Mn,II,181.753,181.75331,,80000000.0,30523.71,85543.34
Mn,II,181.838,181.83703,100.0,,30679.51,85673.81
Mn,II,181.962,181.9616,15.0,,30679.51,85636.17
Mn,II,181.975,181.975,9.0,,55116.333,110068.93
Mn,II,182.022,182.02142,50.0,,30796.06,85734.65
Mn,II,182.065,182.06364,9.0,,43484.664,98410.512
Mn,II,182.2213,182.2206,,370000000.0,55116.333,109994.87
Mn,II,182.2213,182.22321,,,30796.06,85673.81
Mn,II,182.271,182.26945,10.0,,30679.51,85543.34
Mn,II,182.306,182.30431,8.0,,43557.175,98410.512
Mn,II,182.322,182.32272,1.0,,33147.71,87995.51
Mn,II,182.369,182.3689,30.0,340000000.0,55371.693,110205.6
Mn,II,182.522,182.52202,,,31514.71,86302.62
Mn,II,182.522,182.52419,,,31662.04,86449.3
Mn,II,182.659,182.65748,,,30796.06,85543.34
Mn,II,182.659,182.65891,,,33248.66,87995.51
Mn,II,182.7076,182.7077,100.0,650000000.0,55697.014,110429.23
