element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Na,I,,243.376496,,3870.0,0.0,
Na,I,,243.376703,,3870.0,0.0,
Na,I,,243.659344,,4640.0,0.0,
Na,I,,243.659599,,4640.0,0.0,
Na,I,,244.000936,,5600.0,0.0,
Na,I,,244.001245,,5600.0,0.0,
Na,I,,244.418818,,6800.0,0.0,
Na,I,,244.419195,,6800.0,0.0,
Na,I,,244.937663,,8600.0,0.0,
Na,I,,244.938137,,8600.0,0.0,
Na,I,,245.593045,,11200.0,0.0,
Na,I,,245.593648,,11200.0,0.0,
Na,I,,246.437851,,14400.0,0.0,
Na,I,,246.43864,,14400.0,0.0,
Na,I,,247.553565,,19400.0,0.0,40383.097
Na,I,,247.554619,,19400.0,0.0,40382.925
Na,I,,249.071261,,18900.0,0.0,40137.043
Na,I,,249.072707,,18900.0,0.0,40136.81
Na,I,,251.213407,,32000.0,0.0,
Na,I,,251.215497,,31000.0,0.0,
Na,I,254.382,254.38405,,44600.0,0.0,39298.84
Na,I,254.388,254.38722,,43500.0,0.0,39298.35
Na,I,259.383,259.38685,,81300.0,0.0,38540.93
Na,I,259.393,259.3919,,79600.0,0.0,38540.18
Na,I,268.0331,268.03407,,184000.0,0.0,37297.61
Na,I,268.0421,268.04334,,181000.0,0.0,37296.32
Na,I,285.2811,285.2811,16.0,538000.0,0.0,35042.85
Na,I,285.3013,285.30121,15.0,531000.0,0.0,35040.38
Na,I,289.3618,289.36113,1.0,,0.0,34548.764
Na,I,330.2369,330.23686,19.0,2750000.0,0.0,30272.58
Na,I,330.2979,330.29785,18.0,2730000.0,0.0,30266.99
Na,I,341.62,341.607,,15000000.0,263745.3,293010.3
Na,I,342.6862,342.685779,6.0,,0.0,29172.887
Na,I,342.73,342.736,9.0,28000000.0,263745.3,292913.9
Na,I,348.9,348.89,130.0,42000000.0,263745.3,292399.4
Na,I,350.25,350.237,160.0,88000000.0,263745.3,292289.2
Na,I,351.1,351.093,130.0,115000000.0,263745.3,292219.6
Na,I,383.36,383.38,,,266933.9,293010.3
Na,I,384.8,384.802,5.0,28000000.0,266933.9,292913.9
Na,I,385.23,385.22,,,267576.0,293528.0
Na,I,386.55,386.543,130.0,58000000.0,266586.7,292449.7
Na,I,387.29,387.296,19.0,12000000.0,266586.7,292399.4
Na,I,388.18,388.181,420.0,163000000.0,266586.7,292340.6
Na,I,,388.39033,,0.000695,0.0,25739.999
Na,I,388.57,388.571,36.0,62000000.0,267282.3,293010.3
Na,I,390.04,390.033,15.0,77000000.0,267282.3,292913.9
Na,I,391.18,391.17,,,267576.0,293133.1
