element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Na,II,180.1256,180.1276,,,297635.61,353151.8
Na,II,180.1256,180.1249,,,299189.96,354707.0
Na,II,180.4623,,30.0,,,
Na,II,180.5998,180.5991,12.0,,298165.44,353536.7
Na,II,180.6061,180.6057,10.0,,299189.96,
Na,II,180.7092,180.7131,90.0,,299189.96,354526.3
Na,II,180.8375,180.8392,60.0,,298165.44,353463.2
Na,II,181.4474,181.4473,25.0,,299885.37,354997.8
Na,II,181.8473,181.8475,5.0,,299885.37,354876.5
Na,II,181.8628,181.8633,7.0,,298165.44,353151.8
Na,II,181.9024,181.9028,20.0,,299885.37,354859.8
Na,II,182.1695,182.1697,50.0,,300103.92,354997.8
Na,II,182.2568,182.2574,5.0,,298165.44,353032.9
Na,II,182.4098,182.4098,0.0,,299885.37,354707.0
Na,II,182.573,182.5731,7.0,,300103.92,354876.5
Na,II,183.0124,183.013,20.0,,299885.37,354526.3
Na,II,183.1172,183.1167,12.0,,300387.82,354997.8
Na,II,183.1402,183.1399,1.0,,300103.92,354707.0
Na,II,183.3873,183.3875,45.0,,299189.96,353719.3
Na,II,183.5217,183.5244,80.0,,300387.82,354876.5
Na,II,183.6367,183.6369,2.0,,300103.92,
Na,II,183.7522,183.7479,15.0,,300103.92,354526.3
Na,II,183.789,183.7876,45.0,,299189.96,353600.6
Na,II,183.927,183.927,20.0,,300507.11,354876.5
Na,II,183.9835,183.9835,25.0,,300507.11,354859.8
Na,II,184.0032,184.0037,20.0,,299189.96,353536.7
Na,II,184.1822,184.183,60.0,,299189.96,353483.8
Na,II,184.5016,184.5022,70.0,,300507.11,354707.0
Na,II,185.015,185.0124,45.0,,299189.96,353240.4
Na,II,185.1194,185.1194,70.0,,300507.11,354526.3
Na,II,185.3166,185.3161,80.0,,299189.96,353151.8
Na,II,185.7265,185.7254,25.0,,299189.96,353032.9
Na,II,185.7576,185.7565,40.0,,299885.37,353719.3
Na,II,186.2832,,20.0,,,
Na,II,186.309,,25.0,,,
Na,II,186.3898,186.3887,15.0,,299885.37,353536.7
Na,II,186.5139,186.5136,35.0,,300103.92,353719.3
Na,II,186.5433,,20.0,,,
Na,II,186.6452,186.6444,45.0,,299885.37,353463.2
Na,II,187.1517,187.151,40.0,,300103.92,353536.7
Na,II,187.3369,187.3365,45.0,,300103.92,353483.8
Na,II,187.4098,187.4088,15.0,,300103.92,353463.2
Na,II,187.5075,187.5065,60.0,,300387.82,353719.3
Na,II,187.7365,187.7355,20.0,,299885.37,353151.8
Na,II,187.924,187.9269,,,300507.11,353719.3
Na,II,187.924,187.9248,,,300387.82,353600.6
Na,II,188.004,,25.0,,,
Na,II,188.109,,35.0,,,
Na,II,188.1912,188.1946,160.0,,300103.92,353240.4
Na,II,188.346,188.347,20.0,,300507.11,353600.6
Na,II,188.3804,188.3792,20.0,,299885.37,352969.8
Na,II,188.5091,188.5089,50.0,,300103.92,353151.8
Na,II,188.5742,188.574,45.0,,300507.11,353536.7
Na,II,188.9317,188.9324,30.0,,300103.92,353032.9
Na,II,189.9523,189.9513,,,300387.82,353032.9
Na,II,189.9523,189.9527,,,300507.11,353151.8
Na,II,190.3831,190.3827,15.0,,300507.11,353032.9
Na,II,190.6112,190.6117,15.0,,300507.11,352969.8
Na,II,194.6206,,35.0,,,
Na,II,194.8531,,7.0,,,
Na,II,196.7634,,90.0,,,
Na,II,199.1001,,60.0,,,
Na,II,199.1718,,20.0,,,
Na,II,199.9807,,30.0,,,
Na,II,200.9567,,7.0,,,
Na,II,201.0093,,10.0,,,
