element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Pb,I,181.2969,181.296787,5.0,,0.0,55158.1755
Pb,I,186.8764,186.876946,4.0,,0.0,53511.1485
Pb,I,190.4771,190.4775,10.0,,0.0,52499.6391
Pb,I,197.2439,197.2451,,,7819.2626,58517.607
Pb,I,197.78761,197.78774,2.0,,7819.2626,58378.513
Pb,I,199.1604,199.16099,2.0,,7819.2626,58029.899
Pb,I,199.2314,199.23183,2.0,,7819.2626,58012.046
Pb,I,202.20162,202.201749,,5900000.0,0.0,49439.6165
Pb,I,205.088,205.088019,5.0,,7819.2626,56563.195
Pb,I,205.32836,205.32815,,10200000.0,0.0,48686.934
Pb,I,211.17581,211.175816,6.0,,7819.2626,55158.1755
Pb,I,211.50664,211.506647,10.0,,7819.2626,55084.1385
Pb,I,217.00048,217.000288,,147000000.0,0.0,46068.4385
Pb,I,217.55801,217.55804,7.0,,10650.3271,56600.673
Pb,I,218.788815,218.788806,7.0,,7819.2626,53511.1485
Pb,I,218.96026,218.960259,8.0,,7819.2626,53475.374
Pb,I,223.74247,223.742424,20.0,,7819.2626,52499.6391
Pb,I,224.68558,224.685724,20.0,,10650.3271,55143.1396
Pb,I,224.6892,224.689563,25.0,,7819.2626,52311.315
Pb,I,233.241771,233.241761,150.0,,10650.3271,53511.1485
Pb,I,238.87974,238.879745,180.0,,10650.3271,52499.6391
Pb,I,239.379228,239.379223,,,10650.3271,52412.325
Pb,I,239.959658,239.95966,140.0,,10650.3271,52311.315
Pb,I,240.19396,240.193951,,24000000.0,7819.2626,49439.6165
Pb,I,241.1734,241.173436,,,10650.3271,52101.66
Pb,I,244.382885,244.38288,,,7819.2626,48726.262
Pb,I,244.618081,244.618073,,18600000.0,7819.2626,48686.934
Pb,I,247.637759,247.637766,,26000000.0,7819.2626,48188.6296
Pb,I,257.72596,257.725953,,51000000.0,10650.3271,49439.6165
Pb,I,261.36549,261.365508,,22000000.0,7819.2626,46068.4385
Pb,I,261.41746,261.417468,,198000000.0,7819.2626,46060.8364
Pb,I,262.826231,262.826247,160.0,4100000.0,10650.3271,48686.934
Pb,I,265.70937,265.709372,10.0,98000.0,7819.2626,45443.171
Pb,I,266.31535,266.315356,700.0,67000000.0,10650.3271,48188.6296
Pb,I,269.754055,269.754054,10.0,,21457.7982,58517.607
Pb,I,280.19953,280.199525,,161000000.0,10650.3271,46328.6668
Pb,I,282.2582,282.258344,100.0,,10650.3271,46068.4385
Pb,I,282.31894,282.318944,,27000000.0,10650.3271,46060.8364
Pb,I,283.30534,283.305346,,49000000.0,0.0,35287.2244
Pb,I,287.33111,287.3311,,38000000.0,10650.3271,45443.171
Pb,I,296.64595,296.645954,15.0,,21457.7982,55158.1755
Pb,I,297.29911,297.299125,15.0,,21457.7982,55084.1385
Pb,I,298.01568,298.01569,15.0,,21457.7982,55003.289
Pb,I,311.88941,311.889429,150.0,,21457.7982,53511.1485
Pb,I,322.05283,322.052839,600.0,,21457.7982,52499.6391
Pb,I,322.96128,322.961292,100.0,,21457.7982,52412.325
Pb,I,324.01865,324.018659,400.0,,21457.7982,52311.315
Pb,I,326.23553,326.235563,200.0,,21457.7982,52101.66
Pb,I,357.27292,357.272911,35000.0,99000000.0,21457.7982,49439.6165
Pb,I,363.95677,363.956773,,32000000.0,7819.2626,35287.2244
Pb,I,367.14913,367.149113,20000.0,31000000.0,21457.7982,48686.934
Pb,I,368.34625,368.346205,,137000000.0,7819.2626,34959.9084
Pb,I,373.99353,373.99352,25000.0,73000000.0,21457.7982,48188.6296
Pb,I,401.96321,401.96322,15000.0,3500000.0,21457.7982,46328.6668
Pb,I,405.78067,405.780659,95000.0,90000000.0,10650.3271,35287.2244
Pb,I,406.2136,406.213593,14000.0,92000000.0,21457.7982,46068.4385
Pb,I,415.78144,415.78144,10.0,,29466.8303,53511.1485
Pb,I,416.80328,416.80327,10000.0,1200000.0,21457.7982,45443.171
Pb,I,434.041258,434.041263,200.0,,29466.8303,52499.6391
Pb,I,500.541642,500.54165,1000.0,27000000.0,29466.8303,49439.6165
Pb,I,500.65724,500.65724,100.0,,34959.9084,54928.0835
Pb,I,507.6352,507.6322,10.0,,34959.9084,54653.72
Pb,I,508.948355,508.94835,50.0,,35287.2244,54930.1086
Pb,I,509.0008,509.00083,20.0,,35287.2244,54928.0835
Pb,I,510.72423,510.72427,10.0,,35287.2244,54861.806
Pb,I,520.143711,520.14372,2000.0,14000000.0,29466.8303,48686.934
Pb,I,569.23465,569.23465,40.0,,35287.2244,52849.7991
Pb,I,589.56245,589.56245,200.0,,34959.9084,51916.9408
Pb,I,600.18624,600.18624,2000.0,,35287.2244,51944.1059
Pb,I,601.16667,601.16667,500.0,,35287.2244,51916.9408
Pb,I,605.93556,605.93556,500.0,,35287.2244,51786.0614
Pb,I,611.05203,611.05203,50.0,,34959.9084,51320.5981
Pb,I,623.52656,623.52656,100.0,,35287.2244,51320.5981
Pb,I,689.2111,689.2117,10.0,,42918.6434,57423.972
Pb,I,712.8942,712.893,5.0,,42918.6434,56942.128
Pb,I,722.89653,722.89658,20000.0,850000.0,21457.7982,35287.2244
Pb,I,730.4683,730.46753,5.0,,42918.6434,56604.735
Pb,I,733.0154,733.0146,8.0,,7819.2626,21457.7982
Pb,I,734.66757,734.6676,10.0,,42918.6434,56526.4925
Pb,I,780.92587,780.92588,20.0,,42918.6434,55720.4336
Pb,I,781.7969,781.79689,5.0,,42918.6434,55706.171
Pb,I,782.9008,782.9016,6.0,,44674.9859,57444.47
Pb,I,789.67371,789.67371,5.0,,44809.3636,57469.339
Pb,I,816.80011,816.80013,10.0,,42918.6434,55158.1755
Pb,I,819.18855,819.18866,6.0,,44400.8898,56604.735
Pb,I,821.77107,821.77105,5.0,,42918.6434,55084.1385
Pb,I,825.5607,825.5608,8.0,,45443.171,57552.82
