element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Pb,II,182.205,,10.0,1180000000.0,14081.074,68964.31
Pb,II,192.1471,,7.0,,,
Pb,II,220.3534,,10.0,494000000.0,14081.074,59448.56
Pb,II,252.669,,,,,
Pb,II,257.66,,,,,
Pb,II,260.838,,,,,
Pb,II,263.4256,,4.0,,,
Pb,II,284.0557,,6.0,,,
Pb,II,288.73,,,,,
Pb,II,291.4442,,3.0,,,
Pb,II,294.743,,,,,
Pb,II,294.853,,,,,
Pb,II,298.6876,,4.0,,,
Pb,II,301.639,,,,,
Pb,II,371.3982,,10.0,,,
Pb,II,411.076,,5.0,,,
Pb,II,411.335,,4.0,,,
Pb,II,415.282,,10.0,,,
Pb,II,424.214,,,,,
Pb,II,424.492,,,,68964.31,92515.24
Pb,II,429.382,,7.0,,,
Pb,II,429.665,,6.0,,,
Pb,II,435.274,,10.0,,,
Pb,II,438.646,,,,69739.603,92530.66
Pb,II,457.9051,,10.0,,,
Pb,II,458.227,,10.0,,,
Pb,II,504.258,,50.0,,74458.99,94284.58
Pb,II,507.058,,10.0,,,
Pb,II,507.453,,10.0,,,
Pb,II,511.164,,10.0,,,
Pb,II,536.764,,10.0,,,
Pb,II,537.2099,,10.0,,,
Pb,II,554.425,,,,,
Pb,II,560.885,,,,59448.56,77272.57
Pb,II,600.958,,,,,
Pb,II,604.117,,,,,
Pb,II,607.574,,40.0,,92515.24,108969.58
Pb,II,608.1409,,40.0,,92530.66,108969.67
Pb,II,615.989,,10.0,,,
Pb,II,666.02,,,,59448.56,74458.99
Pb,II,719.36,,20.0,,,
Pb,II,755.897,,10.0,,,
Pb,II,763.256,,10.0,,,
Pb,II,773.296,,4.0,,,
Pb,II,815.691,,,,,
Pb,II,833.554,,6.0,,,
Pb,II,839.568,,10.0,,,
Pb,II,854.495,,,,,
Pb,II,870.99,,7.0,,,
Pb,II,871.939,,5.0,,,
Pb,II,905.082,,10.0,,,
Pb,II,906.343,,10.0,,,
Pb,II,924.528,,,,,
