element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Si,I,180.909,180.91046,,68300000.0,6298.85,61574.814
Si,I,,181.3269,,1040000.0,6298.85,61447.86
Si,I,181.407,181.4079,,115000000.0,6298.85,61423.23
Si,I,182.245,,50.0,,,
Si,I,183.651,183.651,200.0,13100000.0,77.115,54528.22
Si,I,183.801,,,,,
Si,I,184.115,184.11521,,15000000.0,0.0,54313.818
Si,I,184.144,184.14489,200.0,36700000.0,223.157,54528.22
Si,I,184.377,184.37699,200.0,33500000.0,77.115,54313.818
Si,I,184.551,184.55202,300.0,168000000.0,0.0,54185.264
Si,I,184.61,184.61116,100.0,56800000.0,77.115,54245.02
Si,I,184.747,184.74735,400.0,233000000.0,77.115,54205.09
Si,I,184.814,184.81505,200.0,123000000.0,77.115,54185.264
Si,I,184.874,184.8748,100.0,39200000.0,223.157,54313.818
Si,I,185.067,185.0672,500.0,305000000.0,223.157,54257.582
Si,I,185.179,,,,,
Si,I,185.246,185.24716,200.0,74000000.0,223.157,54205.09
Si,I,185.315,185.31522,50.0,7920000.0,223.157,54185.264
Si,I,187.31,,100.0,,,
Si,I,187.484,187.48424,,107000000.0,6298.85,59636.667
Si,I,187.581,,100.0,,,
Si,I,188.185,188.1854,200.0,5000000.0,223.157,53362.24
Si,I,188.77,,200.0,,,
Si,I,,189.06372,,4.45,6298.85,59191.072
Si,I,,189.0659,,0.00228,6298.85,59190.46
Si,I,,189.27542,,93.2,6298.85,59131.912
Si,I,189.325,,,,,
Si,I,,189.35075,,4.66,6298.85,59110.892
Si,I,,189.3541,,109.0,6298.85,59109.959
Si,I,,189.62329,,30.3,6298.85,59034.988
Si,I,190.133,190.1338,,100000000.0,6298.85,58893.4
Si,I,190.466,190.46647,,4870000.0,6298.85,58801.529
Si,I,,190.51237,,34.0,6298.85,58788.88
Si,I,195.497,,100.0,,,
Si,I,,197.75979,,27900000.0,0.0,50566.397
Si,I,,197.9205,,86900000.0,77.115,50602.44
Si,I,,198.06184,,20700000.0,77.115,50566.397
Si,I,,198.32328,,21800000.0,77.115,50499.838
Si,I,198.443,,30.0,,,
Si,I,,198.6364,,36500000.0,223.157,50566.397
Si,I,,198.89937,,65800000.0,223.157,50499.838
Si,I,199.185,,50.0,,,
Si,I,201.097,,30.0,,,
Si,I,205.483,,50.0,,,
Si,I,,205.81331,,70800000.0,6298.85,54871.031
Si,I,206.119,,40.0,,,
Si,I,206.552,,30.0,,,
Si,I,,207.27641,,459000.0,6298.85,54528.22
Si,I,,208.20208,,6450000.0,6298.85,54313.818
Si,I,,208.44625,,2730000.0,6298.85,54257.582
Si,I,,208.67467,,32600.0,6298.85,54205.09
Si,I,,208.76108,,546000.0,6298.85,54185.264
Si,I,210.321,,,,,
Si,I,211.463,,30.0,,,
Si,I,,212.29904,,35700000.0,6298.85,53387.334
Si,I,212.412,212.4122,100.0,297000000.0,6298.85,53362.24
Si,I,214.791,,,,,
Si,I,,220.71277,,0.00468,0.0,45293.629
Si,I,220.798,220.7978,110.0,26200000.0,0.0,45276.188
Si,I,,220.95132,,0.00458,77.115,45321.848
Si,I,221.089,221.08922,115.0,34600000.0,77.115,45293.629
Si,I,221.174,221.17454,110.0,18100000.0,77.115,45276.188
Si,I,221.667,221.66689,120.0,45400000.0,223.157,45321.848
Si,I,221.806,221.80569,120.0,10900000.0,223.157,45293.629
Si,I,221.891,221.89157,50.0,1050000.0,223.157,45276.188
Si,I,,227.82803,,3560000.0,15394.37,59273.575
Si,I,,228.25724,,19.9,15394.37,59191.072
Si,I,,228.67593,,18.3,15394.37,59110.892
Si,I,229.103,,35.0,,,
Si,I,230.306,230.30585,55.0,348000000.0,15394.37,58801.529
Si,I,243.515,243.51545,300.0,44300000.0,6298.85,47351.554
Si,I,243.877,243.87678,65.0,791000.0,0.0,40991.884
Si,I,244.336,244.33647,65.0,628000.0,77.115,40991.884
Si,I,245.212,245.2118,70.0,581000.0,223.157,40991.884
Si,I,250.69,250.6897,425.0,54700000.0,77.115,39955.053
Si,I,251.432,251.43156,375.0,73900000.0,0.0,39760.285
Si,I,251.6113,251.61122,500.0,168000000.0,223.157,39955.053
Si,I,251.9202,251.92019,350.0,54900000.0,77.115,39760.285
Si,I,252.4108,252.41077,425.0,222000000.0,77.115,39683.163
Si,I,252.8509,252.85079,450.0,90400000.0,223.157,39760.285
Si,I,253.2381,253.23811,110.0,24500000.0,15394.37,54871.031
Si,I,,256.18234,,0.00462,6298.85,45321.848
Si,I,256.3679,256.36774,30.0,0.0042,6298.85,45293.629
Si,I,,256.48246,,0.00178,6298.85,45276.188
Si,I,256.8641,256.86398,85.0,4240000.0,15394.37,54313.818
Si,I,257.7151,,45.0,,,
Si,I,263.1282,263.12818,190.0,106000000.0,15394.37,53387.334
Si,I,288.1579,288.15777,1000.0,217000000.0,6298.85,40991.884
Si,I,297.0355,297.03532,55.0,60000.0,6298.85,39955.053
Si,I,298.7645,298.76434,150.0,2660000.0,6298.85,39760.285
Si,I,,299.97808,,0.000657,0.0,33326.053
Si,I,300.6739,300.67385,50.0,1100.0,77.115,33326.053
Si,I,,300.67385,,0.00145,77.115,33326.053
Si,I,302.0004,302.00041,75.0,3300.0,223.157,33326.053
Si,I,,302.00041,,0.00109,223.157,33326.053
Si,I,390.5523,390.55231,300.0,13300000.0,15394.37,40991.884
Si,I,410.2936,410.29359,70.0,60900.0,15394.37,39760.285
Si,I,,411.59638,,,15394.37,39683.163
Si,I,,472.1571,,340000.0,39683.163,60856.63
Si,I,,473.8832,,1000000.0,39760.285,60856.63
Si,I,,474.7993,,570000.0,39760.285,60815.925
Si,I,,475.5276,,750000.0,39683.163,60706.558
Si,I,,477.2785,,570000.0,39760.285,60706.558
Si,I,478.2991,478.2991,50.0,1700000.0,39955.053,60856.63
Si,I,479.2212,479.2213,35.0,2200000.0,39760.285,60621.64
Si,I,479.2324,479.2324,80.0,1700000.0,39955.053,60815.925
Si,I,,480.5439,,600000.0,39683.163,60487.103
Si,I,,481.7581,,910000.0,39955.053,60706.558
Si,I,,481.8052,,1100000.0,39955.053,60704.53
Si,I,,482.1167,,800000.0,39760.285,60496.358
Si,I,,482.3319,,450000.0,39760.285,60487.103
Si,I,,486.688,,260000.0,39955.053,60496.358
Si,I,,486.9074,,29000.0,39955.053,60487.103
Si,I,494.7607,494.7607,30.0,4200000.0,40991.884,61198.036
Si,I,500.6061,500.6059,40.0,2800000.0,40991.884,60962.105
Si,I,549.323,,40.0,,,
Si,I,551.7535,,35.0,,,
Si,I,,559.794,,540000.0,39683.163,57541.918
Si,I,562.2221,562.222,30.0,1600000.0,39760.285,57541.918
Si,I,564.5611,564.5613,90.0,970000.0,39760.285,57468.239
Si,I,566.5554,566.5555,80.0,631000.0,39683.163,57328.789
Si,I,568.4484,568.4484,120.0,2600000.0,39955.053,57541.918
Si,I,569.0425,569.0425,100.0,926000.0,39760.285,57328.789
Si,I,570.1105,570.1104,90.0,1830000.0,39760.285,57295.881
Si,I,570.8397,570.84,160.0,1390000.0,39955.053,57468.239
Si,I,574.7667,,45.0,,,
Si,I,575.3625,,45.0,,,
Si,I,575.422,575.4218,45.0,1230000.0,39955.053,57328.789
Si,I,576.2977,,45.0,,,
Si,I,577.2145,577.2146,70.0,3560000.0,40991.884,58311.659
Si,I,578.0384,578.0384,70.0,297000.0,39683.163,56978.256
Si,I,579.3071,579.3073,90.0,383000.0,39760.285,57017.496
Si,I,579.7859,579.7856,100.0,253000.0,39955.053,57198.027
Si,I,,580.6275,,212000.0,39760.285,56978.256
Si,I,,585.9201,,124000.0,39955.053,57017.496
Si,I,,587.2707,,13600.0,39955.053,56978.256
Si,I,587.3764,,40.0,,,
Si,I,594.8545,594.8541,200.0,2220000.0,40991.884,57798.072
Si,I,612.5021,,90.0,,,
Si,I,613.1574,,85.0,,,
Si,I,613.185,,90.0,,,
Si,I,614.2487,,100.0,,,
Si,I,614.5015,,100.0,,,
Si,I,615.5134,,160.0,,,
Si,I,623.732,,160.0,,,
Si,I,623.8287,,40.0,,,
Si,I,624.3813,,125.0,,,
Si,I,624.4468,,125.0,,,
Si,I,625.4188,,180.0,,,
Si,I,633.1954,633.1956,45.0,10000.0,40991.884,56780.427
Si,I,,651.873,,590000.0,48020.074,63356.24
Si,I,652.6609,,45.0,,,
Si,I,,652.6782,,0.0274,77.115,15394.37
Si,I,652.7199,,45.0,,,
Si,I,,655.388,,110000.0,48102.323,63356.24
Si,I,655.5462,655.5463,45.0,690000.0,48264.292,63514.533
Si,I,,656.057,,600000.0,48102.323,63340.7
Si,I,,658.9611,,0.000775,223.157,15394.37
Si,I,,662.422,,2900.0,48264.292,63356.24
Si,I,,663.105,,73000.0,48264.292,63340.7
Si,I,672.1853,672.1848,100.0,3400000.0,47284.061,62156.816
Si,I,674.164,,30.0,,,
Si,I,684.8568,,30.0,,,
Si,I,697.6523,697.651,80.0,3260000.0,48020.074,62349.93
Si,I,700.3567,700.3569,180.0,3420000.0,48102.323,62376.82
Si,I,700.5883,700.588,180.0,3830000.0,48264.292,62534.08
Si,I,,701.679,,596000.0,48102.323,62349.93
Si,I,701.728,,30.0,,,
Si,I,701.7646,,90.0,,,
Si,I,703.4903,,250.0,,,
Si,I,,708.395,,413000.0,48264.292,62376.82
