element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Si,II,180.8,180.8013,150.0,2540000.0,0.0,55309.35
Si,II,181.692,181.6928,200.0,2650000.0,287.24,55325.18
Si,II,181.745,181.7451,10.0,323000.0,287.24,55309.35
Si,II,186.932,,20.0,,,
Si,II,187.023,,15.0,,,
Si,II,190.246,,,,,
Si,II,191.062,,,,,
Si,II,194.167,,50.0,,,
Si,II,194.459,,15.0,,,
Si,II,194.933,,10.0,,,
Si,II,194.956,,100.0,,,
Si,II,,200.416,,4760000.0,76665.35,126545.4
Si,II,,200.495,,4750000.0,76665.35,126525.8
Si,II,,201.492,,33100000.0,76665.35,126279.0
Si,II,,201.666,,33900000.0,76665.35,126236.4
Si,II,205.865,,50.0,,,
Si,II,205.901,,50.0,,,
Si,II,,206.2207,,4600000.0,65500.47,113976.72
Si,II,,206.283,,4590000.0,65500.47,113962.08
Si,II,207.202,207.2015,200.0,96000000.0,55309.35,103556.16
Si,II,,207.2695,,6800000.0,55325.18,103556.16
Si,II,207.27,207.27,200.0,100000000.0,55325.18,103556.03
Si,II,213.399,,,,,
Si,II,213.64,,,,,
Si,II,213.656,,,,,
Si,II,,222.5248,,24400000.0,76665.35,121590.19
Si,II,,223.2507,,24100000.0,76665.35,121444.12
Si,II,,230.853,,4020000.0,81191.34,124495.7
Si,II,,231.173,,7650000.0,81251.32,124495.7
Si,II,,231.173,,50100000.0,81251.32,124495.7
Si,II,,232.8517,,23.5,0.0,42932.62
Si,II,233.44,233.4407,30.0,5510.0,0.0,42824.29
Si,II,233.461,233.4605,30.0,2440.0,287.24,43107.91
Si,II,234.42,234.4202,10.0,1310.0,287.24,42932.62
Si,II,234.954,,,,,
Si,II,235.017,235.0172,20.0,4700.0,287.24,42824.29
Si,II,235.309,,,,,
Si,II,235.63,,,,,
Si,II,235.718,,,,,
Si,II,235.797,,,,,
Si,II,236.02,,,,,
Si,II,236.697,,30.0,,,
Si,II,237.426,,20.0,,,
Si,II,,242.7628,,13.6,42824.29,84004.26
Si,II,,242.7628,,0.00136,42824.29,84004.26
Si,II,242.845,,,,,
Si,II,,243.4032,,0.00284,42932.62,84004.26
Si,II,,243.9614,,0.00522,42824.29,83801.95
Si,II,,243.9943,,34700000.0,81191.34,122163.48
Si,II,,244.3517,,10700000.0,81251.32,122163.54
Si,II,,244.3521,,1790000.0,81251.32,122163.48
Si,II,,244.4465,,0.00356,43107.91,84004.26
Si,II,,244.6081,,3.0,42932.62,83801.95
Si,II,,245.6619,,25.8,43107.91,83801.95
Si,II,,250.0945,,11300000.0,79338.5,119311.34
Si,II,,250.1979,,807000.0,79355.02,119311.34
Si,II,,250.1988,,12100000.0,79355.02,119311.19
Si,II,,250.3295,,5480000.0,79338.5,119273.81
Si,II,,250.4331,,49200000.0,79355.02,119273.81
Si,II,,250.5089,,53600000.0,79338.5,119245.22
Si,II,,260.1557,,156.0,42824.29,81251.32
Si,II,,260.4421,,1330000.0,65500.47,103885.25
Si,II,,260.5625,,251.0,42824.29,81191.34
Si,II,,260.6085,,1330000.0,65500.47,103860.74
Si,II,,260.8913,,22.9,42932.62,81251.32
Si,II,,261.3003,,922.0,42932.62,81191.34
Si,II,,262.0903,,4470.0,43107.91,81251.32
Si,II,,264.5538,,8480000.0,83801.95,121590.19
Si,II,,265.5805,,33600000.0,83801.95,121444.12
Si,II,,265.9779,,41700000.0,84004.26,121590.19
Si,II,,267.0156,,16500000.0,84004.26,121444.12
Si,II,,267.7906,,17700000.0,81191.34,118522.86
Si,II,268.221,268.2216,,3490000.0,81251.32,118522.86
Si,II,,272.2249,,15600000.0,81191.34,117914.8
