element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Ti,I,203.60291,203.60277,0.0,,0.0,49099.463
Ti,I,203.68215,203.68216,4.0,,0.0,49080.327
Ti,I,204.09868,204.09861,0.0,,170.1328,49150.329
Ti,I,204.31073,204.31082,5.0,,170.1328,49099.463
Ti,I,205.00592,205.0059,5.0,,386.874,49150.329
Ti,I,205.67711,205.67746,0.0,,170.1328,48774.39
Ti,I,205.93997,205.93997,4.0,,0.0,48542.31
Ti,I,206.05923,206.05928,5.0,,170.1328,48684.34
Ti,I,206.17054,206.17073,6.0,,386.874,48874.86
Ti,I,206.28734,206.2873,4.0,,0.0,48460.59
Ti,I,206.29143,206.29178,4.0,,170.1328,48629.67
Ti,I,206.59877,206.59887,7.0,,386.874,48774.39
Ti,I,206.66438,206.66439,4.0,,170.1328,48542.31
Ti,I,206.98398,206.98412,1.0,,386.874,48684.34
Ti,I,207.21857,207.218652,,,170.1328,48412.9432
Ti,I,207.21857,207.218734,,,0.0,48242.7911
Ti,I,211.38076,211.38084,0.0,,170.1328,47463.135
Ti,I,211.85342,211.85348,5.0,,0.0,47187.507
Ti,I,212.19432,212.19416,6.0,,170.1328,47281.887
Ti,I,212.35489,212.35417,10.0,,386.874,47463.135
Ti,I,213.94896,213.94893,8.0,,0.0,46725.398
Ti,I,214.21292,214.21278,9.0,,170.1328,46837.984
Ti,I,214.36167,214.36157,10.0,,386.874,47022.337
Ti,I,214.7304,214.73088,0.0,,170.1328,46725.398
Ti,I,215.21236,215.21241,0.0,,386.874,46837.984
Ti,I,221.1381,221.13821,0.0,,0.0,45206.499
Ti,I,221.8376,221.83784,,,0.0,45063.941
Ti,I,221.97356,221.97368,5.0,,170.1328,45206.499
Ti,I,222.14474,222.14478,9.0,,0.0,45001.681
Ti,I,222.31845,222.31847,8.0,,0.0,44966.527
Ti,I,222.51111,222.51122,10.0,,170.1328,45097.711
Ti,I,222.67851,222.67862,8.0,,170.1328,45063.941
Ti,I,222.97246,222.972504,8.0,,0.0,44834.642
Ti,I,222.98793,222.98789,0.0,,170.1328,45001.681
Ti,I,223.02191,223.02182,10.0,,386.874,45211.603
Ti,I,223.04709,223.04722,10.0,,386.874,45206.499
Ti,I,223.38016,223.38008,9.0,,170.1328,44922.979
Ti,I,223.8221,223.821917,6.0,,170.1328,44834.642
Ti,I,223.8743,223.87419,10.0,,386.874,45040.955
Ti,I,224.4675,224.46729,7.0,,386.874,44922.979
Ti,I,226.178,226.17806,1.0,,170.1328,44369.406
Ti,I,226.4016,226.40181,12.0,23000000.0,0.0,44155.596
Ti,I,226.6148,226.61481,0.0,,170.1328,44284.231
Ti,I,226.7367,226.73671,6.0,,386.874,44477.256
Ti,I,226.7545,226.754289,13.0,,170.1328,44257.098
Ti,I,226.7914,226.79135,10.0,,0.0,44079.761
Ti,I,226.8751,226.87512,9.0,,170.1328,44233.62
Ti,I,227.2612,227.26126,13.0,,386.874,44375.5
Ti,I,227.2773,227.2776,5.0,,170.1328,44155.596
Ti,I,227.2927,227.29275,1.0,,386.874,44369.406
Ti,I,227.3279,227.32799,14.0,,0.0,43975.715
Ti,I,227.6702,227.67016,14.0,130000000.0,170.1328,44079.761
Ti,I,227.8747,227.874673,6.0,,386.874,44257.098
Ti,I,227.9967,227.9967,15.0,94000000.0,386.874,44233.62
Ti,I,229.3747,229.374698,8.0,,0.0,43583.355
Ti,I,229.4205,229.42047,8.0,,170.1328,43744.793
Ti,I,229.9858,229.98591,14.0,69000000.0,0.0,43467.537
Ti,I,230.2736,230.273678,14.0,57000000.0,170.1328,43583.355
Ti,I,230.5674,230.56742,15.0,52000000.0,386.874,43744.793
Ti,I,230.8898,230.8897,7.0,,170.1328,43467.537
Ti,I,231.4292,231.429193,6.0,,386.874,43583.355
Ti,I,232.8798,232.88032,0.0,,0.0,42927.337
Ti,I,236.5034,236.50366,0.0,,0.0,42269.727
Ti,I,236.8567,236.85655,,,0.0,42206.755
Ti,I,236.8581,236.85875,,,170.1328,42376.495
Ti,I,236.9282,236.928438,4.0,,0.0,42193.949
Ti,I,237.1959,237.19605,7.0,,0.0,42146.348
Ti,I,237.2256,237.22542,4.0,,170.1328,42311.264
Ti,I,237.3522,237.35319,4.0,,386.874,42505.322
Ti,I,237.4592,237.45949,6.0,,170.1328,42269.727
Ti,I,237.815,237.81524,8.0,,170.1328,42206.755
Ti,I,238.0814,238.08146,7.0,,386.874,42376.495
Ti,I,238.4517,238.45193,10.0,9000000.0,386.874,42311.264
Ti,I,239.0725,239.07253,0.0,,170.1328,41985.701
Ti,I,239.4665,239.466953,0.0,,6661.006,48407.7054
Ti,I,239.7046,239.70433,1.0,,386.874,42092.236
Ti,I,239.9371,239.936843,0.0,,6742.756,48407.7054
Ti,I,239.9554,239.95538,6.0,,6742.756,48404.487
Ti,I,240.3987,240.3987,0.0,,0.0,41584.908
Ti,I,240.43831,240.438309,10.0,,6661.006,48239.0643
Ti,I,240.4543,240.454349,1.0,,6661.006,48236.2911
Ti,I,240.48327,240.483296,6.0,,6661.006,48231.287
Ti,I,240.48508,240.485031,6.0,,6842.962,48412.9432
Ti,I,240.53443,240.534447,15.0,,6842.962,48404.4036
Ti,I,240.55396,240.553974,5.0,,6556.833,48114.901
Ti,I,240.65424,240.654227,5.0,,6556.833,48097.5899
Ti,I,240.88399,240.884004,6.0,,6598.765,48099.8996
Ti,I,240.9272,240.928125,0.0,,6742.756,48236.2911
Ti,I,240.95719,240.957187,5.0,,6742.756,48231.287
Ti,I,241.1369,241.13675,7.0,,0.0,41457.639
Ti,I,241.1568,241.15742,4.0,,170.1328,41624.219
Ti,I,241.15937,241.15937,10.0,,6556.833,48010.5835
Ti,I,241.3864,241.38634,0.0,,170.1328,41584.908
Ti,I,241.47703,241.476973,9.0,,6598.765,47997.9976
Ti,I,241.5685,241.569566,0.0,,6842.962,48226.3275
Ti,I,241.8362,241.83617,12.0,12000000.0,0.0,41337.748
Ti,I,242.1305,242.13047,,13000000.0,170.1328,41457.639
Ti,I,242.4255,242.42502,,17000000.0,386.874,41624.219
Ti,I,242.6562,242.65636,0.0,,386.874,41584.908
Ti,I,242.8214,242.82157,10.0,7700000.0,0.0,41170.006
Ti,I,242.8355,242.83567,8.0,,170.1328,41337.748
Ti,I,243.1783,243.17858,4.0,,7255.355,48364.925
Ti,I,243.3218,243.32195,11.0,,170.1328,41255.481
Ti,I,243.408,243.40836,8.0,,386.874,41457.639
Ti,I,243.829,243.82926,6.0,,170.1328,41170.006
Ti,I,244.098,244.09841,12.0,7200000.0,386.874,41341.543
Ti,I,244.6122,244.61247,7.0,,386.874,41255.481
Ti,I,244.7585,244.75895,0.0,,0.0,40844.151
Ti,I,245.7826,245.78281,5.0,,170.1328,40844.151
Ti,I,245.8037,245.80402,4.0,,0.0,40670.509
Ti,I,245.9089,245.90992,3.0,,386.874,41039.87
Ti,I,245.9652,245.96611,8.0,,8436.618,49080.327
Ti,I,246.1879,246.18823,4.0,,8492.422,49099.463
Ti,I,246.3045,246.30431,4.0,,8492.422,49080.327
Ti,I,246.4979,246.49801,6.0,,0.0,40556.014
Ti,I,246.5467,246.54682,5.0,,8602.3441,49150.329
