element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Ti,II,180.70033,180.7003,18.0,,15265.7001,70605.9514
Ti,II,182.11612,182.116202,13.0,,29734.6206,84644.617
Ti,II,182.351,182.349592,,,4628.6571,59468.374
Ti,II,182.835,182.83703,,,4628.6571,59322.173
Ti,II,182.93595,182.936025,5.0,,29968.3304,84632.249
Ti,II,183.03197,183.031985,6.0,,29734.6206,84369.88
Ti,II,183.047,183.046321,,,8744.3406,63375.321
Ti,II,183.24865,183.248667,5.0,,4897.7179,59468.374
Ti,II,183.264,183.263298,,,8710.5675,63276.867
Ti,II,183.33669,183.336663,9.0,,29968.3304,84512.7943
Ti,II,183.40999,183.410029,5.0,,29968.3304,84490.976
Ti,II,183.54909,183.549085,18.0,,30240.9396,84722.279
Ti,II,183.739,183.74093,,,4897.7179,59322.173
Ti,II,183.85287,183.852901,5.0,,30240.9396,84632.249
Ti,II,185.84529,185.845308,5.0,,30836.425,84644.617
Ti,II,186.268162,186.268188,29.0,,30958.5846,84644.617
Ti,II,186.577,186.57668,,,0.0,53597.2664
Ti,II,186.725,186.723962,,,0.0,53554.9903
Ti,II,186.80781,186.807851,8.0,,31113.6764,84644.617
Ti,II,186.831,186.831005,,,9851.0145,63375.321
Ti,II,186.905,186.904875,,,94.1142,53597.2664
Ti,II,187.053,187.052677,,,94.1142,53554.9903
Ti,II,187.17531,187.175301,6.0,,9851.0145,63276.867
Ti,II,187.26825,187.268297,10.0,,9975.9994,63375.321
Ti,II,187.34559,187.345558,4.0,,31113.6764,84490.976
Ti,II,187.43659,187.436584,5.0,,31301.0653,84652.443
Ti,II,187.50756,187.507558,9.0,,31301.0653,84632.249
Ti,II,187.515,187.514229,,,225.7039,53554.9903
Ti,II,187.534,187.533109,,,29734.6206,83058.538
Ti,II,187.61422,187.614207,4.0,,9975.9994,63276.867
Ti,II,187.63516,187.63526,5.0,,29544.454,82839.341
Ti,II,187.657,187.656274,,,29968.3304,83257.2496
Ti,II,187.77153,187.771552,8.0,,31113.6764,84369.88
Ti,II,187.92848,187.928492,7.0,,31301.0653,84512.7943
Ti,II,188.04175,188.041747,7.0,,29734.6206,82914.301
Ti,II,188.35864,188.358653,10.0,,29968.3304,83058.538
Ti,II,188.62115,188.6212,13.0,,30240.9396,83257.2496
Ti,II,188.68968,188.689727,6.0,,16625.2441,69622.3
Ti,II,189.14016,189.140133,13.0,,225.7039,53096.556
Ti,II,189.352,189.352431,,,16515.9359,69327.5102
Ti,II,189.564,189.562609,,,94.1142,52847.1337
Ti,II,189.74212,189.742123,145.0,,393.4459,53096.556
Ti,II,189.745,189.74456,,,30958.5846,83661.0179
Ti,II,190.002,190.00252,,,0.0,52630.881
Ti,II,190.03666,190.036645,14.0,,225.7039,52847.1337
Ti,II,190.074,190.073859,,,94.1142,52705.2416
Ti,II,190.342,190.34289,,,94.1142,52630.881
Ti,II,190.550462,190.550459,67.0,,225.7039,52705.2416
Ti,II,190.57819,190.578213,10.0,,0.0,52471.895
Ti,II,190.624,190.623624,,,0.0,52459.395
Ti,II,190.644364,190.644365,130.0,,393.4459,52847.1337
Ti,II,190.820846,190.820842,112.0,,225.7039,52630.881
Ti,II,190.920643,190.920651,74.0,,94.1142,52471.895
Ti,II,190.966217,190.966225,81.0,,94.1142,52459.395
Ti,II,191.061227,191.061231,45.0,380000000.0,0.0,52339.242
Ti,II,191.09538,191.09538,67.0,179000000.0,0.0,52329.889
Ti,II,191.161477,191.161475,82.0,,393.4459,52705.2416
Ti,II,191.401524,191.401513,36.0,,225.7039,52471.895
Ti,II,191.43969,191.43968,13.0,,94.1142,52329.889
Ti,II,191.779,191.778188,,,31113.6764,83257.2496
Ti,II,191.939,191.938751,,,30958.5846,83058.538
