element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Zn,I,204.092,,,,,
Zn,I,204.492,,,,,
Zn,I,204.8421,,,,,
Zn,I,204.896,,,,,
Zn,I,205.286,,,,,
Zn,I,207.013,207.0131,,,32501.399,80792.1
Zn,I,207.90811,207.90808,,,32311.3176,80394.173
Zn,I,208.695,208.6941,,,32890.3267,80792.1
Zn,I,208.73332,208.73335,,,32501.399,80394.173
Zn,I,209.693,209.693,,,32501.399,80175.022
Zn,I,210.44253,210.44253,,,32890.3267,80394.173
Zn,I,213.857351,213.857354,,714000000.0,0.0,46745.4032
Zn,I,233.576,233.5758,,,32311.3176,75110.84
Zn,I,234.207,234.2069,,,32311.3176,74995.53
Zn,I,234.6176,234.6176,,,32501.399,75110.9
Zn,I,235.023,235.0233,,,32311.3176,74847.27
Zn,I,236.096,236.078,,,32501.399,74847.34
Zn,I,236.1094,236.1096,,,32311.3176,74651.58
Zn,I,236.7783,236.7785,,,32890.3267,75111.0
Zn,I,237.178,237.1739,,,32501.399,74651.68
Zn,I,237.4267,237.4268,,,32890.3267,74995.72
Zn,I,237.5977,237.5977,,,32311.3176,74386.42
Zn,I,238.22,238.2655,,,32890.3267,74847.52
Zn,I,238.68,238.6752,,,32501.399,74386.57
Zn,I,238.83,238.832,,,32311.3176,74169.0
Zn,I,239.385,239.3816,,,32890.3267,74651.91
Zn,I,239.49,239.49269,,,32311.3176,74053.531
Zn,I,239.49,239.49269,,,32311.3176,74053.531
Zn,I,239.575,239.568,,,32311.3176,74040.4
Zn,I,239.575,239.568,,,32311.3176,74040.4
Zn,I,239.575,239.568,,,32311.3176,74040.4
Zn,I,239.715,239.711,,,32311.3176,74015.5
Zn,I,239.923,239.922,,,32501.399,74169.0
Zn,I,240.282,240.282,,,32890.3267,74495.4
Zn,I,240.52,240.522,,,32501.399,74065.0
Zn,I,240.52,240.522,,,32501.399,74065.0
Zn,I,240.59,240.58834,,,32501.399,74053.531
Zn,I,240.59,240.58834,,,32501.399,74053.531
Zn,I,240.59,240.58834,,,32501.399,74053.531
Zn,I,240.66,240.664,,,32501.399,74040.4
Zn,I,240.66,240.664,,,32501.399,74040.4
Zn,I,240.66,240.664,,,32501.399,74040.4
Zn,I,240.78,240.782,,,32890.3267,74409.0
Zn,I,240.78,240.782,,,32890.3267,74409.0
Zn,I,240.78,240.782,,,32890.3267,74409.0
Zn,I,240.813,240.809,3400.0,,32501.399,74015.5
Zn,I,240.906,240.9107,,,32890.3267,74386.87
Zn,I,241.1,241.1059,,,32501.399,73964.34
Zn,I,241.548,241.547,3500.0,,32311.3176,73698.6
Zn,I,242.182,242.182,,,32890.3267,74169.0
Zn,I,242.51,242.54536,,,32311.3176,73528.205
Zn,I,242.51,242.54536,,,32311.3176,73528.205
Zn,I,242.663,242.661,3700.0,,32501.399,73698.6
Zn,I,242.71,242.709,,,32311.3176,73500.4
Zn,I,242.71,242.709,,,32311.3176,73500.4
Zn,I,242.71,242.709,,,32311.3176,73500.4
Zn,I,242.86,242.8617,,,32890.3267,74053.531
Zn,I,242.86,242.8617,,,32890.3267,74053.531
Zn,I,242.86,242.8617,,,32890.3267,74053.531
Zn,I,242.93,242.939,,,32890.3267,74040.4
Zn,I,242.93,242.939,,,32890.3267,74040.4
Zn,I,242.93,242.939,,,32890.3267,74040.4
Zn,I,243.03,243.03,,,32890.3267,74025.0
Zn,I,243.079,243.086,3800.0,,32890.3267,74015.5
Zn,I,243.38,243.3891,,,32890.3267,73964.34
Zn,I,243.63,243.66918,,,32501.399,73528.205
Zn,I,243.63,243.66918,,,32501.399,73528.205
Zn,I,243.63,243.66918,,,32501.399,73528.205
Zn,I,243.84,243.834,,,32501.399,73500.4
Zn,I,243.84,243.834,,,32501.399,73500.4
