obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.74168""","=""180.7416""","=""70""","=""""",,"=""91274.50""","=""146602.10""","=""3s.4s""","=""3S""","=""1""","=""3s.10p""","=""3P*""","=""2""",,"=""""","=""L3460""",
"=""180.75851""","=""180.7584""","=""20""","=""""",,"=""91274.50""","=""146596.95""","=""3s.4s""","=""3S""","=""1""","=""3s.10p""","=""3P*""","=""1""",,"=""""","=""L3460""",
"=""180.7651""","=""180.7653""","=""1""","=""""",,"=""91274.50""","=""146594.85""","=""3s.4s""","=""3S""","=""1""","=""3s.10p""","=""3P*""","=""0""",,"=""""","=""L4575""",
"=""181.8352""","=""181.8355""","=""50""","=""5.45e+08""",B+,"=""95549.42""","=""150544.17""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3D*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""181.8392""","=""181.8391""","=""3""","=""6.82e+07""",C+,"=""95550.51""","=""150544.17""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""3""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""181.9249""","=""""","=""9.54e+07""",C+,"=""95549.42""","=""150517.17""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3D*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""181.9285""","=""181.9285""","=""1""","=""4.25e+08""",B,"=""95550.51""","=""150517.17""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""181.9315""","=""""","=""9.17e+07""",C+,"=""95551.44""","=""150517.17""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3D*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""""","=""182.0092""","=""""","=""1.53e+08""",C+,"=""95550.51""","=""150492.80""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""1""",,"=""T6298c4,LS""","=""""",
