obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.5341""","=""0.0002""","=""180.5338""","=""0.0003""","=""10a""","=""""",,"=""0.000""","=""55391.297""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.5d""","=""2D""","=""5/2""",E2,"=""""","=""L4958""",
"=""180.5454""","=""0.0007""","=""180.54561""","=""0.00023""","=""5a""","=""""",,"=""0.000""","=""55387.667""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.5d""","=""2D""","=""3/2""",E2,"=""""","=""L4958""",
"=""181.7265""","=""0.0002""","=""181.72645""","=""0.00007""","=""7000a""","=""""",,"=""0.000""","=""55027.762""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.6p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""182.5349""","=""0.0002""","=""182.53483""","=""0.00010""","=""8000a""","=""""",,"=""0.000""","=""54784.065""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.6p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""197.813""","=""0.002""","=""197.8118""","=""0.0012""","=""2a""","=""""",,"=""11202.618""","=""61755.71""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.16p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""198.165""","=""0.002""","=""198.1640""","=""0.0012""","=""3a""","=""""",,"=""11202.618""","=""61665.86""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.15p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""198.6112""","=""0.0007""","=""198.6104""","=""0.0009""","=""4a""","=""""",,"=""11202.618""","=""61552.44""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.14p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""199.1876""","=""0.0010""","=""199.1868""","=""0.0010""","=""6a""","=""""",,"=""11202.618""","=""61406.75""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.13p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""199.950""","=""0.002""","=""199.9500""","=""0.0003""","=""10a,bl""","=""""",,"=""11202.618""","=""61215.13""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.12p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""200.1672""","=""0.0002""","=""200.16723""","=""0.00008""","=""12a""","=""""",,"=""0.000""","=""49942.051""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.4d""","=""2D""","=""5/2""",E2,"=""""","=""L4958""",
"=""200.1947""","=""0.0002""","=""200.19472""","=""0.00008""","=""6a""","=""""",,"=""0.000""","=""49935.195""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.4d""","=""2D""","=""3/2""",E2,"=""""","=""L4958""",
"=""200.9252""","=""0.0002""","=""200.92510""","=""0.00020""","=""12a""","=""""",,"=""11202.618""","=""60956.32""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.11p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""202.3947""","=""0.0002""","=""202.39473""","=""0.00016""","=""12a""","=""""",,"=""11202.618""","=""60595.10""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.10p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""202.4002""","=""0.0002""","=""202.40019""","=""0.00020""","=""6a""","=""""",,"=""11202.618""","=""60593.77""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.8f""","=""2F*""","=""5/2""",,"=""""","=""L4958""",
"=""202.4327""","=""0.0008""","=""202.43252""","=""0.00021""","=""3000a,bl""","=""9.8e+06""",B,"=""0.000""","=""49383.264""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.5p""","=""2P*""","=""1/2""",,"=""T7574""","=""L4958""",
"=""202.4338""","=""0.0002""","=""202.43383""","=""0.00007""","=""7000a""","=""9.8e+06""",B,"=""0.000""","=""49382.945""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.5p""","=""2P*""","=""3/2""",,"=""T7574""","=""L4958""",
"=""204.5692""","=""0.0004""","=""204.56914""","=""0.00021""","=""15a""","=""""",,"=""11202.618""","=""60070.17""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.9p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""205.768""","=""0.002""","=""205.7683""","=""0.0006""","=""2a""","=""""",,"=""13245.443""","=""61828.24""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.17p""","=""2P*""","=""1/2,3/2""",,"=""""","=""L4958""",
"=""206.076""","=""0.002""","=""206.0758""","=""0.0009""","=""2a*""","=""""",,"=""13245.443""","=""61755.76""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.16p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""206.076""","=""0.002""","=""206.0760""","=""0.0008""","=""2a*""","=""""",,"=""13245.443""","=""61755.71""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.16p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""206.458""","=""0.002""","=""206.4583""","=""0.0009""","=""2a*""","=""""",,"=""13245.443""","=""61665.90""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.15p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
