obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.08273""","=""0.00006""","=""180.082715""","=""0.000007""","=""3600""","=""1.3e+06""",D,"=""54232.201""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.11284""","=""0.00003""","=""180.112841""","=""0.000008""","=""6000""","=""8.e+06""",E,"=""54273.656""","=""109794.406""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.2050""","=""0.0005""","=""180.205146""","=""0.000007""","=""700""","=""3.9e+06""",D,"=""47626.110""","=""103118.421""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.2170""","=""0.0005""","=""180.217253""","=""0.000007""","=""360d?""","=""2.9e+07""",E,"=""54273.656""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.2766""","=""0.0005""","=""180.276753""","=""0.000019""","=""500""","=""""",,"=""58631.623""","=""114101.892""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(3G).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c143""",
"=""180.3540""","=""0.0002""","=""180.354145""","=""0.000016""","=""2800""","=""6.8e+06""",D+,"=""31483.1979""","=""86929.664""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""180.41653""","=""0.00007""","=""180.416546""","=""0.000007""","=""5000""","=""8.e+06""",D+,"=""46967.4751""","=""102394.764""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).6s""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.46459""","=""0.00010""","=""180.464553""","=""0.000007""","=""3300""","=""6.e+06""",D,"=""47389.809""","=""102802.353""","=""3d6.(5D).4p""","=""z 4P*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.54617""","=""0.00003""","=""180.546142""","=""0.000007""","=""6000""","=""2.6e+07""",E,"=""54232.201""","=""109619.704""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.5716""","=""0.0002""","=""180.571793""","=""0.000013""","=""1200""","=""4.7e+06""",D,"=""31387.9788""","=""86767.614""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""180.7741""","=""0.0005""","=""180.774089""","=""0.000008""","=""3200""","=""""",,"=""7955.3186""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""""","=""L18349c144""",
"=""180.8352""","=""0.0002""","=""180.835386""","=""0.000013""","=""1200""","=""""",,"=""20830.5534""","=""76129.465""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""3/2""",,"=""""","=""L18349c140""",
"=""180.8384""","=""0.0005""","=""180.838422""","=""0.000008""","=""600""","=""4.1e+06""",D,"=""54273.656""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.84493""","=""0.00003""","=""180.844940""","=""0.000008""","=""6000""","=""2.8e+07""",E,"=""54275.649""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.8698""","=""0.0005""","=""180.869757""","=""0.000008""","=""500""","=""""",,"=""54283.236""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""""","=""L18349c143""",
