obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""199.3007""","=""0.0010""","=""199.2997""","=""0.0009""","=""7""","=""1.23e+07""",,"=""179349.2""","=""229524.9""","=""3p5.3d""","=""1D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""199.3714""","=""0.0010""","=""199.3708""","=""0.0006""","=""15""","=""4.16e+06""",,"=""179349.2""","=""229507.0""","=""3p5.3d""","=""1D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""199.4285""","=""0.0010""","=""199.4284""","=""0.0009""","=""25""","=""7.14e+08""",,"=""179349.2""","=""229492.5""","=""3p5.3d""","=""1D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""199.5557""","=""0.0010""","=""199.5562""","=""0.0006""","=""2""","=""4.85e+06""",,"=""179395.8""","=""229507.0""","=""3p5.3d""","=""3D*""","=""3""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""203.4679""","=""0.0010""","=""203.4671""","=""0.0009""","=""5""","=""8.81e+07""",,"=""180392.7""","=""229524.9""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""203.5408""","=""0.0010""","=""203.5413""","=""0.0006""","=""50""","=""1.20e+09""",,"=""180392.7""","=""229507.0""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""203.6014""","=""0.0010""","=""203.6014""","=""0.0009""","=""10""","=""3.89e+05""",,"=""180392.7""","=""229492.5""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""203.7005""","=""0.0010""","=""203.7001""","=""0.0009""","=""45""","=""6.74e+08""",,"=""180448.9""","=""229524.9""","=""3p5.3d""","=""3D*""","=""1""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""204.4832""","=""0.0010""","=""204.4823""","=""0.0006""","=""10""","=""7.49e+07""",,"=""180618.7""","=""229507.0""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""204.5283""","=""0.0010""","=""204.5288""","=""0.0013""","=""40""","=""1.80e+09""",,"=""180618.7""","=""229495.9""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",,"=""T8304""","=""L12188""",
"=""204.5430""","=""0.0010""","=""204.5430""","=""0.0009""","=""15""","=""7.78e+07""",,"=""180618.7""","=""229492.5""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""207.6798""","=""0.0010""","=""207.6802""","=""0.0006""","=""60""","=""9.73e+08""",,"=""179349.2""","=""227484.8""","=""3p5.3d""","=""1D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""207.8694""","=""0.0010""","=""207.8698""","=""0.0006""","=""70""","=""1.85e+09""",,"=""179395.8""","=""227487.5""","=""3p5.3d""","=""3D*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""",,"=""T8304""","=""L12188""",
