obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.0959""","=""0.0006""","=""180.0958""","=""0.0005""","=""2""","=""""",,"=""53597.139""","=""109123.13""","=""3d6""","=""c 3P""","=""2""","=""3d4.(b 3F).4s.4p.(1P*)""","=""u 5F*""","=""3""",,"=""""","=""L562""",
"=""180.104""","=""0.002""","=""180.10330""","=""0.00016""","=""1*""","=""""",,"=""33248.66""","=""88772.35""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""5""",,"=""""","=""L562""",
"=""180.104""","=""0.002""","=""180.10366""","=""0.00019""","=""1*""","=""""",,"=""30684.96""","=""86208.54""","=""3d6""","=""a 3P""","=""1""","=""3d5.(4F).4p""","=""v 3D*""","=""1""",,"=""""","=""L562""",
"=""180.123""","=""0.0015""","=""180.1231""","=""0.0006""","=""10""","=""""",,"=""37848.225""","=""93365.8""","=""3d6""","=""a 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""w 3P*""","=""1""",,"=""""","=""L562""",
"=""180.127""","=""0.0015""","=""180.1276""","=""0.0010""","=""50""","=""""",,"=""55697.014""","=""111213.2""","=""3d4.4s2""","=""c 5D""","=""4""","=""""","=""s 5P*""","=""3""",,"=""""","=""L562""",
"=""180.163""","=""0.0015""","=""180.16298""","=""0.00016""","=""8""","=""""",,"=""30684.96""","=""86190.26""","=""3d6""","=""a 3P""","=""1""","=""3d5.(4F).4p""","=""v 3D*""","=""2""",,"=""""","=""L562""",
"=""180.300""","=""0.0015""","=""180.29841""","=""0.00010""","=""10""","=""""",,"=""55697.014""","=""111160.62""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.(3G).4s.4p.(3P*)""","=""t 5F*""","=""5""",,"=""""","=""L562""",
"=""180.343""","=""0.0015""","=""180.34180""","=""0.00006""","=""20""","=""""",,"=""14781.205""","=""70231.468""","=""3d6""","=""a 5D""","=""2""","=""3d5.(4D).4p""","=""y 5F*""","=""2""",,"=""""","=""L562""",
"=""180.872""","=""0.0015""","=""180.8717""","=""0.0003""","=""40""","=""""",,"=""30523.71""","=""85811.53""","=""3d6""","=""a 3H""","=""6""","=""3d5.(2H).4p""","=""y 3I*""","=""7""",,"=""""","=""L562""",
"=""180.896""","=""0.0015""","=""180.89607""","=""0.00020""","=""40""","=""""",,"=""38901.88""","=""94182.24""","=""3d6""","=""a 1G""","=""4""","=""3d5.(b 2F).4p""","=""w 1F*""","=""3""",,"=""""","=""L562""",
"=""180.943""","=""0.0015""","=""180.94393""","=""0.00016""","=""30""","=""""",,"=""30796.06""","=""86061.80""","=""3d6""","=""a 3H""","=""4""","=""3d5.(a 2F).4p""","=""y 1F*""","=""3""",,"=""""","=""L562""",
"=""180.997""","=""0.0015""","=""180.99693""","=""0.00007""","=""30""","=""""",,"=""14901.203""","=""70150.76""","=""3d6""","=""a 5D""","=""1""","=""3d5.(4D).4p""","=""y 5F*""","=""1""",,"=""""","=""L562""",
"=""181.012""","=""0.0015""","=""181.0134""","=""0.0010""","=""2""","=""""",,"=""37811.88""","=""93056.4""","=""3d6""","=""a 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""w 3P*""","=""0""",,"=""""","=""L562""",
"=""181.189""","=""0.0015""","=""181.18934""","=""0.00007""","=""10""","=""""",,"=""14959.876""","=""70150.76""","=""3d6""","=""a 5D""","=""0""","=""3d5.(4D).4p""","=""y 5F*""","=""1""",,"=""""","=""L562""",
"=""181.204""","=""0.0015""","=""181.20426""","=""0.00023""","=""2""","=""""",,"=""31022.20""","=""86208.54""","=""3d6""","=""a 3P""","=""0""","=""3d5.(4F).4p""","=""v 3D*""","=""1""",,"=""""","=""L562""",
"=""181.303""","=""0.0015""","=""181.30187""","=""0.00016""","=""10""","=""""",,"=""30796.06""","=""85952.69""","=""3d6""","=""a 3H""","=""4""","=""3d5.(4F).4p""","=""3F*""","=""3""",,"=""""","=""L562""",
"=""181.3283""","=""0.0006""","=""181.3283""","=""0.0005""","=""8""","=""""",,"=""54846.269""","=""109994.87""","=""3d4.4s2""","=""c 5D""","=""0""","=""3d4.4s.4p""","=""u 5D*""","=""1""",,"=""""","=""L562""",
"=""181.3866""","=""0.0006""","=""181.3871""","=""0.0003""","=""30""","=""2.6e+08""",D,"=""54938.213""","=""110068.93""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.4s.4p""","=""u 5D*""","=""2""",,"=""c88""","=""L562""",
"=""181.447""","=""0.0015""","=""181.4472""","=""0.0003""","=""25""","=""""",,"=""30523.71""","=""85636.17""","=""3d6""","=""a 3H""","=""6""","=""3d5.(2H).4p""","=""y 3I*""","=""6""",,"=""""","=""L562""",
"=""181.524""","=""0.0015""","=""181.5236""","=""0.0006""","=""40""","=""2.4e+08""",D,"=""55116.333""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.4s.4p""","=""u 5D*""","=""3""",,"=""c88""","=""L562""",
