obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.800""","=""180.8013""","=""150""","=""2.54e+06""",C,"=""0.00""","=""55309.35""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""2D""","=""3/2""",,"=""c22,T6106""","=""L3541""",
"=""181.692""","=""181.6928""","=""200""","=""2.65e+06""",C,"=""287.24""","=""55325.18""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2D""","=""5/2""",,"=""c22,T6106""","=""L3541""",
"=""181.745""","=""181.7451""","=""10""","=""3.23e+05""",C,"=""287.24""","=""55309.35""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2D""","=""3/2""",,"=""c22,T6106""","=""L3541""",
"=""186.932""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""187.023""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""190.246""","=""""","=""100w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""191.062""","=""""","=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""194.167""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""194.459""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""194.933""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""194.956""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""200.416""","=""""","=""4.76e+06""",D,"=""76665.35""","=""126545.4""","=""3s.3p2""","=""2S""","=""1/2""","=""3s2.10p""","=""2P*""","=""1/2""",,"=""T6868""","=""""",
"=""""","=""200.495""","=""""","=""4.75e+06""",D,"=""76665.35""","=""126525.8""","=""3s.3p2""","=""2S""","=""1/2""","=""3s2.10p""","=""2P*""","=""3/2""",,"=""T6868""","=""""",
"=""""","=""201.492""","=""""","=""3.31e+07""",D+,"=""76665.35""","=""126279.0""","=""3s.3p2""","=""2S""","=""1/2""","=""3s.3p.(3P*).3d""","=""2P*""","=""1/2""",,"=""T6868""","=""""",
"=""""","=""201.666""","=""""","=""3.39e+07""",C,"=""76665.35""","=""126236.4""","=""3s.3p2""","=""2S""","=""1/2""","=""3s.3p.(3P*).3d""","=""2P*""","=""3/2""",,"=""T6868""","=""""",
"=""205.865""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""205.901""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""""","=""206.2207""","=""""","=""4.60e+06""",D,"=""65500.47""","=""113976.72""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.6p""","=""2P*""","=""3/2""",,"=""T6868""","=""""",
"=""""","=""206.2830""","=""""","=""4.59e+06""",D,"=""65500.47""","=""113962.08""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.6p""","=""2P*""","=""1/2""",,"=""T6868""","=""""",
"=""207.202""","=""207.2015""","=""200""","=""9.6e+07""",D,"=""55309.35""","=""103556.16""","=""3s.3p2""","=""2D""","=""3/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""L3541""",
"=""""","=""207.2695""","=""""","=""6.8e+06""",E,"=""55325.18""","=""103556.16""","=""3s.3p2""","=""2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""""",
"=""207.270""","=""207.2700""","=""200""","=""1.0e+08""",D,"=""55325.18""","=""103556.03""","=""3s.3p2""","=""2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""7/2""",,"=""T6527c4,LS""","=""L3541""",
"=""213.399""","=""""","=""10w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""213.640""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""213.656""","=""""","=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""""","=""222.5248""","=""""","=""2.44e+07""",C,"=""76665.35""","=""121590.19""","=""3s.3p2""","=""2S""","=""1/2""","=""3s.3p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T6868""","=""""",
"=""""","=""223.2507""","=""""","=""2.41e+07""",D+,"=""76665.35""","=""121444.12""","=""3s.3p2""","=""2S""","=""1/2""","=""3s.3p.(3P*).4s""","=""2P*""","=""1/2""",,"=""T6868""","=""""",
"=""""","=""230.853""","=""""","=""4.02e+06""",E,"=""81191.34""","=""124495.7""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.8d""","=""2D""","=""3/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""231.173""","=""""","=""7.65e+06""",E,"=""81251.32""","=""124495.7""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.8d""","=""2D""","=""3/2""",,"=""T7166""","=""""",
"=""""","=""231.173""","=""""","=""5.01e+07""",D+,"=""81251.32""","=""124495.7""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.8d""","=""2D""","=""5/2""",,"=""T7166""","=""""",
"=""""","=""232.8517""","=""""","=""2.35e+01""",E,"=""0.00""","=""42932.62""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""4P""","=""3/2""",,"=""c22,T6215,T5958""","=""""",
"=""233.440""","=""233.4407""","=""30""","=""5.51e+03""",D+,"=""0.00""","=""42824.29""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""4P""","=""1/2""",,"=""c22,T6215,T5958""","=""L3541""",
"=""233.461""","=""233.4605""","=""30""","=""2.44e+03""",D+,"=""287.24""","=""43107.91""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""4P""","=""5/2""",,"=""c22,T6215,T5958""","=""L3541""",
"=""234.420""","=""234.4202""","=""10""","=""1.31e+03""",D,"=""287.24""","=""42932.62""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""4P""","=""3/2""",,"=""c22,T6215,T5958""","=""L3541""",
"=""234.954""","=""""","=""10w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""235.017""","=""235.0172""","=""20""","=""4.70e+03""",D+,"=""287.24""","=""42824.29""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""4P""","=""1/2""",,"=""c22,T6215,T5958""","=""L3541""",
"=""235.309""","=""""","=""20w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""235.630""","=""""","=""100w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""235.718""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""235.797""","=""""","=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""236.020""","=""""","=""10w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""236.697""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""237.426""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""""","=""242.7628""","=""""","=""1.36e+01""",C+,"=""42824.29""","=""84004.26""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p2""","=""2P""","=""3/2""",E2,"=""c22""","=""""",
"=""""","=""242.7628""","=""""","=""1.36e-03""",E,"=""42824.29""","=""84004.26""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p2""","=""2P""","=""3/2""",M1,"=""c22""","=""""",
"=""242.845""","=""""","=""10w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
"=""""","=""243.4032""","=""""","=""2.84e-03""",E,"=""42932.62""","=""84004.26""","=""3s.3p2""","=""4P""","=""3/2""","=""3s.3p2""","=""2P""","=""3/2""",M1,"=""c22""","=""""",
"=""""","=""243.9614""","=""""","=""5.22e-03""",E,"=""42824.29""","=""83801.95""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p2""","=""2P""","=""1/2""",M1,"=""c22""","=""""",
"=""""","=""243.9943""","=""""","=""3.47e+07""",D,"=""81191.34""","=""122163.48""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.7d""","=""2D""","=""3/2""",,"=""T7166""","=""""",
"=""""","=""244.3517""","=""""","=""1.07e+07""",D,"=""81251.32""","=""122163.54""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""5/2""",,"=""T7166""","=""""",
"=""""","=""244.3521""","=""""","=""1.79e+06""",E,"=""81251.32""","=""122163.48""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""3/2""",,"=""T7166""","=""""",
"=""""","=""244.4465""","=""""","=""3.56e-03""",D,"=""43107.91""","=""84004.26""","=""3s.3p2""","=""4P""","=""5/2""","=""3s.3p2""","=""2P""","=""3/2""",M1,"=""c22""","=""""",
"=""""","=""244.6081""","=""""","=""3.00e+00""",C,"=""42932.62""","=""83801.95""","=""3s.3p2""","=""4P""","=""3/2""","=""3s.3p2""","=""2P""","=""1/2""",E2,"=""c22""","=""""",
"=""""","=""245.6619""","=""""","=""2.58e+01""",C+,"=""43107.91""","=""83801.95""","=""3s.3p2""","=""4P""","=""5/2""","=""3s.3p2""","=""2P""","=""1/2""",E2,"=""c22""","=""""",
"=""""","=""250.0945""","=""""","=""1.13e+07""",D,"=""79338.50""","=""119311.34""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.6f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""250.1979""","=""""","=""8.07e+05""",E,"=""79355.02""","=""119311.34""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.6f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""250.1988""","=""""","=""1.21e+07""",D+,"=""79355.02""","=""119311.19""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.6f""","=""2F*""","=""7/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""250.3295""","=""""","=""5.48e+06""",E,"=""79338.50""","=""119273.81""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.7p""","=""2P*""","=""3/2""",,"=""T7166""","=""""",
"=""""","=""250.4331""","=""""","=""4.92e+07""",D+,"=""79355.02""","=""119273.81""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.7p""","=""2P*""","=""3/2""",,"=""T7166""","=""""",
"=""""","=""250.5089""","=""""","=""5.36e+07""",D,"=""79338.50""","=""119245.22""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.7p""","=""2P*""","=""1/2""",,"=""T7166""","=""""",
"=""""","=""260.1557""","=""""","=""1.56e+02""",E,"=""42824.29""","=""81251.32""","=""3s.3p2""","=""4P""","=""1/2""","=""3s2.4p""","=""2P*""","=""3/2""",,"=""c22""","=""""",
"=""""","=""260.4421""","=""""","=""1.33e+06""",D,"=""65500.47""","=""103885.25""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.5p""","=""2P*""","=""3/2""",,"=""T6868""","=""""",
"=""""","=""260.5625""","=""""","=""2.51e+02""",E,"=""42824.29""","=""81191.34""","=""3s.3p2""","=""4P""","=""1/2""","=""3s2.4p""","=""2P*""","=""1/2""",,"=""c22""","=""""",
"=""""","=""260.6085""","=""""","=""1.33e+06""",E,"=""65500.47""","=""103860.74""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.5p""","=""2P*""","=""1/2""",,"=""T6868""","=""""",
"=""""","=""260.8913""","=""""","=""2.29e+01""",E,"=""42932.62""","=""81251.32""","=""3s.3p2""","=""4P""","=""3/2""","=""3s2.4p""","=""2P*""","=""3/2""",,"=""c22""","=""""",
"=""""","=""261.3003""","=""""","=""9.22e+02""",E,"=""42932.62""","=""81191.34""","=""3s.3p2""","=""4P""","=""3/2""","=""3s2.4p""","=""2P*""","=""1/2""",,"=""c22""","=""""",
"=""""","=""262.0903""","=""""","=""4.47e+03""",D,"=""43107.91""","=""81251.32""","=""3s.3p2""","=""4P""","=""5/2""","=""3s2.4p""","=""2P*""","=""3/2""",,"=""c22""","=""""",
"=""""","=""264.5538""","=""""","=""8.48e+06""",D,"=""83801.95""","=""121590.19""","=""3s.3p2""","=""2P""","=""1/2""","=""3s.3p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""265.5805""","=""""","=""3.36e+07""",D+,"=""83801.95""","=""121444.12""","=""3s.3p2""","=""2P""","=""1/2""","=""3s.3p.(3P*).4s""","=""2P*""","=""1/2""",,"=""T6527c4,LS""","=""""",
"=""""","=""265.9779""","=""""","=""4.17e+07""",D+,"=""84004.26""","=""121590.19""","=""3s.3p2""","=""2P""","=""3/2""","=""3s.3p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T6527c4,LS""","=""""",
