obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.909""","=""180.91046""","=""50w""","=""6.83e+07""",C,"=""6298.850""","=""61574.814""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",,"=""T5071""","=""L3521""",
"=""""","=""181.3269""","=""""","=""1.04e+06""",E,"=""6298.850""","=""61447.86""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",,"=""T5071""","=""""",
"=""181.407""","=""181.4079""","=""500w""","=""1.15e+08""",C,"=""6298.850""","=""61423.23""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""1F*""","=""3""",,"=""T5071""","=""L3521""",
"=""182.245""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""183.651""","=""183.65100""","=""200""","=""1.31e+07""",D+,"=""77.115""","=""54528.220""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""183.801""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""184.115""","=""184.11521""","=""100w""","=""1.50e+07""",D,"=""0.000""","=""54313.818""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""184.144""","=""184.14489""","=""200""","=""3.67e+07""",D+,"=""223.157""","=""54528.220""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""184.377""","=""184.37699""","=""200""","=""3.35e+07""",D+,"=""77.115""","=""54313.818""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""184.551""","=""184.55202""","=""300""","=""1.68e+08""",C+,"=""0.000""","=""54185.264""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""184.610""","=""184.61116""","=""100""","=""5.68e+07""",E,"=""77.115""","=""54245.020""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",,"=""T8363""","=""L3521""",
"=""184.747""","=""184.74735""","=""400""","=""2.33e+08""",C+,"=""77.115""","=""54205.090""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",,"=""T8363c22""","=""L3521""",
"=""184.814""","=""184.81505""","=""200""","=""1.23e+08""",C+,"=""77.115""","=""54185.264""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""184.874""","=""184.87480""","=""100""","=""3.92e+07""",D+,"=""223.157""","=""54313.818""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""L3521""",
"=""185.067""","=""185.06720""","=""500""","=""3.05e+08""",C+,"=""223.157""","=""54257.582""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",,"=""T8363c22""","=""L3521""",
"=""185.179""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""185.246""","=""185.24716""","=""200""","=""7.40e+07""",C+,"=""223.157""","=""54205.090""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",,"=""T8363c22""","=""L3521""",
"=""185.315""","=""185.31522""","=""50""","=""7.92e+06""",C,"=""223.157""","=""54185.264""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""187.310""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""187.484""","=""187.48424""","=""500w""","=""1.07e+08""",D,"=""6298.850""","=""59636.667""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",,"=""T5071""","=""L3521""",
"=""187.581""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""188.185""","=""188.1854""","=""200""","=""5.00e+06""",D+,"=""223.157""","=""53362.24""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",,"=""T5814""","=""L3521""",
"=""188.770""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""189.06372""","=""""","=""4.45e+00""",D,"=""6298.850""","=""59191.072""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""189.0659""","=""""","=""2.28e-03""",E,"=""6298.850""","=""59190.46""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",E2,"=""T5785""","=""""",
"=""""","=""189.27542""","=""""","=""9.32e+01""",D+,"=""6298.850""","=""59131.912""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""",E2,"=""T5785""","=""""",
"=""189.325""","=""""","=""200w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""189.35075""","=""""","=""4.66e+00""",D,"=""6298.850""","=""59110.892""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""189.35410""","=""""","=""1.09e+02""",D+,"=""6298.850""","=""59109.959""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",E2,"=""T5785""","=""""",
"=""""","=""189.62329""","=""""","=""3.03e+01""",D+,"=""6298.850""","=""59034.988""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",E2,"=""T5785""","=""""",
"=""190.133""","=""190.1338""","=""1000w""","=""1.00e+08""",C,"=""6298.850""","=""58893.40""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",,"=""T5071""","=""L3521""",
"=""190.466""","=""190.46647""","=""50w""","=""4.87e+06""",D,"=""6298.850""","=""58801.529""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1P*""","=""1""",,"=""T5071""","=""L3521""",
"=""""","=""190.51237""","=""""","=""3.40e+01""",D+,"=""6298.850""","=""58788.880""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",E2,"=""T5785""","=""""",
"=""195.497""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""197.75979""","=""""","=""2.79e+07""",B,"=""0.000""","=""50566.397""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3P*""","=""1""",,"=""T5814""","=""""",
