obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""203.60291""","=""0.00017""","=""203.60277""","=""0.00005""","=""00""","=""""",,"=""0.000""","=""49099.463""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3D*""","=""2""",,"=""""","=""L10989""",
"=""203.68215""","=""0.00017""","=""203.68216""","=""0.00007""","=""4""","=""""",,"=""0.000""","=""49080.327""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3D*""","=""1""",,"=""""","=""L10989""",
"=""204.09868""","=""0.00017""","=""204.09861""","=""0.00005""","=""00""","=""""",,"=""170.1328""","=""49150.329""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3D*""","=""3""",,"=""""","=""L10989""",
"=""204.31073""","=""0.00017""","=""204.31082""","=""0.00005""","=""5""","=""""",,"=""170.1328""","=""49099.463""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3D*""","=""2""",,"=""""","=""L10989""",
"=""205.00592""","=""0.00017""","=""205.00590""","=""0.00005""","=""5""","=""""",,"=""386.874""","=""49150.329""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3D*""","=""3""",,"=""""","=""L10989""",
"=""205.67711""","=""0.00017""","=""205.67746""","=""0.00013""","=""0""","=""""",,"=""170.1328""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
"=""205.93997""","=""0.00017""","=""205.93997""","=""0.00008""","=""4""","=""""",,"=""0.000""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""206.05923""","=""0.00017""","=""206.05928""","=""0.00003""","=""5""","=""""",,"=""170.1328""","=""48684.340""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""206.17054""","=""0.00017""","=""206.17073""","=""0.00013""","=""6""","=""""",,"=""386.874""","=""48874.86""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""206.28734""","=""0.00017""","=""206.28730""","=""0.00013""","=""4""","=""""",,"=""0.000""","=""48460.59""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3F*""","=""2""",,"=""""","=""L10989""",
"=""206.29143""","=""0.00017""","=""206.29178""","=""0.00017""","=""4""","=""""",,"=""170.1328""","=""48629.67""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
"=""206.59877""","=""0.00017""","=""206.59887""","=""0.00013""","=""7""","=""""",,"=""386.874""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
"=""206.66438""","=""0.00017""","=""206.66439""","=""0.00009""","=""4""","=""""",,"=""170.1328""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
