obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""204.092""","=""0.003""","=""""","=""""","=""120000B""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L736""",
"=""204.492""","=""0.003""","=""""","=""""","=""12000w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L736""",
"=""204.8421""","=""0.0004""","=""""","=""""","=""23000w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L736""",
"=""204.8960""","=""0.0004""","=""""","=""""","=""12000w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L736""",
"=""205.286""","=""0.015""","=""""","=""""","=""90000B""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L736""",
"=""207.013""","=""0.003""","=""207.0131""","=""0.0021""","=""550000B""","=""""",,"=""32501.3990""","=""80792.1""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4p2""","=""3P""","=""2""",,"=""""","=""L736""",
"=""207.90811""","=""0.00010""","=""207.90808""","=""0.00006""","=""460000r""","=""""",,"=""32311.3176""","=""80394.173""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4p2""","=""3P""","=""1""",,"=""""","=""L736""",
"=""208.695""","=""0.003""","=""208.6941""","=""0.0022""","=""1600000B""","=""""",,"=""32890.3267""","=""80792.1""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4p2""","=""3P""","=""2""",,"=""""","=""L736""",
"=""208.73332""","=""0.00010""","=""208.73335""","=""0.00006""","=""340000r""","=""""",,"=""32501.3990""","=""80394.173""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4p2""","=""3P""","=""1""",,"=""""","=""L736""",
"=""209.69300""","=""0.00010""","=""209.69300""","=""0.00010""","=""460000r""","=""""",,"=""32501.3990""","=""80175.022""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4p2""","=""3P""","=""0""",,"=""""","=""L736""",
"=""210.44253""","=""0.00010""","=""210.44253""","=""0.00006""","=""540000r""","=""""",,"=""32890.3267""","=""80394.173""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4p2""","=""3P""","=""1""",,"=""""","=""L736""",
"=""213.857351""","=""0.000010""","=""213.857354""","=""0.000009""","=""80000000r""","=""7.14e+08""",A,"=""0.0000""","=""46745.4032""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.4s.4p""","=""1P*""","=""1""",,"=""T7574""","=""L9761""",
"=""233.5760""","=""0.0011""","=""233.5758""","=""0.0007""","=""""","=""""",,"=""32311.3176""","=""75110.84""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.14d""","=""3D""","=""1""",,"=""""","=""L8903""",
"=""234.2070""","=""0.0011""","=""234.2069""","=""0.0008""","=""""","=""""",,"=""32311.3176""","=""74995.53""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.13d""","=""3D""","=""1""",,"=""""","=""L8903""",
"=""234.6176""","=""0.0011""","=""234.6176""","=""0.0007""","=""""","=""""",,"=""32501.3990""","=""75110.90""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.14d""","=""3D""","=""2""",,"=""""","=""L8903""",
"=""235.0230""","=""0.0011""","=""235.0233""","=""0.0011""","=""""","=""""",,"=""32311.3176""","=""74847.27""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.12d""","=""3D""","=""1""",,"=""""","=""L8903""",
"=""236.096""","=""0.008""","=""236.0780""","=""0.0012""","=""""","=""""",,"=""32501.3990""","=""74847.34""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.12d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""236.1094""","=""0.0011""","=""236.1096""","=""0.0011""","=""""","=""""",,"=""32311.3176""","=""74651.58""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.11d""","=""3D""","=""1""",,"=""""","=""L8903,L3428""",
"=""236.7783""","=""0.0011""","=""236.7785""","=""0.0007""","=""""","=""""",,"=""32890.3267""","=""75111.00""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.14d""","=""3D""","=""3""",,"=""""","=""L8903,L3428""",
"=""237.178""","=""0.006""","=""237.1739""","=""0.0012""","=""""","=""""",,"=""32501.3990""","=""74651.68""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.11d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""237.4267""","=""0.0011""","=""237.4268""","=""0.0008""","=""""","=""""",,"=""32890.3267""","=""74995.72""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.13d""","=""3D""","=""3""",,"=""""","=""L8903,L3428""",
"=""237.5977""","=""0.0011""","=""237.5977""","=""0.0011""","=""""","=""""",,"=""32311.3176""","=""74386.42""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.10d""","=""3D""","=""1""",,"=""""","=""L8903,L3428""",
"=""238.22""","=""0.05""","=""238.2655""","=""0.0012""","=""""","=""""",,"=""32890.3267""","=""74847.52""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.12d""","=""3D""","=""3""",,"=""""","=""L3428""",
"=""238.680""","=""0.006""","=""238.6752""","=""0.0012""","=""""","=""""",,"=""32501.3990""","=""74386.57""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.10d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""238.830""","=""0.006""","=""238.832""","=""0.003""","=""""","=""""",,"=""32311.3176""","=""74169.0""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.11s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""239.385""","=""0.006""","=""239.3816""","=""0.0012""","=""""","=""""",,"=""32890.3267""","=""74651.91""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.11d""","=""3D""","=""3""",,"=""""","=""L3428""",
"=""239.490""","=""0.020""","=""239.49269""","=""0.00013""","=""*""","=""""",,"=""32311.3176""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""4""",HF,"=""""","=""L18491""",
"=""239.490""","=""0.020""","=""239.49269""","=""0.00013""","=""*""","=""""",,"=""32311.3176""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""239.575""","=""0.015""","=""239.568""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8g""","=""3G""","=""3""",HF,"=""""","=""L18491""",
"=""239.575""","=""0.015""","=""239.568""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""239.575""","=""0.015""","=""239.568""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""239.715""","=""0.006""","=""239.711""","=""0.003""","=""""","=""""",,"=""32311.3176""","=""74015.5""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.9d""","=""3D""","=""1""",,"=""""","=""L3428""",
"=""239.923""","=""0.006""","=""239.922""","=""0.003""","=""""","=""""",,"=""32501.3990""","=""74169.0""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.11s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""240.282""","=""0.006""","=""240.282""","=""0.006""","=""""","=""""",,"=""32890.3267""","=""74495.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.12s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""240.520""","=""0.020""","=""240.522""","=""0.017""","=""*""","=""""",,"=""32501.3990""","=""74065""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8i""","=""(1/2,11/2)""","=""5""",HF,"=""""","=""L18491""",
"=""240.520""","=""0.020""","=""240.522""","=""0.017""","=""*""","=""""",,"=""32501.3990""","=""74065""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8i""","=""(1/2,11/2)""","=""6""",HF,"=""""","=""L18491""",
"=""240.590""","=""0.020""","=""240.58834""","=""0.00013""","=""*""","=""""",,"=""32501.3990""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""4""",HF,"=""""","=""L18491""",
