Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
200.11,2.251e-5,,,2.251e-5
200.16,2.155e-5,,,2.155e-5
200.21,1.892e-5,,,1.892e-5
200.26,1.543e-5,,,1.543e-5
200.31,1.182e-5,,,1.182e-5
200.36,8.561e-6,,,8.561e-6
200.41,5.837e-6,,,5.837e-6
200.46,3.708e-6,,,3.708e-6
200.51,2.167e-6,,,2.167e-6
200.56,1.150e-6,,,1.150e-6
200.61,5.485e-7,,,5.485e-7
200.66,2.338e-7,,,2.338e-7
200.72,7.192e-8,,,7.192e-8
200.77,2.359e-8,,,2.359e-8
200.82,6.844e-9,,,6.844e-9
200.87,1.756e-9,,,1.756e-9
200.92,3.980e-10,,,3.980e-10
200.97,7.972e-11,,,7.972e-11
201.02,1.447e-11,,,1.447e-11
201.07,5.069e-12,,,5.069e-12
201.12,1.952e-11,,,1.952e-11
201.17,1.139e-10,,,1.139e-10
201.22,5.968e-10,,,5.968e-10
201.27,2.766e-9,,,2.766e-9
201.32,1.134e-8,,,1.134e-8
201.37,4.113e-8,,,4.113e-8
201.42,1.319e-7,,,1.319e-7
201.47,3.744e-7,,,3.744e-7
201.52,9.396e-7,,,9.396e-7
201.57,2.086e-6,,,2.086e-6
201.62,4.096e-6,,,4.096e-6
201.67,7.115e-6,,,7.115e-6
201.72,1.093e-5,,,1.093e-5
201.77,1.486e-5,,,1.486e-5
201.82,1.786e-5,,,1.786e-5
201.87,1.899e-5,,,1.899e-5
201.92,1.786e-5,,,1.786e-5
201.97,1.486e-5,,,1.486e-5
202.02,1.093e-5,,,1.093e-5
202.07,7.130e-6,,,7.130e-6
202.12,4.149e-6,,,4.149e-6
202.17,2.251e-6,,,2.251e-6
202.22,1.395e-6,,,1.395e-6
202.27,1.489e-6,,,1.489e-6
202.32,2.545e-6,,,2.545e-6
202.37,4.672e-6,,,4.672e-6
202.42,7.885e-6,,,7.885e-6
202.47,1.186e-5,,,1.186e-5
202.52,1.583e-5,,,1.583e-5
202.57,1.873e-5,,,1.873e-5
202.62,1.964e-5,,,1.964e-5
202.67,1.826e-5,,,1.826e-5
202.72,1.505e-5,,,1.505e-5
202.77,1.101e-5,,,1.101e-5
202.82,7.178e-6,,,7.178e-6
202.87,4.268e-6,,,4.268e-6
202.92,2.593e-6,,,2.593e-6
202.97,2.257e-6,,,2.257e-6
203.02,3.402e-6,,,3.402e-6
203.07,6.304e-6,,,6.304e-6
203.12,1.120e-5,,,1.120e-5
203.17,1.789e-5,,,1.789e-5
203.22,2.540e-5,,,2.540e-5
203.27,3.195e-5,,,3.195e-5
203.32,3.563e-5,,,3.563e-5
203.37,3.520e-5,,,3.520e-5
203.42,3.082e-5,,,3.082e-5
203.47,2.393e-5,,,2.393e-5
203.52,1.657e-5,,,1.657e-5
203.57,1.059e-5,,,1.059e-5
203.62,7.605e-6,,,7.605e-6
203.67,9.988e-6,,,9.988e-6
203.72,2.316e-5,,,2.316e-5
203.77,5.871e-5,,,5.871e-5
203.82,1.368e-4,,,1.368e-4
203.87,2.841e-4,,,2.841e-4
203.92,5.237e-4,,,5.237e-4
203.97,8.564e-4,,,8.564e-4
204.02,1.242e-3,,,1.242e-3
204.07,1.598e-3,,,1.598e-3
204.12,1.824e-3,,,1.824e-3
204.17,1.846e-3,,,1.846e-3
204.22,1.658e-3,,,1.658e-3
204.27,1.322e-3,,,1.322e-3
204.32,9.366e-4,,,9.366e-4
204.37,5.927e-4,,,5.927e-4
204.42,3.392e-4,,,3.392e-4
204.47,1.817e-4,,,1.817e-4
204.52,9.851e-5,,,9.851e-5
204.57,6.079e-5,,,6.079e-5
204.62,4.501e-5,,,4.501e-5
204.67,3.697e-5,,,3.697e-5
204.72,3.025e-5,,,3.025e-5
204.77,2.322e-5,,,2.322e-5
204.82,1.632e-5,,,1.632e-5
204.87,1.041e-5,,,1.041e-5
204.92,6.001e-6,,,6.001e-6
204.97,3.120e-6,,,3.120e-6
205.02,1.460e-6,,,1.460e-6
205.07,6.140e-7,,,6.140e-7
205.12,2.316e-7,,,2.316e-7
205.17,7.823e-8,,,7.823e-8
205.22,2.364e-8,,,2.364e-8
205.27,6.379e-9,,,6.379e-9
205.32,1.537e-9,,,1.537e-9
205.37,3.303e-10,,,3.303e-10
205.42,6.445e-11,,,6.445e-11
205.47,1.844e-11,,,1.844e-11
205.52,4.378e-11,,,4.378e-11
205.57,2.063e-10,,,2.063e-10
205.62,8.961e-10,,,8.961e-10
205.67,3.464e-9,,,3.464e-9
205.72,1.191e-8,,,1.191e-8
205.77,3.638e-8,,,3.638e-8
205.82,9.883e-8,,,9.883e-8
205.87,2.387e-7,,,2.387e-7
