s,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
200.11,3.926e-8,,3.926e-8
200.16,6.959e-7,,6.959e-7
200.21,1.090e-5,,1.090e-5
200.26,1.510e-4,,1.510e-4
200.31,1.849e-3,,1.849e-3
200.36,2.000e-2,,2.000e-2
200.41,1.913e-1,,1.913e-1
200.46,1.618e+0,,1.618e+0
200.51,1.209e+1,,1.209e+1
200.56,7.986e+1,,7.986e+1
200.61,4.663e+2,,4.663e+2
200.66,2.407e+3,,2.407e+3
200.72,1.466e+4,,1.466e+4
200.77,5.773e+4,,5.773e+4
200.82,2.010e+5,,2.010e+5
200.87,6.194e+5,,6.194e+5
200.92,1.691e+6,,1.691e+6
200.97,4.098e+6,,4.098e+6
201.02,8.847e+6,,8.847e+6
201.07,1.713e+7,,1.713e+7
201.12,3.006e+7,,3.006e+7
201.17,4.866e+7,,4.866e+7
201.22,7.434e+7,8.751e-8,7.434e+7
201.27,1.097e+8,1.577e-6,1.097e+8
201.32,1.581e+8,2.516e-5,1.581e+8
201.37,2.215e+8,3.553e-4,2.215e+8
201.42,2.953e+8,4.441e-3,2.953e+8
201.47,3.659e+8,4.914e-2,3.659e+8
201.52,4.133e+8,4.812e-1,4.133e+8
201.57,4.200e+8,4.171e+0,4.200e+8
201.62,3.811e+8,3.200e+1,3.811e+8
201.67,3.074e+8,2.173e+2,3.074e+8
201.72,2.198e+8,1.306e+3,2.198e+8
201.77,1.392e+8,6.950e+3,1.392e+8
201.82,7.800e+7,3.273e+4,7.797e+7
201.87,3.881e+7,1.364e+5,3.867e+7
201.92,1.758e+7,5.034e+5,1.708e+7
201.97,8.831e+6,1.644e+6,7.187e+6
202.02,9.410e+6,4.753e+6,4.657e+6
202.07,2.109e+7,1.216e+7,8.926e+6
202.12,5.272e+7,2.754e+7,2.517e+7
202.17,1.223e+8,5.521e+7,6.712e+7
202.22,2.573e+8,9.797e+7,1.594e+8
202.27,4.891e+8,1.539e+8,3.352e+8
202.32,8.380e+8,2.139e+8,6.241e+8
202.37,1.292e+9,2.632e+8,1.029e+9
202.42,1.788e+9,2.867e+8,1.502e+9
202.47,2.217e+9,2.764e+8,1.941e+9
202.52,2.457e+9,2.358e+8,2.221e+9
202.57,2.428e+9,1.781e+8,2.250e+9
202.62,2.139e+9,1.191e+8,2.020e+9
202.67,1.677e+9,7.047e+7,1.607e+9
202.72,1.172e+9,3.691e+7,1.135e+9
202.77,7.318e+8,1.711e+7,7.147e+8
202.82,4.145e+8,7.023e+6,4.075e+8
202.87,2.231e+8,2.551e+6,2.205e+8
202.92,1.287e+8,8.201e+5,1.279e+8
202.97,9.449e+7,2.334e+5,9.425e+7
203.02,9.027e+7,5.879e+4,9.021e+7
203.07,9.935e+7,1.311e+4,9.934e+7
203.12,1.229e+8,2.587e+3,1.229e+8
203.17,1.878e+8,4.519e+2,1.878e+8
203.22,3.587e+8,6.987e+1,3.587e+8
203.27,7.494e+8,9.562e+0,7.494e+8
