Wavelength (nm),Sum,Fe I (6.3e-01),Fe II (3.7e-01),Fe III (5.1e-07)
200.1,1.593e+6,,1.593e+6,2.186e-3
200.2,1.343e+6,,1.343e+6,2.927e-3
200.3,1.028e+6,,1.028e+6,3.648e-3
200.4,7.499e+5,,7.499e+5,4.238e-3
200.5,5.791e+5,,5.791e+5,4.593e-3
200.6,5.439e+5,,5.439e+5,4.653e-3
200.7,6.356e+5,,6.356e+5,4.411e-3
200.8,8.218e+5,,8.218e+5,3.916e-3
200.9,1.055e+6,,1.055e+6,3.256e-3
201,1.285e+6,,1.285e+6,2.546e-3
201.1,1.470e+6,,1.470e+6,1.889e-3
201.2,1.594e+6,,1.594e+6,1.356e-3
201.3,1.671e+6,,1.671e+6,9.658e-4
201.4,1.737e+6,,1.737e+6,7.004e-4
201.5,1.829e+6,,1.829e+6,5.230e-4
201.6,1.967e+6,,1.967e+6,4.002e-4
201.7,2.138e+6,,2.138e+6,3.107e-4
201.8,2.293e+6,,2.293e+6,2.448e-4
201.9,2.364e+6,,2.364e+6,2.001e-4
202,2.288e+6,,2.288e+6,1.768e-4
202.1,2.046e+6,,2.046e+6,1.750e-4
202.2,1.671e+6,,1.671e+6,1.923e-4
202.3,1.243e+6,,1.243e+6,2.221e-4
202.4,8.472e+5,,8.472e+5,2.538e-4
202.5,5.511e+5,,5.511e+5,2.757e-4
202.6,3.896e+5,,3.896e+5,2.791e-4
202.7,3.689e+5,,3.689e+5,2.638e-4
202.8,4.734e+5,,4.734e+5,2.394e-4
202.9,6.697e+5,,6.697e+5,2.240e-4
203,9.073e+5,,9.073e+5,2.391e-4
203.1,1.127e+6,,1.127e+6,3.041e-4
203.2,1.278e+6,,1.278e+6,4.300e-4
203.3,1.341e+6,,1.341e+6,6.142e-4
203.4,1.339e+6,,1.339e+6,8.379e-4
203.5,1.325e+6,,1.325e+6,1.068e-3
203.6,1.361e+6,,1.361e+6,1.268e-3
203.7,1.490e+6,,1.490e+6,1.407e-3
203.8,1.711e+6,,1.711e+6,1.476e-3
203.9,1.964e+6,,1.964e+6,1.485e-3
204,2.153e+6,,2.153e+6,1.463e-3
204.1,2.182e+6,,2.182e+6,1.438e-3
204.2,2.010e+6,,2.010e+6,1.427e-3
204.3,1.675e+6,,1.675e+6,1.424e-3
204.4,1.280e+6,,1.280e+6,1.403e-3
204.5,9.411e+5,,9.411e+5,1.339e-3
204.6,7.482e+5,,7.482e+5,1.222e-3
204.7,7.333e+5,,7.333e+5,1.063e-3
204.8,8.717e+5,,8.717e+5,8.933e-4
204.9,1.096e+6,,1.096e+6,7.569e-4
