Wavelength (nm),Sum,Mg I (7.9e-03),Mg II (7.2e-01),Mg III (2.7e-01)
200.11,2.131e-9,,,2.131e-9
200.16,5.155e-9,,,5.155e-9
200.21,1.101e-8,,,1.101e-8
200.26,2.076e-8,,,2.076e-8
200.31,3.458e-8,,,3.458e-8
200.36,5.085e-8,,,5.085e-8
200.41,6.603e-8,,,6.603e-8
200.46,7.571e-8,,,7.571e-8
200.51,7.666e-8,,,7.666e-8
200.56,6.854e-8,,,6.854e-8
200.61,5.411e-8,,,5.411e-8
200.66,3.773e-8,,,3.773e-8
200.72,2.076e-8,,,2.076e-8
200.77,1.101e-8,,,1.101e-8
200.82,5.155e-9,,,5.155e-9
200.87,2.131e-9,,,2.131e-9
200.92,7.782e-10,,,7.782e-10
200.97,2.509e-10,,,2.509e-10
201.02,7.142e-11,,,7.142e-11
201.07,1.795e-11,,,1.795e-11
201.12,3.985e-12,,,3.985e-12
201.17,7.812e-13,,,7.812e-13
201.22,1.352e-13,,,1.352e-13
201.27,2.067e-14,,,2.067e-14
201.32,2.789e-15,,,2.789e-15
201.37,9.436e-8,9.436e-8,,3.324e-16
201.42,1.694e-6,1.694e-6,,3.498e-17
201.47,2.691e-5,2.691e-5,,3.251e-18
201.52,3.785e-4,3.785e-4,,2.668e-19
201.57,4.714e-3,4.714e-3,,1.933e-20
201.62,5.197e-2,5.197e-2,,1.237e-21
201.67,5.072e-1,5.072e-1,,6.988e-23
201.72,4.382e+0,4.382e+0,,
201.77,3.352e+1,3.352e+1,,
201.82,2.270e+2,2.270e+2,,
201.87,1.361e+3,1.361e+3,,
201.92,7.223e+3,7.223e+3,,
201.97,3.394e+4,3.394e+4,,
202.02,1.412e+5,1.412e+5,,
202.07,5.199e+5,5.199e+5,,
202.12,1.695e+6,1.695e+6,,
202.17,4.892e+6,4.892e+6,,
202.22,1.250e+7,1.250e+7,,
202.27,2.828e+7,2.828e+7,,
202.32,5.663e+7,5.663e+7,,
202.37,1.004e+8,1.004e+8,,
202.42,1.576e+8,1.576e+8,,
202.47,2.189e+8,2.189e+8,,
202.52,2.693e+8,2.693e+8,,
202.57,2.933e+8,2.933e+8,,
202.62,2.828e+8,2.828e+8,,
202.67,2.414e+8,2.414e+8,,
202.72,1.824e+8,1.824e+8,,1.002e-22
202.77,1.220e+8,1.220e+8,,1.815e-21
202.82,7.225e+7,7.225e+7,,2.916e-20
202.87,3.788e+7,3.788e+7,,4.153e-19
202.92,1.758e+7,1.758e+7,,5.246e-18
202.97,7.224e+6,7.224e+6,,5.876e-17
203.02,2.628e+6,2.628e+6,,5.837e-16
203.07,8.464e+5,8.464e+5,,5.141e-15
203.12,2.413e+5,2.413e+5,,4.015e-14
203.17,6.091e+4,6.091e+4,,2.780e-13
203.22,1.361e+4,1.361e+4,,1.708e-12
203.27,2.692e+3,2.692e+3,,9.298e-12
203.32,4.715e+2,4.715e+2,,4.490e-11
203.37,7.311e+1,7.311e+1,,1.923e-10
203.42,1.003e+1,1.003e+1,,7.300e-10
203.47,1.219e+0,1.219e+0,,2.458e-9
203.52,1.312e-1,1.312e-1,,7.339e-9
203.57,1.249e-2,1.249e-2,,1.943e-8
203.62,1.053e-3,1.053e-3,,4.561e-8
203.67,7.871e-5,7.862e-5,,9.495e-8
203.72,5.370e-6,5.195e-6,,1.753e-7
203.77,5.908e-7,3.039e-7,,2.869e-7
203.82,4.322e-7,1.574e-8,,4.165e-7
203.87,5.361e-7,,,5.361e-7
203.92,6.118e-7,,,6.118e-7
203.97,6.192e-7,,,6.192e-7
204.02,5.558e-7,,,5.558e-7
204.07,4.423e-7,,,4.423e-7
204.12,3.121e-7,,,3.121e-7
204.17,1.953e-7,,,1.953e-7
204.22,1.084e-7,,,1.084e-7
204.27,5.333e-8,,,5.333e-8
204.32,2.327e-8,,,2.327e-8
204.37,9.002e-9,,,9.002e-9
204.42,3.089e-9,,,3.089e-9
204.47,9.396e-10,,,9.396e-10
204.52,2.535e-10,,,2.535e-10
204.57,6.064e-11,,,6.064e-11
204.62,1.286e-11,,,1.286e-11
204.67,2.425e-12,,,2.425e-12
204.72,4.467e-13,,,4.467e-13
204.77,3.495e-13,,,3.495e-13
204.82,1.738e-12,,,1.738e-12
204.87,9.180e-12,,,9.180e-12
204.92,4.326e-11,,,4.326e-11
204.97,1.811e-10,,,1.811e-10
205.02,6.737e-10,,,6.737e-10
205.07,2.226e-9,,,2.226e-9
205.12,6.535e-9,,,6.535e-9
205.17,1.704e-8,,,1.704e-8
205.22,3.949e-8,,,3.949e-8
205.27,8.128e-8,,,8.128e-8
205.32,1.486e-7,,,1.486e-7
205.37,2.414e-7,,,2.414e-7
205.42,3.485e-7,,,3.485e-7
205.47,4.468e-7,,,4.468e-7
205.52,5.089e-7,,,5.089e-7
205.57,5.149e-7,,,5.149e-7
205.62,4.629e-7,,,4.629e-7
205.67,3.697e-7,,,3.697e-7
205.72,2.623e-7,,,2.623e-7
205.77,1.653e-7,,,1.653e-7
205.82,9.264e-8,,,9.264e-8
205.87,4.636e-8,,,4.636e-8
205.92,2.157e-8,,,2.157e-8
205.97,1.235e-8,,,1.235e-8
206.02,1.669e-8,,,1.669e-8
206.07,4.035e-8,,,4.035e-8
206.12,9.994e-8,,,9.994e-8
206.17,2.240e-7,,,2.240e-7
206.22,4.473e-7,,,4.473e-7
206.27,7.946e-7,,,7.946e-7
206.32,1.255e-6,,,1.255e-6
206.37,1.764e-6,,,1.764e-6
206.42,2.204e-6,,,2.204e-6
