Wavelength (nm),Sum,Mg I (4.9e-01),Mg II (5.1e-01),Mg III (4.2e-06)
200.11,4.318e-31,,,4.318e-31
200.16,1.044e-30,,,1.044e-30
200.21,2.230e-30,,,2.230e-30
200.26,4.206e-30,,,4.206e-30
200.31,7.005e-30,,,7.005e-30
200.36,1.030e-29,,,1.030e-29
200.41,1.338e-29,,,1.338e-29
200.46,1.534e-29,,,1.534e-29
200.51,1.553e-29,,,1.553e-29
200.56,1.388e-29,,,1.388e-29
200.61,1.096e-29,,,1.096e-29
200.66,7.642e-30,,,7.642e-30
200.72,4.206e-30,,,4.206e-30
200.77,2.230e-30,,,2.230e-30
200.82,1.044e-30,,,1.044e-30
200.87,4.318e-31,,,4.318e-31
200.92,1.576e-31,,,1.576e-31
200.97,5.082e-32,,,5.082e-32
201.02,1.447e-32,,,1.447e-32
201.07,3.637e-33,,,3.637e-33
201.12,8.073e-34,,,8.073e-34
201.17,1.582e-34,,,1.582e-34
201.22,2.739e-35,,,2.739e-35
201.27,4.186e-36,,,4.186e-36
201.32,5.650e-37,,,5.650e-37
201.37,5.157e-7,5.157e-7,,6.734e-38
201.42,9.255e-6,9.255e-6,,7.086e-39
201.47,1.471e-4,1.471e-4,,6.585e-40
201.52,2.069e-3,2.069e-3,,5.404e-41
201.57,2.576e-2,2.576e-2,,3.915e-42
201.62,2.840e-1,2.840e-1,,2.505e-43
201.67,2.772e+0,2.772e+0,,1.415e-44
201.72,2.395e+1,2.395e+1,,
201.77,1.832e+2,1.832e+2,,
201.82,1.241e+3,1.241e+3,,
201.87,7.437e+3,7.437e+3,,
201.92,3.947e+4,3.947e+4,,
201.97,1.855e+5,1.855e+5,,
202.02,7.715e+5,7.715e+5,,
202.07,2.841e+6,2.841e+6,,
202.12,9.263e+6,9.263e+6,,
202.17,2.673e+7,2.673e+7,,
202.22,6.831e+7,6.831e+7,,
202.27,1.545e+8,1.545e+8,,
202.32,3.094e+8,3.094e+8,,
202.37,5.486e+8,5.486e+8,,
202.42,8.611e+8,8.611e+8,,
202.47,1.196e+9,1.196e+9,,
202.52,1.472e+9,1.472e+9,,
202.57,1.603e+9,1.603e+9,,
202.62,1.545e+9,1.545e+9,,
202.67,1.319e+9,1.319e+9,,
202.72,9.966e+8,9.966e+8,,2.175e-44
202.77,6.667e+8,6.667e+8,,3.940e-43
202.82,3.948e+8,3.948e+8,,6.330e-42
202.87,2.070e+8,2.070e+8,,9.017e-41
202.92,9.608e+7,9.608e+7,,1.139e-39
202.97,3.948e+7,3.948e+7,,1.276e-38
203.02,1.436e+7,1.436e+7,,1.267e-37
203.07,4.625e+6,4.625e+6,,1.116e-36
203.12,1.319e+6,1.319e+6,,8.716e-36
203.17,3.328e+5,3.328e+5,,6.037e-35
203.22,7.438e+4,7.438e+4,,3.707e-34
203.27,1.471e+4,1.471e+4,,2.019e-33
203.32,2.577e+3,2.577e+3,,9.748e-33
203.37,3.995e+2,3.995e+2,,4.174e-32
203.42,5.484e+1,5.484e+1,,1.585e-31
203.47,6.663e+0,6.663e+0,,5.336e-31
203.52,7.168e-1,7.168e-1,,1.593e-30
