Wavelength (nm),Sum,Na I (1.2e-01),Na II (8.8e-01),Na III (7.9e-25)
200.11,9.256e-46,,,9.256e-46
200.16,2.410e-45,,,2.410e-45
200.21,5.543e-45,,,5.543e-45
200.26,1.126e-44,,,1.126e-44
200.31,2.019e-44,,,2.019e-44
200.36,3.199e-44,,,3.199e-44
200.41,4.475e-44,,,4.475e-44
200.46,5.528e-44,,,5.528e-44
200.51,6.030e-44,,,6.030e-44
200.56,5.809e-44,,,5.809e-44
200.61,4.942e-44,,,4.942e-44
200.66,3.714e-44,,,3.714e-44
200.72,2.237e-44,,,2.237e-44
200.77,1.280e-44,,,1.280e-44
200.82,6.482e-45,,,6.482e-45
200.87,2.919e-45,,,2.919e-45
200.92,1.191e-45,,,1.191e-45
200.97,4.763e-46,,,4.763e-46
201.02,2.365e-46,,,2.365e-46
201.07,1.867e-46,,,1.867e-46
201.12,1.962e-46,,,1.962e-46
201.17,2.091e-46,,,2.091e-46
201.22,2.039e-46,,,2.039e-46
201.27,1.774e-46,,,1.774e-46
201.32,1.368e-46,,,1.368e-46
201.37,9.347e-47,,,9.347e-47
201.42,5.658e-47,,,5.658e-47
201.47,3.045e-47,,,3.045e-47
201.52,1.471e-47,,,1.471e-47
201.57,6.569e-48,,,6.569e-48
201.62,2.930e-48,,,2.930e-48
201.67,1.526e-48,,,1.526e-48
201.72,1.073e-48,,,1.073e-48
201.77,1.038e-48,,,1.038e-48
201.82,1.352e-48,,,1.352e-48
201.87,2.217e-48,,,2.217e-48
201.92,3.982e-48,,,3.982e-48
201.97,7.000e-48,,,7.000e-48
202.02,1.144e-47,,,1.144e-47
202.07,1.703e-47,,,1.703e-47
202.12,2.297e-47,,,2.297e-47
202.17,2.799e-47,,,2.799e-47
202.22,3.075e-47,,,3.075e-47
202.27,3.045e-47,,,3.045e-47
202.32,2.720e-47,,,2.720e-47
202.37,2.207e-47,,,2.207e-47
202.42,1.673e-47,,,1.673e-47
202.47,1.310e-47,,,1.310e-47
202.52,1.309e-47,,,1.309e-47
202.57,1.856e-47,,,1.856e-47
202.62,3.102e-47,,,3.102e-47
202.67,5.076e-47,,,5.076e-47
202.72,7.590e-47,,,7.590e-47
202.77,1.020e-46,,,1.020e-46
202.82,1.235e-46,,,1.235e-46
202.87,1.357e-46,,,1.357e-46
202.92,1.376e-46,,,1.376e-46
202.97,1.313e-46,,,1.313e-46
203.02,1.201e-46,,,1.201e-46
203.07,1.066e-46,,,1.066e-46
203.12,9.141e-47,,,9.141e-47
203.17,7.468e-47,,,7.468e-47
203.22,5.738e-47,,,5.738e-47
203.27,4.171e-47,,,4.171e-47
203.32,3.022e-47,,,3.022e-47
203.37,2.454e-47,,,2.454e-47
203.42,2.471e-47,,,2.471e-47
203.47,2.921e-47,,,2.921e-47
203.52,3.556e-47,,,3.556e-47
203.57,4.122e-47,,,4.122e-47
203.62,4.432e-47,,,4.432e-47
203.67,4.418e-47,,,4.418e-47
203.72,4.121e-47,,,4.121e-47
203.77,3.665e-47,,,3.665e-47
203.82,3.241e-47,,,3.241e-47
203.87,3.125e-47,,,3.125e-47
203.92,3.710e-47,,,3.710e-47
203.97,5.533e-47,,,5.533e-47
204.02,9.223e-47,,,9.223e-47
