spectrum_filename,target_id,split,MgO_reference,MgO_prediction,MgO_absolute_error,Mg_detect_probability,Mg_detect_threshold,Mg_reference_class,Mg_predicted_class,Mg_class_correct,Ag_reference,Ag_prediction,Ag_absolute_error,Ag_classifier_probability,Ag_classifier_threshold,Ag_reference_class,Ag_predicted_class,Ag_class_correct,Cu_reference,Cu_prediction,Cu_absolute_error,Cu_detect_probability,Cu_detect_threshold,Cu_reference_class,Cu_predicted_class,Cu_class_correct
plibs_z903_mix350.csv,mix350,test,6.6,5.271374212599433,1.3286257874005667,0.7698741555213928,0.355,POSITIVE,POSITIVE,True,0.05,0.048388100302304185,0.0016118996976958178,0.9980637431144714,0.9660549759864807,POSITIVE,POSITIVE,True,32.0,48.000159305900574,16.000159305900574,0.6688210964202881,0.505,POSITIVE,POSITIVE,True
plibs_z903_mag1mb.csv,mag1mb,test,2.92,3.918442751504437,0.9984427515044372,0.013665277510881424,0.355,NEGATIVE,NEGATIVE,True,0.08,0.1397609570155302,0.059760957015530206,0.9999550580978394,0.9660549759864807,POSITIVE,POSITIVE,True,30.0,42.60020020814808,12.600200208148081,0.7773388624191284,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix370.csv,mix370,test,5.43,3.825610114257663,1.6043898857423367,0.7922428250312805,0.355,POSITIVE,POSITIVE,True,0.05,,,0.808003842830658,0.9660549759864807,POSITIVE,ZERO,False,65.0,63.79933041529514,1.2006695847048618,0.8497925400733948,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix605.csv,mix605,test,4.62,1.6240117789786774,2.9959882210213227,0.31148484349250793,0.355,NEGATIVE,NEGATIVE,True,0.55,0.14618842982311728,0.40381157017688274,1.0,0.9660549759864807,POSITIVE,POSITIVE,True,63.0,40.32340143177692,22.676598568223078,0.7130719423294067,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix341.csv,mix341,test,0.03,0.0,0.03,0.01893211342394352,0.355,NEGATIVE,NEGATIVE,True,0.05,0.0,0.05,1.0,0.9660549759864807,POSITIVE,POSITIVE,True,1.0,11.05167465896919,10.05167465896919,0.20438987016677856,0.505,NEGATIVE,NEGATIVE,True
plibs_z903_mix614.csv,mix614,test,0.02,4.436322194006988,4.416322194006988,0.017526594921946526,0.355,NEGATIVE,NEGATIVE,True,0.01,0.12078367947643988,0.11078367947643988,1.0,0.9660549759864807,POSITIVE,POSITIVE,True,16.0,12.250941993703776,3.7490580062962238,0.22144921123981476,0.505,NEGATIVE,NEGATIVE,True
plibs_z903_mix526.csv,mix526,test,5.24,5.281822856623126,0.041822856623126015,0.31021833419799805,0.355,POSITIVE,NEGATIVE,False,0.0,,,0.1815744936466217,0.9660549759864807,ZERO,ZERO,True,54.0,42.50439878201741,11.495601217982589,0.9446718096733093,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix663.csv,mix663,test,5.44,5.556917043130145,0.11691704313014473,0.9597457647323608,0.355,POSITIVE,POSITIVE,True,0.0,,,0.10956278443336487,0.9660549759864807,ZERO,ZERO,True,68.0,68.3878443529141,0.3878443529141009,0.8323302268981934,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix385.csv,mix385,test,6.61,4.110623407955633,2.499376592044367,0.7193067669868469,0.355,POSITIVE,POSITIVE,True,0.05,0.047353013511628926,0.0026469864883710767,0.9999961853027344,0.9660549759864807,POSITIVE,POSITIVE,True,31.0,37.85350806520056,6.8535080652005576,0.750674843788147,0.505,POSITIVE,POSITIVE,True
plibs_z903_mix402.csv,mix402,test,0.02,1.1786791716549034,1.1586791716549034,0.0015275730984285474,0.355,NEGATIVE,NEGATIVE,True,0.05,0.009295656646522418,0.040704343353477584,1.0,0.9660549759864807,POSITIVE,POSITIVE,True,0.0,28.3302611290674,28.3302611290674,0.41457170248031616,0.505,NEGATIVE,NEGATIVE,True
