analysis_unit,classification,combination,conversion_description,correlation,element,equivalent_maximum,equivalent_median_nonzero,equivalent_minimum_nonzero,maximum,median_nonzero,metadata_column,metadata_samples,minimum_nonzero,missing_values,negative_samples,other_element,p10_nonzero,p25_nonzero,p50_nonzero,p75_nonzero,p90_nonzero,positive_percentage,positive_samples,positive_values,raw_unit,reason,record_type,samples,threshold,unit,zero_values
ppm,GOOD,,not required; metadata column is elemental,,Zn,1000000.0,87.0,1.0,1000000.0,87.0,Zn,2626,1.0,325,,,17.0,40.0,87.0,111.0,144.0,,,2619,(ppm),Best candidate threshold has 1041 positive and 1585 negative samples.,summary,,,,7
ppm,GOOD,,not required; metadata column is elemental,,Mn,247143.0,1084.0,9.0,247143.0,1084.0,Mn,2823,9.0,128,,,232.0,465.0,1084.0,1448.0,1717.4000000000015,,,2793,(ppm),Best candidate threshold has 2001 positive and 822 negative samples.,summary,,,,30
ppm,GOOD,,not required; metadata column is elemental,,Cd,6.02,0.06,0.02,6.02,0.06,Cd,374,0.02,2577,,,0.03,0.05,0.06,0.12,0.21500000000000002,,,346,(ppm),Best candidate threshold has 203 positive and 171 negative samples.,summary,,,,28
oxide wt% (raw) + elemental-equivalent wt%,GOOD,,raw MgO multiplied by 0.60304188 to elemental Mg,,Mg,29.76011686184994,2.400106689162366,0.006030418816990869,49.35,3.9800000000000004,MgO,2929,0.01,22,,,0.09,0.66,3.9800000000000004,7.58,14.204000000000006,,,2854,(wt %),Best candidate threshold has 1252 positive and 1677 negative samples.,summary,,,,75
ppm,GOOD,,not required; metadata column is elemental,,Cu,1000000.0,29.0,1.0,1000000.0,29.0,Cu,929,1.0,2022,,,3.0,6.0,29.0,62.0,102.80000000000007,,,903,(ppm),Best candidate threshold has 462 positive and 467 negative samples.,summary,,,,26
ppm,GOOD,,not required; metadata column is elemental,,Pb,92832.0,8.0,0.1,92832.0,8.0,Pb,2429,0.1,522,,,1.0,3.0,8.0,20.0,33.68000000000011,,,2399,(ppm),Best candidate threshold has 1015 positive and 1414 negative samples.,summary,,,,30
,,,,,Zn,,,,,,,,,,7,,,,,,,99.73343488194973,2619,,,,threshold,,0.0,ppm,
,,,,,Zn,,,,,,,,,,50,,,,,,,98.09596344249809,2576,,,,threshold,,1.0,ppm,
,,,,,Zn,,,,,,,,,,109,,,,,,,95.84920030464585,2517,,,,threshold,,5.0,ppm,
,,,,,Zn,,,,,,,,,,190,,,,,,,92.76466108149276,2436,,,,threshold,,10.0,ppm,
,,,,,Zn,,,,,,,,,,409,,,,,,,84.42498095963442,2217,,,,threshold,,25.0,ppm,
,,,,,Zn,,,,,,,,,,787,,,,,,,70.03046458492003,1839,,,,threshold,,50.0,ppm,
,,,,,Zn,,,,,,,,,,1585,,,,,,,39.64204112718964,1041,,,,threshold,,100.0,ppm,
,,,,,Zn,,,,,,,,,,2586,,,,,,,1.5232292460015233,40,,,,threshold,,500.0,ppm,
,,,,,Mn,,,,,,,,,,30,,,,,,,98.93730074388948,2793,,,,threshold,,0.0,ppm,
,,,,,Mn,,,,,,,,,,30,,,,,,,98.93730074388948,2793,,,,threshold,,1.0,ppm,
,,,,,Mn,,,,,,,,,,30,,,,,,,98.93730074388948,2793,,,,threshold,,5.0,ppm,
,,,,,Mn,,,,,,,,,,33,,,,,,,98.83103081827842,2790,,,,threshold,,10.0,ppm,
,,,,,Mn,,,,,,,,,,40,,,,,,,98.58306765851931,2783,,,,threshold,,25.0,ppm,
,,,,,Mn,,,,,,,,,,43,,,,,,,98.47679773290825,2780,,,,threshold,,50.0,ppm,
,,,,,Mn,,,,,,,,,,168,,,,,,,94.04888416578109,2655,,,,threshold,,100.0,ppm,
,,,,,Mn,,,,,,,,,,822,,,,,,,70.88204038257173,2001,,,,threshold,,500.0,ppm,
,,,,,Cd,,,,,,,,,,28,,,,,,,92.51336898395722,346,,,,threshold,,0.0,ppm,
,,,,,Cd,,,,,,,,,,28,,,,,,,92.51336898395722,346,,,,threshold,,0.01,ppm,
,,,,,Cd,,,,,,,,,,171,,,,,,,54.27807486631016,203,,,,threshold,,0.05,ppm,
,,,,,Cd,,,,,,,,,,277,,,,,,,25.93582887700535,97,,,,threshold,,0.1,ppm,
,,,,,Cd,,,,,,,,,,343,,,,,,,8.288770053475936,31,,,,threshold,,0.25,ppm,
,,,,,Cd,,,,,,,,,,349,,,,,,,6.684491978609626,25,,,,threshold,,0.5,ppm,
,,,,,Cd,,,,,,,,,,357,,,,,,,4.545454545454546,17,,,,threshold,,1.0,ppm,
,,,,,Cd,,,,,,,,,,360,,,,,,,3.7433155080213902,14,,,,threshold,,2.0,ppm,
,,,,,Mg,,,,,,,,,,75,,,,,,,97.43939911232502,2854,,,,threshold,,0.0,oxide wt%,
,,,,,Mg,,,,,,,,,,121,,,,,,,95.86889723455104,2808,,,,threshold,,0.01,oxide wt%,
,,,,,Mg,,,,,,,,,,378,,,,,,,87.09457152611813,2551,,,,threshold,,0.1,oxide wt%,
,,,,,Mg,,,,,,,,,,721,,,,,,,75.38409013315125,2208,,,,threshold,,0.5,oxide wt%,
,,,,,Mg,,,,,,,,,,885,,,,,,,69.7849095254353,2044,,,,threshold,,1.0,oxide wt%,
,,,,,Mg,,,,,,,,,,1145,,,,,,,60.90815978149539,1784,,,,threshold,,2.0,oxide wt%,
,,,,,Mg,,,,,,,,,,1677,,,,,,,42.744964151587574,1252,,,,threshold,,5.0,oxide wt%,
,,,,,Mg,,,,,,,,,,2472,,,,,,,15.602594742232844,457,,,,threshold,,10.0,oxide wt%,
,,,,,Cu,,,,,,,,,,26,,,,,,,97.20129171151775,903,,,,threshold,,0.0,ppm,
,,,,,Cu,,,,,,,,,,65,,,,,,,93.00322927879441,864,,,,threshold,,1.0,ppm,
,,,,,Cu,,,,,,,,,,240,,,,,,,74.16576964477933,689,,,,threshold,,5.0,ppm,
,,,,,Cu,,,,,,,,,,336,,,,,,,63.832077502691064,593,,,,threshold,,10.0,ppm,
,,,,,Cu,,,,,,,,,,467,,,,,,,49.730893433799785,462,,,,threshold,,25.0,ppm,
,,,,,Cu,,,,,,,,,,587,,,,,,,36.81377825618945,342,,,,threshold,,50.0,ppm,
,,,,,Cu,,,,,,,,,,835,,,,,,,10.118406889128094,94,,,,threshold,,100.0,ppm,
,,,,,Cu,,,,,,,,,,900,,,,,,,3.1216361679224973,29,,,,threshold,,500.0,ppm,
,,,,,Pb,,,,,,,,,,30,,,,,,,98.76492383696994,2399,,,,threshold,,0.0,ppm,
,,,,,Pb,,,,,,,,,,336,,,,,,,86.1671469740634,2093,,,,threshold,,1.0,ppm,
,,,,,Pb,,,,,,,,,,960,,,,,,,60.47756278303829,1469,,,,threshold,,5.0,ppm,
,,,,,Pb,,,,,,,,,,1414,,,,,,,41.78674351585014,1015,,,,threshold,,10.0,ppm,
,,,,,Pb,,,,,,,,,,2038,,,,,,,16.097159324825032,391,,,,threshold,,25.0,ppm,
,,,,,Pb,,,,,,,,,,2294,,,,,,,5.5578427336352405,135,,,,threshold,,50.0,ppm,
,,,,,Pb,,,,,,,,,,2375,,,,,,,2.2231370934540964,54,,,,threshold,,100.0,ppm,
,,,,,Pb,,,,,,,,,,2412,,,,,,,0.699876492383697,17,,,,threshold,,500.0,ppm,
,,,,1.0,Zn,,,,,,,,,,,Zn,,,,,,,,,,,correlation,,,,
,,,,0.003490240715607024,Zn,,,,,,,,,,,Mn,,,,,,,,,,,correlation,,,,
,,,,0.23151189181269677,Zn,,,,,,,,,,,Cd,,,,,,,,,,,correlation,,,,
,,,,0.027472979394184176,Zn,,,,,,,,,,,Mg,,,,,,,,,,,correlation,,,,
,,,,-0.010198122332278648,Zn,,,,,,,,,,,Cu,,,,,,,,,,,correlation,,,,
,,,,-0.0041771009989260725,Zn,,,,,,,,,,,Pb,,,,,,,,,,,correlation,,,,
,,,,0.003490240715607024,Mn,,,,,,,,,,,Zn,,,,,,,,,,,correlation,,,,
,,,,1.0,Mn,,,,,,,,,,,Mn,,,,,,,,,,,correlation,,,,
,,,,-0.003914837438743954,Mn,,,,,,,,,,,Cd,,,,,,,,,,,correlation,,,,
,,,,0.025352763451337072,Mn,,,,,,,,,,,Mg,,,,,,,,,,,correlation,,,,
,,,,-0.01515083864412866,Mn,,,,,,,,,,,Cu,,,,,,,,,,,correlation,,,,
,,,,-0.005680398621183238,Mn,,,,,,,,,,,Pb,,,,,,,,,,,correlation,,,,
,,,,0.23151189181269677,Cd,,,,,,,,,,,Zn,,,,,,,,,,,correlation,,,,
,,,,-0.003914837438743954,Cd,,,,,,,,,,,Mn,,,,,,,,,,,correlation,,,,
,,,,1.0,Cd,,,,,,,,,,,Cd,,,,,,,,,,,correlation,,,,
,,,,0.1589682542349154,Cd,,,,,,,,,,,Mg,,,,,,,,,,,correlation,,,,
,,,,-0.02306169628754368,Cd,,,,,,,,,,,Cu,,,,,,,,,,,correlation,,,,
,,,,-0.02788678737107001,Cd,,,,,,,,,,,Pb,,,,,,,,,,,correlation,,,,
,,,,0.027472979394184176,Mg,,,,,,,,,,,Zn,,,,,,,,,,,correlation,,,,
,,,,0.025352763451337072,Mg,,,,,,,,,,,Mn,,,,,,,,,,,correlation,,,,
,,,,0.1589682542349154,Mg,,,,,,,,,,,Cd,,,,,,,,,,,correlation,,,,
,,,,1.0,Mg,,,,,,,,,,,Mg,,,,,,,,,,,correlation,,,,
,,,,-0.0234614924233845,Mg,,,,,,,,,,,Cu,,,,,,,,,,,correlation,,,,
,,,,-0.021279401361476526,Mg,,,,,,,,,,,Pb,,,,,,,,,,,correlation,,,,
,,,,-0.010198122332278648,Cu,,,,,,,,,,,Zn,,,,,,,,,,,correlation,,,,
,,,,-0.01515083864412866,Cu,,,,,,,,,,,Mn,,,,,,,,,,,correlation,,,,
,,,,-0.02306169628754368,Cu,,,,,,,,,,,Cd,,,,,,,,,,,correlation,,,,
,,,,-0.0234614924233845,Cu,,,,,,,,,,,Mg,,,,,,,,,,,correlation,,,,
,,,,1.0,Cu,,,,,,,,,,,Cu,,,,,,,,,,,correlation,,,,
,,,,-0.0077108962202891,Cu,,,,,,,,,,,Pb,,,,,,,,,,,correlation,,,,
